Sentence	Label	Comparative	Comment
OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it	NO_COMP	False	
I'd go with OBJECT_A or OBJECT_B.	NO_COMP	False	
This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B.	NO_COMP	False	
And your other server languages like OBJECT_A, PHP, OBJECT_B, etc.	NO_COMP	False	
Java learned a lot from OBJECT_A, OBJECT_B and even C#.	NO_COMP	False	
OBJECT_A/OBJECT_B/Groovy/Perl is:	NO_COMP	False	
Java, OBJECT_A, OBJECT_B, Perl, also all work.	NO_COMP	False	
highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default.	NO_COMP	False	
Highly skilled in Perl, PHP, OBJECT_A, OBJECT_B programming languages.	NO_COMP	False	
OBJECT_A, java, OBJECT_B, php, javascript	NO_COMP	False	
So it comes down to OBJECT_A and OBJECT_B.	NO_COMP	False	
OBJECT_A, OBJECT_B Compiled languages - e.g.	NO_COMP	False	
However, there is OBJECT_A and OBJECT_B Rails to consider.	NO_COMP	False	
Perl, OBJECT_A, OBJECT_B, and Unix shell scripts are also used.	NO_COMP	False	
Possibly OBJECT_A or OBJECT_B.	NO_COMP	False	
Groovy, Perl, OBJECT_A, OBJECT_B, Bash).	NO_COMP	False	
Speed: similar to Perl, OBJECT_A, OBJECT_B.	NO_COMP	False	
Drop it immediately and start learning PHP, OBJECT_A, or OBJECT_B.	NO_COMP	False	
language such as JavaScript, OBJECT_A, OBJECT_B, Groovy, etc.).	NO_COMP	False	
PHP, OBJECT_A, or OBJECT_B?	NO_COMP	False	
I prefer OBJECT_A over OBJECT_B on windows.	BETTER	True	
Perl, OBJECT_A, PHP, OBJECT_B), forking isn't a problem.	NO_COMP	False	
Perl, OBJECT_A, OBJECT_B and C# are good ones.	NO_COMP	False	
I have a extrange problem compiling OBJECT_A/OBJECT_B extension.	NO_COMP	False	
Scripting- OBJECT_A, OBJECT_B, Perl, PowerShell.	NO_COMP	False	
While OBJECT_A is slightly faster, OBJECT_B utilises memory better.	UNCLEAR	True	
A OBJECT_A/OBJECT_B script might work better for this....	NO_COMP	False	
That's because a lot of those applications may not even be written in D or have anything to do with D, like the mass of stuff written in dynamic languages like perl, OBJECT_A, OBJECT_B, etc.	NO_COMP	False	
The script uses SQLite3 as a backend, because bash is not good with arrays, and because I'm not good with Perl/OBJECT_A/OBJECT_B.	NO_COMP	False	
Immutability fits into this complex because in OBJECT_A/Perl/OBJECT_B/other languages I often solve this with some form of monkeypatching, which is a form of mutability.	NO_COMP	False	
There are much better alternatives (OBJECT_A, OBJECT_B).	NO_COMP	False	
Your C# and VB devs can suddenly easily write web apps and your OBJECT_A and OBJECT_B devs can too - with the added bonus of much better performance.	NO_COMP	False	
Maybe we should stop using languages like OBJECT_A, OBJECT_B and Perl because they're "slow".	NO_COMP	False	
He raises the point that runtime libraries for OBJECT_A / OBJECT_B etc have a unique set of issues because they tend to have their own packaging systems.	NO_COMP	False	
But maybe that's just because I'm not used to seeing OBJECT_A, just as you're not used to seeing OBJECT_B code.	NO_COMP	False	
I guess that's fair because the implementation might be done better in OBJECT_A than it was in OBJECT_B.	BETTER	True	
I'm not totally convinced the debugging tools for Perl, OBJECT_A or PHP are substantially better than OBJECT_B, even if they are slightly better.	BETTER	True	
Agile development is the most popular model at the moment because of architectures like OBJECT_A on Rails and Django (for OBJECT_B).	NO_COMP	False	
In addition the comparison on multi-core machines is also flawed because OBJECT_A code uses only one CPU whereas OBJECT_B uses all four due to use of multiprocessing library.	WORSE	True	one need some knowledge here; NO_COMP might be okay
OBJECT_A is even worse than OBJECT_B.	WORSE	True	
Perl, OBJECT_A, and OBJECT_B were successful because their creators were good coders with clear goals, who shipped useful programs.	NO_COMP	False	
OBJECT_A and OBJECT_B were much more recently the "hot new thing" and have gotten a lot more attention in the last decade or so because of that.	NO_COMP	False	
I've tried OBJECT_A, and can see why people like it, but OBJECT_B suits my style better.	WORSE	True	
OBJECT_A and OBJECT_B are languages competing for a similar bracket, so they will always appear to be "converging," because smart people are finding the key features.	NO_COMP	False	
I started with OO languages (OBJECT_A & OBJECT_B) because people recommend them, and they seem to be relatively easy to get started with.	NO_COMP	False	
Unfortunately, when it comes to potential projects OBJECT_A suffers because it's similarity to OBJECT_B.	NO_COMP	False	
It is worth noting that because the APIs use the standard HTTP protocol you can easily work with them from any programming language including C#, Java, OBJECT_A, OBJECT_B, Perl, PHP and others.	NO_COMP	False	
With dynamically typed languages, like PHP, OBJECT_A, OBJECT_B, your development will be much faster, but you will have to test your code much better.	NO_COMP	False	
