caption,sentence,object_a,object_b,predicted,gold
2-4 pos 500 full sentence,Thanks to Apple removing Google maps which is 1000x better.,Apple,Google,NONE,ARG
2-4 pos 500 full sentence,"I knew I had a better chance of playing volleyball in college than football.""",football,volleyball,NONE,ARG
2-4 pos 500 full sentence,"It would be faster to turn on Windows XP, wait 10 minutes for it to boot, and check email that way."" - TechTarget news director Bridget Botelho's husband, on the non-intuitive nature of Windows 8 on a Samsung Series 7 Slate tablet .",Windows XP,Windows 8,NONE,ARG
2-4 pos 500 full sentence,My minestrone soup is always better with homemade pasta.,soup,pasta,ARG,NONE
2-4 pos 500 full sentence,"I have always used a canned CGI (in Perl) gleaned from a resources site, but PHP looks soooo much easier.",PHP,Perl,NONE,ARG
2-4 pos 500 full sentence,Why should cricketers and hockey players not be able to earn a decent living like footballers or basketball players do?,basketball,hockey,NONE,ARG
2-4 pos 500 full sentence,(Whether that makes Ruby and Python better than Java is subjective.),Java,Python,NONE,ARG
2-4 pos 500 full sentence,NetBeans guys aren't like Eclipse developers.,Eclipse,NetBeans,ARG,NONE
2-4 pos 500 full sentence,"There are many things that I can do faster in Perl than in Java, C, C++, or various other languages.",Java,Perl,NONE,ARG
2-4 pos 500 full sentence,"I need support for a technical argument: why going to an intermediate form for an existing functional back end like Haskell really, truly is better for implementing a functional language than is going to an intermediate form like the Java intermediate form and re-doing all the various specialized mechanism needed to support a true lazy functional language.",Java,Haskell,NONE,ARG
2-4 pos 500 full sentence,"could also do that for MySQL, but PostgreSQL is simply a better RDBMS.",MySQL,PostgreSQL,NONE,ARG
2-4 pos 500 full sentence,"PostgreSQL has a much nicer set of drivers and supports both standard ANSI-SQL and extended features, in many cases better than MySQL.",MySQL,PostgreSQL,NONE,ARG
2-4 pos 500 full sentence,Dell worked closely with Microsoft Corp. during the development of Windows 7 and both companies are committed to delivering a great customer experience and superior long term value.,Microsoft,Dell,ARG,NONE
2-4 pos 500 full sentence,"IBM on Wednesday unveiled new POWER8 processor-based servers that the computing giant said ""are capable of analyzing data 50 times faster than the latest x86-based systems"" built on chips from companies like Intel and Advanced Micro Devices.",IBM,Intel,NONE,ARG
2-4 pos 500 full sentence,"Amusingly enough, it was released several months after John Carmack and the rest of the gaming industry started bitching Microsoft out for pushing Direct3D over the clearly superior OpenGL.",OpenGL,Direct3D,NONE,ARG
2-4 pos 500 full sentence,"In fact any sports sedan from Europe handles better than the IS350...BMW, Benz, Volvo, Audi, Alfa, Peug...etc.. Toyota still lacks the engineering excellence to make a fine handling sports sedan.",Toyota,BMW,ARG,NONE
2-4 pos 500 full sentence,"In fact, amazon did poorly in google overall in general.",google,amazon,ARG,NONE
