id	text_html	text_readable	gold_label	a	b	marker	raw_text
D538987468	<span style="color: #9A14B2; font-weight: bold">CUDA:[OBJECT_A]</span> has much better support than AMD or <span style="color: #6CB219; font-weight: bold">OpenCL:[OBJECT_B]</span>, try to get AMD to help you to debug your code, and you will see what happen!	*CUDA* has much better support than AMD or §OpenCL$, try to get AMD to help you to debug your code, and you will see what happen!	B	CUDA	OpenCL	TRUE	CUDA has much better support than AMD or OPENCL, try to get AMD to help you to debug your code, and you will see what happen!
A62740058	2. <span style="color: #9A14B2; font-weight: bold">PostgreSQL:[OBJECT_A]</span> can do many things faster than <span style="color: #6CB219; font-weight: bold">Oracle:[OBJECT_B]</span>.	2. *PostgreSQL* can do many things faster than §Oracle$.	B	Oracle	PostgreSQL	TRUE	2. postgresql can do many things faster than oracle.
O2332684839	Systems like <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> and (here comes the -1 Flamebait mod) ASP are faster and more efficient than <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> CGI.	Systems like *PHP* and (here comes the -1 Flamebait mod) ASP are faster and more efficient than §Perl$ CGI.	B	PHP	Perl	TRUE	Systems like PHP and (here comes the -1 Flamebait mod) ASP are faster and more efficient than Perl CGI.
O2366381716	That is of course easier now that <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> looks syntactiacally more like a mature programming language, like <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>.	That is of course easier now that *PHP* looks syntactiacally more like a mature programming language, like §Java$.	B	Java	PHP	TRUE	That is of course easier now that PHP looks syntactiacally more like a mature programming language, like Java.
J1501044800	I've concluded that it is better to use <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> on Windows (for all the scripting) rather than <span style="color: #6CB219; font-weight: bold">Bash:[OBJECT_B]</span>.	I've concluded that it is better to use *Python* on Windows (for all the scripting) rather than §Bash$.	B	Python	Bash	TRUE	I've concluded that it is better to use Python on Windows (for all the scripting) rather than Bash.
R2839991108	This is most likely done to optimize for <span style="color: #9A14B2; font-weight: bold">Integer:[OBJECT_A]</span> calculations, rather than slower <span style="color: #6CB219; font-weight: bold">Floating-point:[OBJECT_B]</span> math.	This is most likely done to optimize for *Integer* calculations, rather than slower §Floating-point$ math.	B	Integer	Floating-point	TRUE	This is most likely done to optimize for integer calculations, rather than slower floating-point math.
E567228296	Depending on your processor, <span style="color: #9A14B2; font-weight: bold">Floating-point:[OBJECT_A]</span> multiplies may be faster than <span style="color: #6CB219; font-weight: bold">Integer:[OBJECT_B]</span> (but not a lot).	Depending on your processor, *Floating-point* multiplies may be faster than §Integer$ (but not a lot).	B	Integer	Floating-point	TRUE	Depending on your processor, floating-point multiplies may be faster than integer (but not a lot).
B225637482	Although <span style="color: #9A14B2; font-weight: bold">OpenGL:[OBJECT_A]</span> is a little behind <span style="color: #6CB219; font-weight: bold">Direct3D:[OBJECT_B]</span> in terms of standard features I still find that it's not only easier to use but generally much faster.	Although *OpenGL* is a little behind §Direct3D$ in terms of standard features I still find that it's not only easier to use but generally much faster.	B	OpenGL	Direct3D	TRUE	Although OpenGL is a little behind Direct3D in terms of standard features I still find that it's not only easier to use but generally much faster.
M1996477634	<span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> is much easier than <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> to get started in.	*PHP* is much easier than §Perl$ to get started in.	B	PHP	Perl	TRUE	PHP is much easier than Perl to get started in.
B254026967	and heck i just like <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span> better than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>! as well its good to have choices!!	and heck i just like *Perl* better than §Java$! as well its good to have choices!!	B	Java	Perl	TRUE	and heck i just like perl better than java! as well its good to have choices!!
