id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
K1627109117,Life keeps on getting easier and easier with Google and Apple.,Google,Apple,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
K1627109117,Life keeps on getting easier and easier with Google and Apple.,Google,Apple,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
S2983227886,"Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration...",Bash,Python,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2243644637,"Solid experience in HTML,JavaScript, CSS, PHP, MySQL, and adhering to accessibility standards.",JavaScript,PHP,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2243644637,"Solid experience in HTML,JavaScript, CSS, PHP, MySQL, and adhering to accessibility standards.",JavaScript,PHP,NONE,1.0,X/PROPN/ROOT/^ css/PROPN/conj/V Y/PROPN/conj/<
C361181777,"As if it could get any better, my birthday, my wedding anniversary, halloween and thanksgiving!",halloween,thanksgiving,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
C361181777,"As if it could get any better, my birthday, my wedding anniversary, halloween and thanksgiving!",halloween,thanksgiving,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
J1469389151,"It's true! Archery is safer than basketball, baseball, soccer and even golf.",basketball,baseball,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
H1211509762,IMO making a terrific hard cider is WAY harder than making great beer.,cider,beer,WORSE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ hard/ADJ/acomp/< than/ADP/prep/< make/VERB/pcomp/< Y/PROPN/dobj/<
H1211509762,IMO making a terrific hard cider is WAY harder than making great beer.,cider,beer,WORSE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ hard/ADJ/acomp/< than/ADP/prep/< make/VERB/pcomp/< great/ADJ/amod/V Y/PROPN/dobj/<
Q2624010996,The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.,timber,lumber,NONE,0.8,X/PROPN/ROOT/^ Y/PROPN/conj/<
Q2624010996,The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.,timber,lumber,NONE,0.8,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
Q2624010996,The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.,timber,lumber,NONE,0.8,X/PROPN/ROOT/^ manufactures/PROPN/conj/V Y/PROPN/conj/<
Q2624010996,The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.,timber,lumber,NONE,0.8,X/PROPN/ROOT/^ quality/NOUN/compound/V Y/PROPN/conj/<
