id,text_readable,label:confidence,label
B326110412,"Apple *cider* vinegar will taste better then white, but lemon §juice$ is the best tasting.",0.6842,WORSE
J1521912207,I was using *google* music but §amazon$ is just better.,1.0,WORSE
M1979675884,"*pennsylvania* is no better, but states such as South §carolina$ and Florida have no estate or inheritance tax.",0.7158,OTHER
B317690396,"Anyway, between Beck and Lou Dobbs, *cnn* is frequently far worse than §fox$ News.",1.0,WORSE
R2909183183,To answer your question yes the *wii* U is selling worse than the §gamecube$ and N64.,1.0,WORSE
K1722396324,"*mit* is harder to graduate from (on average probably, at minimum certainly) than HYP or §stanford$.",1.0,WORSE
O2348728670,"*tennis* is so much harder on the body than §golf$, he said.",1.0,WORSE
T3161167094,"While *missouri* has solid football programs, they do not compare to states like Florida, §georgia$ and Texas.",1.0,WORSE
L1858903515,"Obama is much worse than *nixon*, §reagan$, and W. Bush all rolled into one.",1.0,OTHER
T3220097683,"Yale offered nothing at all really, *mit* was a little nicer, but by far §stanford$ offered the best FA package.",0.6476,WORSE
A58777035,2) *basketball* recruiting is slower than §football$.,1.0,WORSE
H1172635608,"I know I'm coming late to the party, but *tennis* is (in my mind) indisputably harder than §baseball$.",1.0,WORSE
Q2606714093,"The *pasta* was mediocre, not as memorable as the §pizza$.",1.0,WORSE
A109112123,95% of the the things I do with my *laptop* on the road will be accomplished far easier and faster with the §iphone$.,0.6158,WORSE
S2972495180,"Unless KU plays a lot better, I don't think they will handle North *carolina*, and certainly not §michigan$.",1.0,NONE
P2469199001,"The *ds* versions looks really good, but §wii$ could look alot better.",0.6129,WORSE
C358392517,"As good as *michigan* has been defensively this season, §virginia$ has been even better.",1.0,WORSE
J1475921268,"It was a little cooler here in *michigan* that it was in Florida and §georgia$, but in reality not all that bad for the time of year.",0.6281,BETTER
T3268029423,You're better off buying a copy of Hotel Dusk for the *ds* or a §ps3$ title.,1.0,NONE
P2533877672,The Jimmy Dean *sandwich* had far better §sausage$.,0.6559999999999999,NONE
R2836502183,"This is because the ingredients used in *pizza* Hut set lunch will likely cost more, and its §soup$ is better than that of Delifrance.",0.6579,OTHER
O2288771973,Square also released the latest version of its consumer app Square *wallet* last week to make §mobile$ checkout even easier.,1.0,NONE
