id,caption,sentence,object_a,object_b,predicted,gold
2039,full_paths_original_4_aip,"Prove that Java is ""faster"" than PHP in the general sense.",Java,PHP,NONE,BETTER
1619,full_paths_original_4_aip,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,NONE,WORSE
1770,full_paths_original_4_aip,"I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",Ethernet,USB,NONE,BETTER
1883,full_paths_original_4_aip,"Actually, Sony can be even nastier than Microsoft when it comes to licensing games for their platform.",Sony,Microsoft,BETTER,WORSE
134,full_paths_original_4_aip,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,Ruby,PHP,NONE,BETTER
830,full_paths_original_4_aip,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.",Scala,Java,NONE,BETTER
1618,full_paths_original_4_aip,"The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).",sausage,sandwich,BETTER,NONE
1907,full_paths_original_4_aip,"youtube just won't cut it for a screencast, so I found hosting the video myself (amazon S3), was a better solution.",youtube,amazon,NONE,WORSE
504,full_paths_original_4_aip,Java apps on Mac are slower and bulkier than their native Objective-C counterparts.,Java,Objective-C,NONE,WORSE
13,full_paths_original_4_aip,"As good as michigan has been defensively this season, virginia has been even better.",michigan,virginia,NONE,WORSE
2364,full_paths_original_4_aip,"Hi, I use PHP validation for my sites it is better then Java script validation ?",PHP,Java,NONE,BETTER
1651,full_paths_original_4_aip,"In addition, having already previewed Samsung i7110, we have to admit that the Nokia ergonomics are a whole lot better.",Samsung,Nokia,NONE,WORSE
256,full_paths_original_4_aip,steel is stronger and harder then aluminum.,steel,aluminum,NONE,BETTER
1680,full_paths_original_4_aip,"DWTS : ""They prefer a nice, solid Chrysler Town & Country to that newfangled Toyota Prius.""",Chrysler,Toyota,NONE,BETTER
1402,full_paths_original_4_aip,"Wait, the amazon Appstore is safer than google Play?",amazon,google,NONE,BETTER
9,full_paths_original_4_aip,"The pasta was mediocre, not as memorable as the pizza.",pasta,pizza,BETTER,WORSE
692,full_paths_original_4_aip,-This maybe works too in the ps2 version but it will be harder than on the psp version.,ps2,psp,NONE,WORSE
1966,full_paths_original_4_aip,I found the Marco Polo restaurant to have better food than the Terrace cafe.,restaurant,cafe,WORSE,BETTER
2296,full_paths_original_4_aip,"And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.",Chevrolet,Toyota,NONE,WORSE
820,full_paths_original_4_aip,Pick your beverage for better nutrition - milk for a calcium boost or juice instead of soda.,milk,soda,NONE,BETTER
591,full_paths_original_4_aip,"The Audi Q5 is slightly shorter than the Lexus RX 350, which may make it easier to park.",Audi,Lexus,NONE,BETTER
1720,full_paths_original_4_aip,"Scala is not a better Java, it's an ML for JVM",Scala,Java,BETTER,WORSE
1118,full_paths_original_4_aip,"harvard Head Coach Tim Murphy on the team's win versus cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.",harvard,cornell,NONE,BETTER
1996,full_paths_original_4_aip,"Gigabit Ethernet (which all of the TeraStations support) is faster than any flavor of USB or firewire, and is much more conducive to simultaneous connections to multiple machines.",Ethernet,USB,NONE,BETTER
2103,full_paths_original_4_aip,the football team is decent but getting better! the basketball teams are awesome!the,football,basketball,NONE,WORSE
1159,full_paths_original_4_aip,While Ruby was an order of magnitude slower than Python there was no contest.,Ruby,Python,NONE,WORSE
1316,full_paths_original_4_aip,"Performance The Audi A6 has less horsepower than the Lexus IS 350, so it will probably be somewhat slower.",Audi,Lexus,NONE,WORSE
3,full_paths_original_4_aip,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,Perl,Java,NONE,WORSE
733,full_paths_original_4_aip,One was for pistol barrels and one with a much slower twist was for rifle barrels.,pistol,rifle,NONE,BETTER
1234,full_paths_original_4_aip,"Expect enhanced chances of near normal temperatures in Washington, oregon, and western Indiana and cooler than normal in michigan and northern Wisconsin.",oregon,michigan,NONE,BETTER
2397,full_paths_original_4_aip,"In general PostgreSQL is faster at complex queries with a lot of joins and such, while MySQL is faster at simple queries such as primary key look up.",PostgreSQL,MySQL,WORSE,NONE
79,full_paths_original_4_aip,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?",Apple,Sony,NONE,BETTER
352,full_paths_original_4_aip,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,NONE,WORSE
1159,full_paths_original_4_aip,@9:08 At no time has the softball stadium been superior to baseball.,softball,baseball,NONE,WORSE
1661,full_paths_original_4_aip,2. We all knew Windows 8 wouldn't sell better than Windows 7.,Windows 8,Windows 7,NONE,WORSE
226,full_paths_original_4_aip,I lucked out to be getting one with the Samsung SSD which is a lot faster than Toshiba SSD.,Samsung,Toshiba,NONE,BETTER
559,full_paths_original_4_aip,"One: Less.js has been written from the ground up for great performance, so even browsers with poor JavaScript implementation should still run it very well (Less.js is about 40 times faster than the Ruby implementation-so suffice to say it's a lot faster.).",JavaScript,Ruby,NONE,BETTER
1714,full_paths_original_4_aip,"Carsten asked why the use of SQLite was not recommended because, for smaller installations, it is easier to maintain than MySQL.",SQLite,MySQL,NONE,BETTER
718,full_paths_original_4_aip,A seperate issue might be whether PostgreSQL is a better option than MySQL.,PostgreSQL,MySQL,NONE,BETTER
2270,full_paths_original_4_aip,Five Reasons Google is Cooler than Apple,Google,Apple,NONE,BETTER
1110,full_paths_original_4_aip,The ps2 is vastly inferior to both the gamecube and Xbox.,ps2,gamecube,NONE,WORSE
612,full_paths_original_4_aip,I agree with the above mentioned statement of getting a wii if you just want to have fun and look at mediocre graphics or better yet a ps2 which has tons of games with decent graphics and gameplay.,wii,ps2,NONE,WORSE
2357,full_paths_original_4_aip,"They had a wonderful run over at Chrysler with a far superior total package (combined salary, healthcare, and pension) than their counterparts at the Toyota U.S. facilities.",Chrysler,Toyota,NONE,BETTER
289,full_paths_original_4_aip,When that peanut butter sandwich she made you tastes better than a steak.,sandwich,steak,NONE,BETTER
1890,full_paths_original_4_aip,"Even assuming Ruby is better than Python, it doesn't matter.",Ruby,Python,NONE,BETTER
1155,full_paths_original_4_aip,harvard is better than Western New England and stanford is better than GGU.,harvard,stanford,BETTER,NONE
1890,full_paths_original_4_aip,"Yes, this is a stretch, but a desktop + iphone may be better than an expensive laptop.",iphone,laptop,NONE,BETTER
1140,full_paths_original_4_aip,I say Google is the new Microsoft and in many cases they are even worse.,Google,Microsoft,NONE,WORSE
398,full_paths_original_4_aip,"Since then I've gone through the Apple Cinema, then on to the bigger and better Dell :)",Apple,Dell,NONE,WORSE
777,full_paths_original_4_aip,"My Ford is a much bigger PIA to work on than my BMW, except it is easier to crawl under...",Ford,BMW,WORSE,BETTER
1745,full_paths_original_4_aip,Think Toyota vs Honda.,Toyota,Honda,BETTER,NONE
1335,full_paths_original_4_aip,Smalltalk has had such a positive influence on Java.,Smalltalk,Java,BETTER,NONE
2205,full_paths_original_4_aip,here and here ) the optical performance of the Sigma lens is better than the Nikon and Canon equivalents.,Sigma,Nikon,NONE,BETTER
453,full_paths_original_4_aip,"For example, she will point out why milk is a better choice than soda.",milk,soda,NONE,BETTER
1638,full_paths_original_4_aip,Review MySQL-to-Oracle,MySQL,Oracle,BETTER,NONE
668,full_paths_original_4_aip,As answers I am looking for cases where actually Bash is way better than Perl or Python to develop admin scripts.,Bash,Python,NONE,BETTER
1164,full_paths_original_4_aip,"Specifically, Gibson suggests, Google is getting better at gadget design faster than Apple is getting better at Internet services.",Google,Apple,NONE,BETTER
2249,full_paths_original_4_aip,"I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",Perl,PHP,NONE,WORSE
377,full_paths_original_4_aip,"And anyway, how is Smalltalk any more or less similar to English than Java?",Smalltalk,Java,BETTER,NONE
1373,full_paths_original_4_aip,Or may be it's related to the inferior CPU/memory management in Windows 98 in comparison with Windows XP?,Windows 98,Windows XP,NONE,WORSE
1656,full_paths_original_4_aip,"Hops is also used in beer, which tastes better than the tea.",beer,tea,NONE,BETTER
573,full_paths_original_4_aip,"As a phone, it was decent if unexciting, but as a music player, it fell far short of the ipod.",phone,ipod,NONE,WORSE
2394,full_paths_original_4_aip,"juice"" is ok, but ""cider"" is much better.",juice,cider,NONE,WORSE
1756,full_paths_original_4_aip,pistol/shotgun powder are much faster burning that rifle powder.,pistol,rifle,NONE,BETTER
1187,full_paths_original_4_aip,california is a much harder place to practice law than is South carolina.,california,carolina,BETTER,WORSE
657,full_paths_original_4_aip,"Every manufacturer churns out bad cars, but I think the Lexus is superior to Cadillac in terms of workmanship.",Lexus,Cadillac,NONE,BETTER
837,full_paths_original_4_aip,They just couldn't understand that hockey was significantly cooler than tennis.,hockey,tennis,NONE,WORSE
1093,full_paths_original_4_aip,Apple has to do this to better compete with Google.,Apple,Google,BETTER,NONE
1260,full_paths_original_4_aip,"One cannot have communion with beer and steak (both of which, I, for one, think superior to bread and wine), just as one cannot baptise someone with sand rather than water.",steak,bread,NONE,BETTER
1387,full_paths_original_4_aip,I've found that going from Oracle to PostgreSQL is much easier than going from Oracle to MySQL.,PostgreSQL,MySQL,NONE,BETTER
385,full_paths_original_4_aip,OpenCL seems to be slower than either C++ AMP or CUDA.,OpenCL,CUDA,NONE,WORSE
663,full_paths_original_4_aip,If any company is behaving even worse than Microsoft at it's market peak it is Apple.,Microsoft,Apple,NONE,BETTER
223,full_paths_original_4_aip,"It is still fascinating to see an OpenGL version of L4D2 run faster than the Direct3D version for Windows, but that begs the question of how is that possible?",OpenGL,Direct3D,NONE,BETTER
547,full_paths_original_4_aip,"My Dell laptop E1505 works fine, my Intel and AMD destop computers are frozen solid.",Dell,Intel,NONE,BETTER
1753,full_paths_original_4_aip,"General Comments I think that Siemens phones are much better than many others famous manufacturers' like Nokia, Motorola, e.t.c.",Siemens,Nokia,NONE,BETTER
653,full_paths_original_4_aip,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",OpenGL,Direct3D,NONE,BETTER
991,full_paths_original_4_aip,I totally agree with your conclusion that Sony products are better off tham Apple products.,Sony,Apple,NONE,BETTER
1810,full_paths_original_4_aip,"I have always used a canned CGI (in Perl) gleaned from a resources site, but PHP looks soooo much easier.",Perl,PHP,NONE,WORSE
