id,text_readable,label:confidence,label
G1031319964,I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).,0.7138,BETTER
L1828119025,"Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",0.6386,WORSE
M1996510083,"*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI.",0.6698,NONE
L1868520095,"Of course you also have the option of the *USB*, but personally I liked the §Bluetooth$ better.",1.0,WORSE
M1988300932,*Perl* has a large user base but it is still easier to find candidates that already know industrial C++ or §Java$.,1.0,WORSE
R2873497635,This time *Windows 8* was roughly 8 percent slower than §Windows 7$.,1.0,WORSE
H1153354916,"I haven't tried the C# and *Java* interfaces, but I'd expect them to be on the level of C and §Perl$, respectively, or a bit slower.",1.0,OTHER
H1195626804,"I'm a *Perl* guy myself, but sometimes §AWK$ is faster and cleaner for extracting data.",1.0,WORSE
T3239865546,"You can do form checking with *PHP*, but it is much easier to use §JavaScript$ to check the form before posting.",1.0,WORSE
H1158795912,"I have written similar mechanisms in *Perl*, but prefer the §PHP$ solution as it is easier.",1.0,WORSE
Q2633879136,The real reason why *Python* will still be slower than §Java$ is because it's a much more dynamic language.,1.0,WORSE
B270221204,And of course we did those benchmarks 2 and 3 years ago when *Ruby* was about 50% slower than §PHP$.,1.0,WORSE
I1389604590,"I think Subversion will remain in use for the same reason *MySQL* remains in use, even though it is drastically inferior to §PostgreSQL$ -- inertia.",1.0,WORSE
B228110474,"Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than *Bluetooth*, it fell well short of its wired §USB$ counterpart.",0.6463,WORSE
D429085368,"By about a chapter into the *PHP* book, I was thinking ""holy crap, this language is uglier than §Perl$"".",1.0,WORSE
M2034558740,"PRIME1 wrote: *OpenCL* will most likely be slower than §CUDA$, Brook+ or Larbabee C++ because of its general nature.",0.6626,WORSE
H1122028771,"If you're on *Windows XP*, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to §Windows 8$ is going to be dirt cheap and totally worth it: only 40 bucks.",1.0,WORSE
M2054206661,"*Python* , the best language a business can use without risking the lack of programmers ( Common §Lisp$ is better, but I don't know anyone who knows it except for me)",1.0,WORSE
N2120512418,*Ruby* is even worse than §Python$.,1.0,WORSE
E601320733,"Don't learn *Perl* because even though it's a mature, fast and popular language, it's harder to learn than §PHP$.",0.7109,BETTER
C342049458,arrrggghh...*Python* is a terrible language - only §Perl$ sucks worse.,1.0,BETTER
M1996478726,*PHP* is slower than §Java$ but scales nicely anyway.,1.0,WORSE
S2973030164,"Unless you are working experienced *Python* web developers, §PHP$ is easier to get started with.",1.0,WORSE
S2984110393,"Users of *Windows 98* and previous versions will find §Windows XP$ a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",1.0,WORSE
N2120513578,"*Ruby* isn't (in my observation) too much slower than Perl, §Python$ or PHP.",0.6262,WORSE
D506840209,Compared to *Perl* - §Ruby$ is much much nicer.,1.0,WORSE
O2417243467,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than *Windows XP* did when the hardware was brand new and §Windows 8$ runs even better again).",0.6923,WORSE
H1148063360,"I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, *Python*, or even §Bash$) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.",0.655,NONE
R2910824756,"To be precise, *Java* and §Scala$ execute 28 times faster on average.",0.6758,OTHER
S2981371414,*USB* and §Ethernet$ are both better.,0.6626,NONE
