word_a	freq_a	word_b	freq_b	type	use_marker
fishing	337139	swimming	227607	seed=hiking	False
fishing	337139	skiing	100903	seed=hiking	True
fishing	337139	camping	53381	seed=hiking	True
fishing	337139	canoeing	14330	seed=hiking	True
fishing	337139	kayaking	10635	seed=hiking	True
fishing	337139	bicycling	5758	seed=hiking	False
swimming	227607	skiing	100903	seed=hiking	True
swimming	227607	camping	53381	seed=hiking	True
swimming	227607	canoeing	14330	seed=hiking	True
swimming	227607	kayaking	10635	seed=hiking	True
swimming	227607	bicycling	5758	seed=hiking	False
skiing	100903	camping	53381	seed=hiking	True
skiing	100903	canoeing	14330	seed=hiking	True
skiing	100903	kayaking	10635	seed=hiking	True
skiing	100903	bicycling	5758	seed=hiking	True
camping	53381	canoeing	14330	seed=hiking	False
camping	53381	kayaking	10635	seed=hiking	True
camping	53381	bicycling	5758	seed=hiking	True
canoeing	14330	kayaking	10635	seed=hiking	True
canoeing	14330	bicycling	5758	seed=hiking	True
kayaking	10635	bicycling	5758	seed=hiking	False
football	1153689	baseball	568828	seed=soccer	True
football	1153689	basketball	489176	seed=soccer	True
football	1153689	golf	388578	seed=soccer	True
football	1153689	tennis	314161	seed=soccer	True
football	1153689	hockey	264650	seed=soccer	False
football	1153689	volleyball	72149	seed=soccer	True
football	1153689	softball	52374	seed=soccer	True
football	1153689	lacrosse	28940	seed=soccer	True
baseball	568828	basketball	489176	seed=soccer	True
baseball	568828	golf	388578	seed=soccer	False
baseball	568828	tennis	314161	seed=soccer	True
baseball	568828	hockey	264650	seed=soccer	True
baseball	568828	volleyball	72149	seed=soccer	True
baseball	568828	softball	52374	seed=soccer	True
baseball	568828	lacrosse	28940	seed=soccer	False
basketball	489176	golf	388578	seed=soccer	True
basketball	489176	tennis	314161	seed=soccer	True
basketball	489176	hockey	264650	seed=soccer	True
basketball	489176	volleyball	72149	seed=soccer	True
basketball	489176	softball	52374	seed=soccer	False
basketball	489176	lacrosse	28940	seed=soccer	True
golf	388578	tennis	314161	seed=soccer	True
golf	388578	hockey	264650	seed=soccer	True
golf	388578	volleyball	72149	seed=soccer	True
golf	388578	softball	52374	seed=soccer	False
golf	388578	lacrosse	28940	seed=soccer	True
tennis	314161	hockey	264650	seed=soccer	True
tennis	314161	volleyball	72149	seed=soccer	True
tennis	314161	softball	52374	seed=soccer	True
tennis	314161	lacrosse	28940	seed=soccer	False
hockey	264650	volleyball	72149	seed=soccer	True
hockey	264650	softball	52374	seed=soccer	True
hockey	264650	lacrosse	28940	seed=soccer	True
volleyball	72149	softball	52374	seed=soccer	True
volleyball	72149	lacrosse	28940	seed=soccer	False
softball	52374	lacrosse	28940	seed=soccer	True
drink	279555	milk	235751	seed=coffee	True
drink	279555	beer	227979	seed=coffee	True
drink	279555	tea	222675	seed=coffee	True
drink	279555	chocolate	138098	seed=coffee	False
drink	279555	juice	114683	seed=coffee	True
drink	279555	beverage	43742	seed=coffee	True
drink	279555	soda	42306	seed=coffee	True
drink	279555	cappuccino	5619	seed=coffee	True
milk	235751	beer	227979	seed=coffee	False
milk	235751	tea	222675	seed=coffee	True
milk	235751	chocolate	138098	seed=coffee	True
milk	235751	juice	114683	seed=coffee	True
milk	235751	beverage	43742	seed=coffee	True
milk	235751	soda	42306	seed=coffee	False
milk	235751	cappuccino	5619	seed=coffee	True
beer	227979	tea	222675	seed=coffee	True
beer	227979	chocolate	138098	seed=coffee	True
beer	227979	juice	114683	seed=coffee	True
beer	227979	beverage	43742	seed=coffee	False
beer	227979	soda	42306	seed=coffee	True
beer	227979	cappuccino	5619	seed=coffee	True
tea	222675	chocolate	138098	seed=coffee	True
tea	222675	juice	114683	seed=coffee	True
tea	222675	beverage	43742	seed=coffee	False
tea	222675	soda	42306	seed=coffee	True
tea	222675	cappuccino	5619	seed=coffee	True
chocolate	138098	juice	114683	seed=coffee	True
chocolate	138098	beverage	43742	seed=coffee	True
chocolate	138098	soda	42306	seed=coffee	False
chocolate	138098	cappuccino	5619	seed=coffee	True
juice	114683	beverage	43742	seed=coffee	True
juice	114683	soda	42306	seed=coffee	True
juice	114683	cappuccino	5619	seed=coffee	True
beverage	43742	soda	42306	seed=coffee	False
beverage	43742	cappuccino	5619	seed=coffee	True
soda	42306	cappuccino	5619	seed=coffee	True
metal	382143	steel	362706	seed=wood	True
metal	382143	stone	327455	seed=wood	True
metal	382143	forest	287081	seed=wood	False
metal	382143	concrete	269809	seed=wood	True
metal	382143	timber	98426	seed=wood	True
metal	382143	aluminum	69961	seed=wood	True
metal	382143	lumber	33881	seed=wood	True
metal	382143	plywood	19602	seed=wood	False
steel	362706	stone	327455	seed=wood	True
steel	362706	forest	287081	seed=wood	True
steel	362706	concrete	269809	seed=wood	True
steel	362706	timber	98426	seed=wood	True
steel	362706	aluminum	69961	seed=wood	False
steel	362706	lumber	33881	seed=wood	True
steel	362706	plywood	19602	seed=wood	True
stone	327455	forest	287081	seed=wood	True
stone	327455	concrete	269809	seed=wood	True
stone	327455	timber	98426	seed=wood	False
stone	327455	aluminum	69961	seed=wood	True
stone	327455	lumber	33881	seed=wood	True
stone	327455	plywood	19602	seed=wood	True
forest	287081	concrete	269809	seed=wood	True
forest	287081	timber	98426	seed=wood	False
forest	287081	aluminum	69961	seed=wood	True
forest	287081	lumber	33881	seed=wood	True
forest	287081	plywood	19602	seed=wood	True
concrete	269809	timber	98426	seed=wood	True
concrete	269809	aluminum	69961	seed=wood	False
concrete	269809	lumber	33881	seed=wood	True
concrete	269809	plywood	19602	seed=wood	True
timber	98426	aluminum	69961	seed=wood	True
timber	98426	lumber	33881	seed=wood	True
timber	98426	plywood	19602	seed=wood	False
aluminum	69961	lumber	33881	seed=wood	True
aluminum	69961	plywood	19602	seed=wood	True
lumber	33881	plywood	19602	seed=wood	True
animal	400446	cat	148408	seed=hamster	True
animal	400446	mouse	109551	seed=hamster	False
animal	400446	pig	62902	seed=hamster	True
animal	400446	snake	49895	seed=hamster	True
animal	400446	rat	42841	seed=hamster	True
animal	400446	monkey	39146	seed=hamster	True
animal	400446	rabbit	38354	seed=hamster	False
animal	400446	ferret	7479	seed=hamster	True
cat	148408	mouse	109551	seed=hamster	True
cat	148408	pig	62902	seed=hamster	True
cat	148408	snake	49895	seed=hamster	True
cat	148408	rat	42841	seed=hamster	False
cat	148408	monkey	39146	seed=hamster	True
cat	148408	rabbit	38354	seed=hamster	True
cat	148408	ferret	7479	seed=hamster	True
mouse	109551	pig	62902	seed=hamster	True
mouse	109551	snake	49895	seed=hamster	False
mouse	109551	rat	42841	seed=hamster	True
mouse	109551	monkey	39146	seed=hamster	True
mouse	109551	rabbit	38354	seed=hamster	True
mouse	109551	ferret	7479	seed=hamster	True
pig	62902	snake	49895	seed=hamster	False
pig	62902	rat	42841	seed=hamster	True
pig	62902	monkey	39146	seed=hamster	True
pig	62902	rabbit	38354	seed=hamster	True
pig	62902	ferret	7479	seed=hamster	True
snake	49895	rat	42841	seed=hamster	False
snake	49895	monkey	39146	seed=hamster	True
snake	49895	rabbit	38354	seed=hamster	True
snake	49895	ferret	7479	seed=hamster	True
rat	42841	monkey	39146	seed=hamster	True
rat	42841	rabbit	38354	seed=hamster	False
rat	42841	ferret	7479	seed=hamster	True
monkey	39146	rabbit	38354	seed=hamster	True
monkey	39146	ferret	7479	seed=hamster	True
rabbit	38354	ferret	7479	seed=hamster	True
google	319132	amazon	112967	seed=netflix	False
google	319132	facebook	104785	seed=netflix	True
google	319132	youtube	85999	seed=netflix	True
google	319132	itunes	56501	seed=netflix	True
google	319132	blockbuster	38213	seed=netflix	True
google	319132	tivo	14185	seed=netflix	False
google	319132	hulu	6117	seed=netflix	True
amazon	112967	facebook	104785	seed=netflix	True
amazon	112967	youtube	85999	seed=netflix	True
amazon	112967	itunes	56501	seed=netflix	True
amazon	112967	blockbuster	38213	seed=netflix	False
amazon	112967	tivo	14185	seed=netflix	True
amazon	112967	hulu	6117	seed=netflix	True
facebook	104785	youtube	85999	seed=netflix	True
facebook	104785	itunes	56501	seed=netflix	True
facebook	104785	blockbuster	38213	seed=netflix	False
facebook	104785	tivo	14185	seed=netflix	True
facebook	104785	hulu	6117	seed=netflix	True
youtube	85999	itunes	56501	seed=netflix	True
youtube	85999	blockbuster	38213	seed=netflix	True
youtube	85999	tivo	14185	seed=netflix	False
youtube	85999	hulu	6117	seed=netflix	True
itunes	56501	blockbuster	38213	seed=netflix	True
itunes	56501	tivo	14185	seed=netflix	True
itunes	56501	hulu	6117	seed=netflix	True
blockbuster	38213	tivo	14185	seed=netflix	False
blockbuster	38213	hulu	6117	seed=netflix	True
tivo	14185	hulu	6117	seed=netflix	True
bread	157938	soup	85977	seed=salad	True
bread	157938	pizza	62989	seed=salad	True
bread	157938	potato	62292	seed=salad	False
bread	157938	sandwich	50046	seed=salad	True
bread	157938	pasta	49275	seed=salad	True
bread	157938	steak	37976	seed=salad	True
bread	157938	sausage	29465	seed=salad	True
soup	85977	pizza	62989	seed=salad	False
soup	85977	potato	62292	seed=salad	True
soup	85977	sandwich	50046	seed=salad	True
soup	85977	pasta	49275	seed=salad	True
soup	85977	steak	37976	seed=salad	True
soup	85977	sausage	29465	seed=salad	False
pizza	62989	potato	62292	seed=salad	True
pizza	62989	sandwich	50046	seed=salad	True
pizza	62989	pasta	49275	seed=salad	True
pizza	62989	steak	37976	seed=salad	True
pizza	62989	sausage	29465	seed=salad	False
potato	62292	sandwich	50046	seed=salad	True
potato	62292	pasta	49275	seed=salad	True
potato	62292	steak	37976	seed=salad	True
potato	62292	sausage	29465	seed=salad	True
sandwich	50046	pasta	49275	seed=salad	False
sandwich	50046	steak	37976	seed=salad	True
sandwich	50046	sausage	29465	seed=salad	True
