_unit_id,_created_at,_updated_at,label,sentence,please_select_how_object_a_and_object_b_compare_in_the_sentence_above_gold,please_select_how_object_a_and_object_b_compare_in_the_sentence_above_gold_reason
1444891677,11/9/2017 11:16:29,11/9/2017 15:45:16,NO_COMP,"OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it",,
1444891678,11/9/2017 11:16:29,11/9/2017 15:46:17,NO_COMP,I'd go with OBJECT_A or OBJECT_B.,,
1444891679,11/9/2017 11:16:29,11/9/2017 16:15:03,NO_COMP,"This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B.",,
1444891680,11/9/2017 11:16:29,11/9/2017 16:12:26,NO_COMP,"And your other server languages like OBJECT_A, PHP, OBJECT_B, etc.",,
1444891681,11/9/2017 11:16:29,11/9/2017 15:43:24,NO_COMP,"Java learned a lot from OBJECT_A, OBJECT_B and even C#.",,
1444891682,11/9/2017 11:16:29,11/9/2017 15:45:40,NO_COMP,OBJECT_A/OBJECT_B/Groovy/Perl is:,,
1444891683,11/9/2017 11:16:29,11/9/2017 16:16:52,NO_COMP,"Java, OBJECT_A, OBJECT_B, Perl, also all work.",,
1444891684,11/9/2017 11:16:29,11/9/2017 15:50:05,NO_COMP,"highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default.",,
1444891685,11/9/2017 11:16:29,11/9/2017 15:45:16,NO_COMP,"Highly skilled in Perl, PHP, OBJECT_A, OBJECT_B programming languages.",,
1444891686,11/9/2017 11:16:29,11/9/2017 15:45:50,NO_COMP,"OBJECT_A, java, OBJECT_B, php, javascript",,
1444891687,11/9/2017 11:16:29,11/9/2017 15:45:16,NO_COMP,So it comes down to OBJECT_A and OBJECT_B.,,
1444891688,11/9/2017 11:16:29,11/9/2017 15:46:16,NO_COMP,"OBJECT_A, OBJECT_B Compiled languages - e.g.",,
1444891689,11/9/2017 11:16:29,11/9/2017 15:44:38,NO_COMP,"However, there is OBJECT_A and OBJECT_B Rails to consider.",,
1444891690,11/9/2017 11:16:29,11/9/2017 16:15:49,NO_COMP,"Perl, OBJECT_A, OBJECT_B, and Unix shell scripts are also used.",,
1444891691,11/9/2017 11:16:29,11/9/2017 15:47:48,NO_COMP,Possibly OBJECT_A or OBJECT_B.,,
1444891692,11/9/2017 11:16:29,11/9/2017 15:42:23,NO_COMP,"Groovy, Perl, OBJECT_A, OBJECT_B, Bash).",,
1444891693,11/9/2017 11:16:29,11/9/2017 15:47:48,NO_COMP,"Speed: similar to Perl, OBJECT_A, OBJECT_B.",,
1444891694,11/9/2017 11:16:29,11/9/2017 16:16:52,NO_COMP,"Drop it immediately and start learning PHP, OBJECT_A, or OBJECT_B.",,
1444891695,11/9/2017 11:16:29,11/9/2017 15:37:21,NO_COMP,"language such as JavaScript, OBJECT_A, OBJECT_B, Groovy, etc.).",,
1444891696,11/9/2017 11:16:29,11/9/2017 15:43:24,NO_COMP,"PHP, OBJECT_A, or OBJECT_B?",,
1444891697,11/9/2017 11:16:29,11/9/2017 15:45:50,BETTER,I prefer OBJECT_A over OBJECT_B on windows.,,
1444891698,11/9/2017 11:16:29,11/9/2017 15:44:26,NO_COMP,"Perl, OBJECT_A, PHP, OBJECT_B), forking isn't a problem.",,
