id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
F850961380,Haskell is much faster to write in and allows me to sort out conceptual problems before implementing anything in a procedural language like Java.,Java,Haskell,NONE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ allow/VERB/conj/< sort/VERB/ccomp/< before/ADP/prep/< implement/VERB/pcomp/< like/ADP/prep/< Y/PROPN/pobj/<
H1164065192,I imagine Buick and Cadillac would be doing better if their former segment of retirees knew what they were buying.,Cadillac,Buick,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
H1164065192,I imagine Buick and Cadillac would be doing better if their former segment of retirees knew what they were buying.,Cadillac,Buick,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
I1240489293,"In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL than Windows 7 and DirectX/Direct3D.",OpenGL,Direct3D,BETTER,0.8,NOPATH
M2082395351,Refresh the project (in NetBeans or Eclipse),Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
M2082395351,Refresh the project (in NetBeans or Eclipse),Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<
R2835361841,"(This is assuming , of course, that Microsoft and Sony continue their current strategy of bigger, better, faster.",Microsoft,Sony,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
R2835361841,"(This is assuming , of course, that Microsoft and Sony continue their current strategy of bigger, better, faster.",Microsoft,Sony,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
E564012384,"Dell is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better Microsoft deal.",Microsoft,Dell,NONE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< question/NOUN/attr/< about/ADP/prep/< be/VERB/pcomp/< ploy/NOUN/attr/< get/VERB/acl/< Y/PROPN/dobj/<
E564012384,"Dell is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better Microsoft deal.",Microsoft,Dell,NONE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ be/VERB/conj/< question/NOUN/attr/< about/ADP/prep/< be/VERB/pcomp/< ploy/NOUN/attr/< get/VERB/acl/< good/ADJ/amod/V Y/PROPN/dobj/<
