_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,please_select_how_object_a_and_object_b_compare_in_the_sentence_above,label,please_select_how_object_a_and_object_b_compare_in_the_sentence_above_gold,sentence
1444891677,11/9/2017 15:44:46,false,3014445943,,11/9/2017 15:43:38,false,neodev,0.7778,43447518,COL,34,Bogotá,181.56.80.207,UNCLEAR,NO_COMP,,"OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it"
1444891677,11/9/2017 15:45:06,false,3014447723,,11/9/2017 15:43:38,false,neodev,1.0,43889953,VEN,25,Caracas,201.209.232.151,NO_COMP,NO_COMP,,"OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it"
1444891677,11/9/2017 15:45:12,false,3014448358,,11/9/2017 15:43:50,false,clixsense,1.0,43758573,ITA,07,Guidonia,185.82.113.70,UNCLEAR,NO_COMP,,"OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it"
1444891678,11/9/2017 15:45:52,false,3014451626,,11/9/2017 15:45:07,false,neodev,1.0,43889953,VEN,25,Caracas,201.209.232.151,NO_COMP,NO_COMP,,I'd go with OBJECT_A or OBJECT_B.
1444891678,11/9/2017 15:45:58,false,3014452368,,11/9/2017 15:45:06,false,clixsense,0.9091,24002472,ITA,15,Camporotondo Etneo,82.53.44.10,NO_COMP,NO_COMP,,I'd go with OBJECT_A or OBJECT_B.
1444891678,11/9/2017 15:46:05,false,3014453176,,11/9/2017 15:45:04,false,clixsense,0.875,43773547,TUR,34,Istanbul,176.33.155.192,UNCLEAR,NO_COMP,,I'd go with OBJECT_A or OBJECT_B.
1444891679,11/9/2017 15:43:31,false,3014439833,,11/9/2017 15:42:28,false,neodev,0.7778,43447518,COL,34,Bogotá,181.56.80.207,UNCLEAR,NO_COMP,,"This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B."
1444891679,11/9/2017 15:44:12,false,3014443168,,11/9/2017 15:42:28,false,neodev,0.875,33664760,VEN,13,Barquisimeto,190.142.84.66,NO_COMP,NO_COMP,,"This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B."
1444891679,11/9/2017 16:14:53,false,3014591479,,11/9/2017 16:12:42,false,elite,0.8571,33102233,VNM,20,Ho Chi Minh City,115.77.220.177,NO_COMP,NO_COMP,,"This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B."
1444891680,11/9/2017 15:42:50,false,3014436452,,11/9/2017 15:41:23,false,clixsense,0.9091,24002472,ITA,15,Camporotondo Etneo,82.53.44.10,NO_COMP,NO_COMP,,"And your other server languages like OBJECT_A, PHP, OBJECT_B, etc."
1444891680,11/9/2017 15:42:53,false,3014436732,,11/9/2017 15:41:21,false,neodev,0.8889,43860707,TUR,68,Ankara,78.161.184.112,NO_COMP,NO_COMP,,"And your other server languages like OBJECT_A, PHP, OBJECT_B, etc."
1444891680,11/9/2017 16:12:16,false,3014579435,,11/9/2017 16:11:24,false,neodev,0.8571,42090408,VEN,25,Caracas,190.74.208.125,UNCLEAR,NO_COMP,,"And your other server languages like OBJECT_A, PHP, OBJECT_B, etc."
1444891681,11/9/2017 15:41:49,false,3014430940,,11/9/2017 15:40:40,false,neodev,1.0,43531815,CHL,12,Santiago,181.160.148.130,NO_COMP,NO_COMP,,"Java learned a lot from OBJECT_A, OBJECT_B and even C#."
1444891681,11/9/2017 15:42:05,false,3014432420,,11/9/2017 15:40:19,false,neodev,0.875,33664760,VEN,13,Barquisimeto,190.142.84.66,NO_COMP,NO_COMP,,"Java learned a lot from OBJECT_A, OBJECT_B and even C#."
1444891681,11/9/2017 15:43:13,false,3014438413,,11/9/2017 15:40:15,false,neodev,1.0,43931724,PHL,F2,Quezon City,112.201.93.60,NO_COMP,NO_COMP,,"Java learned a lot from OBJECT_A, OBJECT_B and even C#."
1444891682,11/9/2017 15:42:55,false,3014436942,,11/9/2017 15:42:00,false,neodev,1.0,20306047,GBR,C3,Ely,89.240.36.160,NO_COMP,NO_COMP,,OBJECT_A/OBJECT_B/Groovy/Perl is:
1444891682,11/9/2017 15:42:59,false,3014437316,,11/9/2017 15:41:55,false,neodev,0.9091,43777305,EGY,06,Alexandria,156.212.235.221,NO_COMP,NO_COMP,,OBJECT_A/OBJECT_B/Groovy/Perl is:
1444891682,11/9/2017 15:45:30,false,3014449720,,11/9/2017 15:42:18,false,neodev,1.0,41595150,VEN,"","",190.76.250.69,NO_COMP,NO_COMP,,OBJECT_A/OBJECT_B/Groovy/Perl is:
1444891683,11/9/2017 15:45:47,false,3014451319,,11/9/2017 15:44:48,false,neodev,1.0,20306047,GBR,C3,Ely,89.240.36.160,NO_COMP,NO_COMP,,"Java, OBJECT_A, OBJECT_B, Perl, also all work."
1444891683,11/9/2017 15:46:12,false,3014453807,,11/9/2017 15:44:58,false,neodev,0.8333,41841779,VEN,13,Barquisimeto,200.84.31.235,NO_COMP,NO_COMP,,"Java, OBJECT_A, OBJECT_B, Perl, also all work."
1444891683,11/9/2017 16:16:42,false,3014599874,,11/9/2017 16:15:17,false,neodev,0.8571,42090408,VEN,25,Caracas,190.74.208.125,UNCLEAR,NO_COMP,,"Java, OBJECT_A, OBJECT_B, Perl, also all work."
1444891684,11/9/2017 15:41:21,false,3014428473,,11/9/2017 15:40:21,false,clixsense,0.9091,24002472,ITA,15,Camporotondo Etneo,82.53.44.10,NO_COMP,NO_COMP,,"highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default."
1444891684,11/9/2017 15:42:27,false,3014434326,,11/9/2017 15:40:46,false,neodev,0.7778,43447518,COL,34,Bogotá,181.56.80.207,UNCLEAR,NO_COMP,,"highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default."
1444891684,11/9/2017 15:43:53,false,3014441467,,11/9/2017 15:40:44,false,neodev,0.7143,33056318,VEN,19,Cumaná,190.198.249.24,NO_COMP,NO_COMP,,"highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default."
1444891684,11/9/2017 15:46:35,false,3014455773,,11/9/2017 15:45:29,false,neodev,0.8889,43860707,TUR,68,Ankara,78.161.184.112,NO_COMP,NO_COMP,,"highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default."
1444891685,11/9/2017 15:44:46,false,3014445911,,11/9/2017 15:43:38,false,neodev,0.7778,43447518,COL,34,Bogotá,181.56.80.207,NO_COMP,NO_COMP,,"Highly skilled in Perl, PHP, OBJECT_A, OBJECT_B programming languages."
