word_a	freq_a	word_b	freq_b	type	use_marker
parent	33	child	195	wordnet	True
natural_object	197	artifact	55	wordnet	False
location	44	studio	281	wordnet	True
kindness	34	unkindness	301	wordnet	True
credit	360	debit	349	wordnet	True
action	73	inaction	203	wordnet	True
cross-fertilization	29	self-fertilization	17	wordnet	True
play	335	tightness	170	wordnet	False
egress	23	ingress	12	wordnet	True
overachievement	41	underachievement	15	wordnet	True
appearance	200	disappearance	107	wordnet	True
retreat	237	advance	353	wordnet	True
debarkation	12	embarkation	275	wordnet	True
boarding	26	disembarkation	121	wordnet	True
evasion	206	payment	280	wordnet	True
success	157	failure	241	wordnet	False
passing	237	failing	178	wordnet	True
loss	98	gain	179	wordnet	True
bull	15	bear	108	wordnet	True
call_option	23	put_option	16	wordnet	False
acceptance	180	rejection	41	wordnet	True
sequestration	51	integration	120	wordnet	False
service	109	disservice	22	wordnet	True
curve	216	straight_line	85	wordnet	True
depression	242	elation	64	wordnet	True
pluck	167	gutlessness	13	wordnet	True
best	178	worst	249	wordnet	True
fair_ball	247	foul_ball	27	wordnet	True
convergence	294	divergence	23	wordnet	True
loosening	12	tightening	235	wordnet	True
resolution	67	irresoluteness	13	wordnet	True
monetization	104	demonetization	100	wordnet	True
cross-pollination	149	self-pollination	175	wordnet	True
inducement	15	disincentive	187	wordnet	False
corruption	235	incorruptness	0	wordnet	True
decision	101	indecisiveness	215	wordnet	True
loop	222	open_circuit	21	wordnet	True
split_ticket	51	straight_ticket	205	wordnet	False
safety	151	danger	366	wordnet	True
earned_run	296	unearned_run	5016	wordnet	True
reduction	104	increase	208	wordnet	True
domestication	18	wildness	11	wordnet	True
promotion	156	demotion	12	wordnet	False
finish	50	beginning	314	wordnet	True
death	356	birth	358	wordnet	True
spontaneous_abortion	30	live_birth	1082	wordnet	True
deactivation	276	activation	114	wordnet	True
reversal	195	affirmation	1044	wordnet	True
kickoff	21	end	351	wordnet	True
improvement	361	decline	157	wordnet	True
development	113	devolution	49	wordnet	True
broadening	59	narrowing	27	wordnet	True
perfection	280	imperfection	18	wordnet	True
engagement	248	non-engagement	16	wordnet	True
coloring	22	colorlessness	47	wordnet	True
environmentalism	35	hereditarianism	14	wordnet	True
contamination	314	decontamination	25	wordnet	True
motion	349	motionlessness	13	wordnet	True
closing	222	opening	255	wordnet	True
foot	157	head	163	wordnet	True
rising_trot	15	sitting_trot	0	wordnet	True
domestic_flight	3131	international_flight	284	wordnet	True
connection	204	unconnectedness	12	wordnet	False
rise	304	fall	320	wordnet	False
levitation	12	gravitation	26	wordnet	True
climb	202	descent	248	wordnet	True
flood	285	ebbtide	26	wordnet	True
acceleration	61	deceleration	143	wordnet	True
agitation	34	calmness	25	wordnet	True
inclination	28	disinclination	12	wordnet	True
pronation	77	supination	42	wordnet	True
snap	20	inelasticity	80	wordnet	True
right	24	left	18	wordnet	True
moderation	1903	immoderation	35	wordnet	True
minimization	175	maximization	95	wordnet	True
compression	162	decompression	16	wordnet	True
expression	50	misconstruction	23	wordnet	False
subtraction	76	addition	7888	wordnet	True
deflation	269	disinflation	67	wordnet	True
weakening	59533	strengthening	269	wordnet	True
dilution	91	concentration	269	wordnet	True
appreciation	242	depreciation	31	wordnet	True
augmentation	16	diminution	84	wordnet	True
contraction	70	expansion	36	wordnet	True
magnification	17	understatement	27	wordnet	True
extension	153	flexion	50	wordnet	True
inclusion	70	exclusion	308	wordnet	True
roughness	21	smoothness	12	wordnet	True
temperance	270	intemperance	98	wordnet	True
union	285	separation	169	wordnet	False
