_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,label,orig__golden,a,b,id,label_gold,label_gold_reason,marker,raw_text,text_html,text_readable,type
1622485564,3/10/2018 13:28:39,false,3458708600,,3/10/2018 13:27:59,false,clixsense,0.8889,40619580,IND,23,Amritsar,103.223.8.215,NONE,False,Google,Intel,D506205855,,,True,"Companies like Intel, MasterCard, Acer, and Google are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>, MasterCard, Acer, and <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like *Intel*, MasterCard, Acer, and §Google$ are also planning to adopt NFC in their systems to better their services in many countries worldwide.",brands
1622485564,3/10/2018 13:28:42,false,3458708648,,3/10/2018 13:28:03,false,clixsense,0.8889,41387391,IND,16,Ulhasnagar,103.248.29.196,NONE,False,Google,Intel,D506205855,,,True,"Companies like Intel, MasterCard, Acer, and Google are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>, MasterCard, Acer, and <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like *Intel*, MasterCard, Acer, and §Google$ are also planning to adopt NFC in their systems to better their services in many countries worldwide.",brands
1622485565,3/10/2018 13:27:51,false,3458706460,,3/10/2018 13:27:28,false,clixsense,0.9118,40557293,SRB,00,Belgrade,87.116.177.110,BETTER,False,Samsung,Toshiba,I1260192556,,,True,"In fact, the Toshiba is superior to the Samsung in all aspects except for the black level and the on-board audio.","In fact, the <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> is superior to the <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> in all aspects except for the black level and the on-board audio.","In fact, the *Toshiba* is superior to the §Samsung$ in all aspects except for the black level and the on-board audio.",brands
1622485565,3/10/2018 13:28:30,false,3458708151,,3/10/2018 13:27:33,false,clixsense,0.9333,37044282,RUS,90,Perm,46.146.40.39,BETTER,False,Samsung,Toshiba,I1260192556,,,True,"In fact, the Toshiba is superior to the Samsung in all aspects except for the black level and the on-board audio.","In fact, the <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> is superior to the <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> in all aspects except for the black level and the on-board audio.","In fact, the *Toshiba* is superior to the §Samsung$ in all aspects except for the black level and the on-board audio.",brands
1622485566,3/10/2018 13:29:14,false,3458710200,,3/10/2018 13:28:32,false,clixsense,0.9333,37044282,RUS,90,Perm,46.146.40.39,NONE,False,Ferrari,Renault,E701766375,,,False,Federico Gasperetti (ITA)/Federico Ferrari (ITA) Renault Mégane R.S. N4,"Federico Gasperetti (ITA)/Federico <span style=""color: #9A14B2; font-weight: bold"">Ferrari:[OBJECT_A]</span> (ITA) <span style=""color: #6CB219; font-weight: bold"">Renault:[OBJECT_B]</span> Mégane R.S. N4",Federico Gasperetti (ITA)/Federico *Ferrari* (ITA) §Renault$ Mégane R.S. N4,brands
1622485566,3/10/2018 13:29:34,false,3458710965,,3/10/2018 13:28:29,false,neodev,0.8636,44155512,EGY,11,Cairo,217.55.9.179,NONE,False,Ferrari,Renault,E701766375,,,False,Federico Gasperetti (ITA)/Federico Ferrari (ITA) Renault Mégane R.S. N4,"Federico Gasperetti (ITA)/Federico <span style=""color: #9A14B2; font-weight: bold"">Ferrari:[OBJECT_A]</span> (ITA) <span style=""color: #6CB219; font-weight: bold"">Renault:[OBJECT_B]</span> Mégane R.S. N4",Federico Gasperetti (ITA)/Federico *Ferrari* (ITA) §Renault$ Mégane R.S. N4,brands
1622485567,3/10/2018 13:28:44,false,3458708800,,3/10/2018 13:28:23,false,clixsense,0.9118,40557293,SRB,00,Belgrade,87.116.177.110,NONE,False,IBM,Intel,R2821985111,,,True,"This enhancement allows customer to use an equivalent or faster Intel-processor based servers from HP, IBM, and Dell.","This enhancement allows customer to use an equivalent or faster <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>-processor based servers from HP, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, and Dell.","This enhancement allows customer to use an equivalent or faster *Intel*-processor based servers from HP, §IBM$, and Dell.",brands
1622485567,3/10/2018 13:28:54,false,3458709146,,3/10/2018 13:28:20,false,clixsense,0.9412,6335115,SRB,00,Belgrade,109.93.85.170,NONE,False,IBM,Intel,R2821985111,,,True,"This enhancement allows customer to use an equivalent or faster Intel-processor based servers from HP, IBM, and Dell.","This enhancement allows customer to use an equivalent or faster <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>-processor based servers from HP, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, and Dell.","This enhancement allows customer to use an equivalent or faster *Intel*-processor based servers from HP, §IBM$, and Dell.",brands
1622485568,3/10/2018 13:28:59,false,3458709398,,3/10/2018 13:28:16,false,elite,0.8125,44028226,VEN,07,Valencia,190.206.2.216,BETTER,False,Microsoft,Amazon,K1713562154,,,True,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> Azure performed better than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","*Microsoft* Azure performed better than §Amazon$ Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",brands
1622485568,3/10/2018 13:30:52,false,3458714425,,3/10/2018 13:28:13,false,clixsense,0.8,8941631,BRA,21,Rio De Janeiro,189.122.198.249,BETTER,False,Microsoft,Amazon,K1713562154,,,True,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> Azure performed better than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","*Microsoft* Azure performed better than §Amazon$ Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",brands
