_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,orig__golden,a,b,id,label_gold,label_gold_reason,marker,raw_text,text_html,text_readable,type
1622485564,false,finalized,2,3/10/2018 13:28:42,NONE,1.0,False,Google,Intel,D506205855,,,True,"Companies like Intel, MasterCard, Acer, and Google are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>, MasterCard, Acer, and <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> are also planning to adopt NFC in their systems to better their services in many countries worldwide.","Companies like *Intel*, MasterCard, Acer, and §Google$ are also planning to adopt NFC in their systems to better their services in many countries worldwide.",brands
1622485565,false,finalized,2,3/10/2018 13:28:30,BETTER,1.0,False,Samsung,Toshiba,I1260192556,,,True,"In fact, the Toshiba is superior to the Samsung in all aspects except for the black level and the on-board audio.","In fact, the <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> is superior to the <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> in all aspects except for the black level and the on-board audio.","In fact, the *Toshiba* is superior to the §Samsung$ in all aspects except for the black level and the on-board audio.",brands
1622485566,false,finalized,2,3/10/2018 13:29:34,NONE,1.0,False,Ferrari,Renault,E701766375,,,False,Federico Gasperetti (ITA)/Federico Ferrari (ITA) Renault Mégane R.S. N4,"Federico Gasperetti (ITA)/Federico <span style=""color: #9A14B2; font-weight: bold"">Ferrari:[OBJECT_A]</span> (ITA) <span style=""color: #6CB219; font-weight: bold"">Renault:[OBJECT_B]</span> Mégane R.S. N4",Federico Gasperetti (ITA)/Federico *Ferrari* (ITA) §Renault$ Mégane R.S. N4,brands
1622485567,false,finalized,2,3/10/2018 13:28:54,NONE,1.0,False,IBM,Intel,R2821985111,,,True,"This enhancement allows customer to use an equivalent or faster Intel-processor based servers from HP, IBM, and Dell.","This enhancement allows customer to use an equivalent or faster <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span>-processor based servers from HP, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, and Dell.","This enhancement allows customer to use an equivalent or faster *Intel*-processor based servers from HP, §IBM$, and Dell.",brands
1622485568,false,finalized,2,3/10/2018 13:30:52,BETTER,1.0,False,Microsoft,Amazon,K1713562154,,,True,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> Azure performed better than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .","*Microsoft* Azure performed better than §Amazon$ Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",brands
1622485569,false,finalized,2,3/10/2018 13:31:39,WORSE,0.5122,False,Ford,Honda,T3173142468,,,True,Why can't Ford puts better handling into the FWD Fusion if Honda can do it 10 years ago?,"Why can't <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> puts better handling into the FWD Fusion if <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> can do it 10 years ago?",Why can't *Ford* puts better handling into the FWD Fusion if §Honda$ can do it 10 years ago?,brands
1622485570,false,finalized,2,3/10/2018 13:30:58,NONE,1.0,False,Google,Kingston,R2870085823,,,False,"This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog","This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, <span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span>, WD, Yahoo, MSI, XFX, Huawei My blog","This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, *Google* etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, §Kingston$, WD, Yahoo, MSI, XFX, Huawei My blog",brands
1622485571,false,finalized,2,3/10/2018 13:28:56,NONE,1.0,False,Toyota,Chrysler,C370643168,,,True,"A solid argument could be made for retrofuturism as one of automotive design's defining themes over the past few years... witness offerings like the Chrysler PT Cruiser, Volkswagen New Beetle, MINI Cooper, and more recently, the Chevrolet HHR and Toyota FJ.","A solid argument could be made for retrofuturism as one of automotive design's defining themes over the past few years... witness offerings like the <span style=""color: #9A14B2; font-weight: bold"">Chrysler:[OBJECT_A]</span> PT Cruiser, Volkswagen New Beetle, MINI Cooper, and more recently, the Chevrolet HHR and <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span> FJ.","A solid argument could be made for retrofuturism as one of automotive design's defining themes over the past few years... witness offerings like the *Chrysler* PT Cruiser, Volkswagen New Beetle, MINI Cooper, and more recently, the Chevrolet HHR and §Toyota$ FJ.",brands
1622485572,false,finalized,2,3/10/2018 13:30:58,NONE,1.0,False,Samsung,Motorola,N2130778182,,,False,Samsung and Motorola both did a purchase.,"<span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span> both did a purchase.",*Samsung* and §Motorola$ both did a purchase.,brands
1622485573,false,finalized,2,3/10/2018 13:58:27,NONE,1.0,False,Advil,Motrin,A151622218,,,False,"Advil, Motrin, Nuprin ), Naproxen ( e.g.","<span style=""color: #9A14B2; font-weight: bold"">Advil:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Motrin:[OBJECT_B]</span>, Nuprin ), Naproxen ( e.g.","*Advil*, §Motrin$, Nuprin ), Naproxen ( e.g.",brands
