,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable,type
181,1534177012,False,finalized,3,1/11/2018 17:37:52,NONE,1.0,iOS,,Apple TV,N,M1938830866,,True,"Other features of iOS 5 include Mail and Safari improvements, a new camera button in the Lock Screen, AirPlay Mirroring to an Apple TV and a systemwide split keyboard to make it easier to type on the iPad.","Other features of <span style=""color: #9A14B2; font-weight: bold"">iOS:[OBJECT_A]</span> 5 include Mail and Safari improvements, a new camera button in the Lock Screen, AirPlay Mirroring to an <span style=""color: #6CB219; font-weight: bold"">Apple TV:[OBJECT_B]</span> and a systemwide split keyboard to make it easier to type on the iPad.","Other features of *iOS* 5 include Mail and Safari improvements, a new camera button in the Lock Screen, AirPlay Mirroring to an §Apple TV$ and a systemwide split keyboard to make it easier to type on the iPad.",compsci
1437,1576062322,False,finalized,3,2/17/2018 15:29:53,BETTER,0.6667,Java,,Perl,,J1545035256,,True,Java jobs with far lower expectations have paid me personally far better than Perl jobs with high expectations.,"<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> jobs with far lower expectations have paid me personally far better than <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> jobs with high expectations.",*Java* jobs with far lower expectations have paid me personally far better than §Perl$ jobs with high expectations.,compsci
1613,1576062499,False,finalized,3,2/17/2018 15:30:24,NONE,1.0,PHP,,JavaScript,,L1868253592,,True,"Of course we can reconfigure our server to run JavaScript files through the PHP interpreter, but the current approach is probably easier.","Of course we can reconfigure our server to run <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> files through the <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> interpreter, but the current approach is probably easier.","Of course we can reconfigure our server to run *JavaScript* files through the §PHP$ interpreter, but the current approach is probably easier.",compsci
1040,1576061924,False,finalized,3,2/16/2018 08:45:26,BETTER,0.6618,Python,,Lisp,,H1151119841,,True,I have no doubt that a good LISP hacker can write from scratch something faster/better than a good Python hacker could write the same thing.,"I have no doubt that a good <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span> hacker can write from scratch something faster/better than a good <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> hacker could write the same thing.",I have no doubt that a good *Lisp* hacker can write from scratch something faster/better than a good §Python$ hacker could write the same thing.,compsci
821,1576061703,False,finalized,3,2/16/2018 08:43:37,BETTER,1.0,Java,,Perl,,M1988287065,,True,"Perl can compile, optimise, and execute some activities faster than Java can load, initialise itself, and execute a pre-compiled .class","<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> can compile, optimise, and execute some activities faster than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> can load, initialise itself, and execute a pre-compiled .class","*Perl* can compile, optimise, and execute some activities faster than §Java$ can load, initialise itself, and execute a pre-compiled .class",compsci
390,1576061268,False,finalized,3,2/5/2018 15:54:17,WORSE,0.6682,Java,,Scala,,T3194670679,,True,"With most Java code I seldom have to use the source, but for the scala code it seems easier to start with the source.","With most <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> code I seldom have to use the source, but for the <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> code it seems easier to start with the source.","With most *Java* code I seldom have to use the source, but for the §Scala$ code it seems easier to start with the source.",compsci
904,1576061787,False,finalized,3,2/16/2018 08:45:34,NONE,1.0,Python,,Bash,,S2983227885,,True,"Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration Management (Puppet/Ansible) Experience of working in DevOps model and environments... Networking Skills (LAN/WAN/Firewall) Desirable Skills and Experience: SC...","Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, <span style=""color: #9A14B2; font-weight: bold"">Bash:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>) Configuration Management (Puppet/Ansible) Experience of working in DevOps model and environments... Networking Skills (LAN/WAN/Firewall) Desirable Skills and Experience: SC...","Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, *Bash*, §Python$) Configuration Management (Puppet/Ansible) Experience of working in DevOps model and environments... Networking Skills (LAN/WAN/Firewall) Desirable Skills and Experience: SC...",compsci
497,1534177333,False,finalized,4,1/11/2018 19:30:41,NONE,1.0,Windows XP,,Windows Vista,,F855453770,,True,"Having a portable drive with the full versions of Java, Flash, Windows XP XP3, Windows Vista SP2, Windows 7 and the DotNet Family makes repairs easier.","Having a portable drive with the full versions of Java, Flash, <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> XP3, <span style=""color: #6CB219; font-weight: bold"">Windows Vista:[OBJECT_B]</span> SP2, Windows 7 and the DotNet Family makes repairs easier.","Having a portable drive with the full versions of Java, Flash, *Windows XP* XP3, §Windows Vista$ SP2, Windows 7 and the DotNet Family makes repairs easier.",compsci
356,1576061234,False,finalized,3,2/5/2018 15:52:22,NONE,0.6395,iOS,,Apple TV,,M2003652716,,True,"Playback videos on iOS/Win 8 RT/Android tablets & phones It supports import MTS/M2TS/MXF/MOV/MKV/TiVo/AVI and output MPEG-4 videos for better playback on iPad, iPhone, Apple TV, and Android tablets like Samsung Galaxy Note, Amazon Kindle Fire HD, and Microsoft Surface Windows RT/Pro.","Playback videos on <span style=""color: #9A14B2; font-weight: bold"">iOS:[OBJECT_A]</span>/Win 8 RT/Android tablets & phones It supports import MTS/M2TS/MXF/MOV/MKV/TiVo/AVI and output MPEG-4 videos for better playback on iPad, iPhone, <span style=""color: #6CB219; font-weight: bold"">Apple TV:[OBJECT_B]</span>, and Android tablets like Samsung Galaxy Note, Amazon Kindle Fire HD, and Microsoft Surface Windows RT/Pro.","Playback videos on *iOS*/Win 8 RT/Android tablets & phones It supports import MTS/M2TS/MXF/MOV/MKV/TiVo/AVI and output MPEG-4 videos for better playback on iPad, iPhone, §Apple TV$, and Android tablets like Samsung Galaxy Note, Amazon Kindle Fire HD, and Microsoft Surface Windows RT/Pro.",compsci
422,1534177258,False,finalized,4,1/11/2018 19:26:26,NONE,1.0,Sed,,AWK,,A168113730,,True,"After spending 4 or 5 years working on servers with decent amounts of data going through them, I've had to do a fair bit of forensic work with saved databases, giant log files, etc. AWK, sed, Groovy, EMACS, and their kin have been my friends.","After spending 4 or 5 years working on servers with decent amounts of data going through them, I've had to do a fair bit of forensic work with saved databases, giant log files, etc. <span style=""color: #9A14B2; font-weight: bold"">AWK:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Sed:[OBJECT_B]</span>, Groovy, EMACS, and their kin have been my friends.","After spending 4 or 5 years working on servers with decent amounts of data going through them, I've had to do a fair bit of forensic work with saved databases, giant log files, etc. *AWK*, §Sed$, Groovy, EMACS, and their kin have been my friends.",compsci
322,1534177158,False,finalized,4,1/11/2018 19:29:45,NONE,1.0,Ruby,,JavaScript,,I1309420121,,True,"In the more liberated languages, such as JavaScript and Ruby, there's decent object-oriented support, but it's not a requirement.","In the more liberated languages, such as <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>, there's decent object-oriented support, but it's not a requirement.","In the more liberated languages, such as *JavaScript* and §Ruby$, there's decent object-oriented support, but it's not a requirement.",compsci
1191,1576062075,False,finalized,3,2/16/2018 10:03:01,WORSE,1.0,Java,,Scala,,M1985263979,,True,"Perhaps a Java solution is inferior, in a theoretical sense, to some Haskell code or Scala turbocharged with some macro magic, but what would it mean to choose the ""better""?","Perhaps a <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> solution is inferior, in a theoretical sense, to some Haskell code or <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> turbocharged with some macro magic, but what would it mean to choose the ""better""?","Perhaps a *Java* solution is inferior, in a theoretical sense, to some Haskell code or §Scala$ turbocharged with some macro magic, but what would it mean to choose the ""better""?",compsci
896,1576061778,False,finalized,3,2/16/2018 08:42:02,BETTER,0.6462,Windows 7,,Windows 8,,R2929034219,,True,Top Reasons: Why Windows 8 is better than Windows 7?,"Top Reasons: Why <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>?",Top Reasons: Why *Windows 8* is better than §Windows 7$?,compsci
903,1576061786,False,finalized,3,2/16/2018 08:47:29,NONE,0.6813,Java,,Scala,,F786045835,,True,"From what I could gather, it is much easier for a Java programmer to read (make sense of) simple Python code than to read Scala code.","From what I could gather, it is much easier for a <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> programmer to read (make sense of) simple Python code than to read <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> code.","From what I could gather, it is much easier for a *Java* programmer to read (make sense of) simple Python code than to read §Scala$ code.",compsci
263,1576061139,False,finalized,3,2/5/2018 15:52:01,NONE,1.0,Ruby,,Python,,A20853426,,True,"- 1.26 Is Perl better than PHP, Python, Ruby, etc.?","- 1.26 Is Perl better than PHP, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>, etc.?","- 1.26 Is Perl better than PHP, *Python*, §Ruby$, etc.?",compsci
178,1576061053,False,finalized,3,2/5/2018 13:47:21,NONE,0.6707,MySQL,,PostgreSQL,,D437806234,,True,By using a SQL database such as Postgresql or Mysql it seams that it would make this task much easier.,"By using a SQL database such as <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> it seams that it would make this task much easier.",By using a SQL database such as *PostgreSQL* or §MySQL$ it seams that it would make this task much easier.,compsci
