a,also_acceptable,b,id,marker,raw_text,text_html,text_readable
plastic,,wood,C354912866,True,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> electronic parts than <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint *plastic* electronic parts than §wood$, and MUCH easier to get a nice, shiny metallic appearance on it."
georgia,,carolina,O2273872443,True,South Carolina needs better start this week against Georgia,"South <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> needs better start this week against <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>",South *carolina* needs better start this week against §georgia$
plastic,,wood,M2003263973,True,Plastic -Material Details: ..-Solid Wood Construction: .-Shape:,"<span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> -Material Details: ..-Solid <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span> Construction: .-Shape:",*plastic* -Material Details: ..-Solid §wood$ Construction: .-Shape:
carolina,,missouri,D492244162,True,"Clinton was also as competitive, or doing better than Obama, at this time in Missouri, North Carolina, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in *missouri*, North §carolina$, and Indiana."
basketball,,hockey,Q2669417294,True,"There's nothing worse than playing basketball in an empty hockey rink, he said.","There's nothing worse than playing <span style=color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> in an empty <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span> rink,"" he said.","There's nothing worse than playing *basketball* in an empty §hockey$ rink, he said."
wood,,cardboard,K1628185655,True,Light weight wood or one of the various board substitutes is better than cardboard.,"Light weight <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> or one of the various board substitutes is better than <span style=""color: #6CB219; font-weight: bold"">cardboard:[OBJECT_B]</span>.",Light weight *wood* or one of the various board substitutes is better than §cardboard$.
plastic,,wood,N2243749725,True,Solid wood frame and compartments with clear plastic fronts,"Solid <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> frame and compartments with clear <span style=""color: #6CB219; font-weight: bold"">plastic:[OBJECT_B]</span> fronts",Solid *wood* frame and compartments with clear §plastic$ fronts
basketball,,hockey,N2238535081,True,"So, I'm sure some find edges in ""harder"" sports like basketball or hockey.","So, I'm sure some find edges in ""harder"" sports like <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span>.","So, I'm sure some find edges in ""harder"" sports like *basketball* or §hockey$."
phone,,ipod,F751653586,True,"For me, combining my ipod touch's internet, music, and multimedia into a phone that has superior browsing over the BB.","For me, combining my <span style=""color: #9A14B2; font-weight: bold"">ipod:[OBJECT_A]</span> touch's internet, music, and multimedia into a <span style=""color: #6CB219; font-weight: bold"">phone:[OBJECT_B]</span> that has superior browsing over the BB.","For me, combining my *ipod* touch's internet, music, and multimedia into a §phone$ that has superior browsing over the BB."
stanford,,mit,B290440168,True,"And when you're done with Global Geopolitics (Stanford) and Intro to Solid State Chemistry (MIT), Open Culture's ready to suggest some lighter material too.","And when you're done with Global Geopolitics (<span style=""color: #9A14B2; font-weight: bold"">stanford:[OBJECT_A]</span>) and Intro to Solid State Chemistry (<span style=""color: #6CB219; font-weight: bold"">mit:[OBJECT_B]</span>), Open Culture's ready to suggest some lighter material too.","And when you're done with Global Geopolitics (*stanford*) and Intro to Solid State Chemistry (§mit$), Open Culture's ready to suggest some lighter material too."
