,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
0,parent,33,child,195,wordnet,True,wordnet,756.0
1,natural_object,197,artifact,55,wordnet,False,wordnet,0.0
2,location,44,studio,281,wordnet,True,wordnet,270.0
3,kindness,34,unkindness,301,wordnet,True,wordnet,0.0
4,credit,360,debit,349,wordnet,True,wordnet,821.0
5,action,73,inaction,203,wordnet,True,wordnet,0.0
6,cross-fertilization,29,self-fertilization,17,wordnet,True,wordnet,1.0
7,play,335,tightness,170,wordnet,False,wordnet,643.0
8,egress,23,ingress,12,wordnet,True,wordnet,497.0
9,overachievement,41,underachievement,15,wordnet,True,wordnet,3.0
10,appearance,200,disappearance,107,wordnet,True,wordnet,0.0
11,retreat,237,advance,353,wordnet,True,wordnet,113.0
12,debarkation,12,embarkation,275,wordnet,True,wordnet,33.0
13,boarding,26,disembarkation,121,wordnet,True,wordnet,4.0
14,evasion,206,payment,280,wordnet,True,wordnet,6.0
15,success,157,failure,241,wordnet,False,wordnet,769.0
16,passing,237,failing,178,wordnet,True,wordnet,170.0
17,loss,98,gain,179,wordnet,True,wordnet,849.0
18,bull,15,bear,108,wordnet,True,wordnet,255.0
19,call_option,23,put_option,16,wordnet,False,wordnet,0.0
20,acceptance,180,rejection,41,wordnet,True,wordnet,140.0
21,sequestration,51,integration,120,wordnet,False,wordnet,73.0
22,service,109,disservice,22,wordnet,True,wordnet,0.0
23,curve,216,straight_line,85,wordnet,True,wordnet,1.0
24,depression,242,elation,64,wordnet,True,wordnet,9.0
25,pluck,167,gutlessness,13,wordnet,True,wordnet,0.0
26,best,178,worst,249,wordnet,True,wordnet,888.0
27,fair_ball,247,foul_ball,27,wordnet,True,wordnet,0.0
28,convergence,294,divergence,23,wordnet,True,wordnet,44.0
29,loosening,12,tightening,235,wordnet,True,wordnet,107.0
30,resolution,67,irresoluteness,13,wordnet,True,wordnet,1.0
31,monetization,104,demonetization,100,wordnet,True,wordnet,0.0
32,cross-pollination,149,self-pollination,175,wordnet,True,wordnet,3.0
33,inducement,15,disincentive,187,wordnet,False,wordnet,2.0
34,corruption,235,incorruptness,0,wordnet,True,wordnet,0.0
35,decision,101,indecisiveness,215,wordnet,True,wordnet,9.0
36,loop,222,open_circuit,21,wordnet,True,wordnet,0.0
37,split_ticket,51,straight_ticket,205,wordnet,False,wordnet,0.0
38,safety,151,danger,366,wordnet,True,wordnet,357.0
39,earned_run,296,unearned_run,5016,wordnet,True,wordnet,0.0
40,reduction,104,increase,208,wordnet,True,wordnet,807.0
41,domestication,18,wildness,11,wordnet,True,wordnet,3.0
42,promotion,156,demotion,12,wordnet,False,wordnet,955.0
43,finish,50,beginning,314,wordnet,True,wordnet,342.0
44,death,356,birth,358,wordnet,True,wordnet,883.0
45,spontaneous_abortion,30,live_birth,1082,wordnet,True,wordnet,0.0
46,deactivation,276,activation,114,wordnet,True,wordnet,0.0
47,reversal,195,affirmation,1044,wordnet,True,wordnet,1.0
48,kickoff,21,end,351,wordnet,True,wordnet,50.0
49,improvement,361,decline,157,wordnet,True,wordnet,203.0
50,development,113,devolution,49,wordnet,True,wordnet,14.0
51,broadening,59,narrowing,27,wordnet,True,wordnet,10.0
52,perfection,280,imperfection,18,wordnet,True,wordnet,0.0
53,engagement,248,non-engagement,16,wordnet,True,wordnet,13.0
54,coloring,22,colorlessness,47,wordnet,True,wordnet,0.0
55,environmentalism,35,hereditarianism,14,wordnet,True,wordnet,0.0
56,contamination,314,decontamination,25,wordnet,True,wordnet,0.0
57,motion,349,motionlessness,13,wordnet,True,wordnet,0.0
58,closing,222,opening,255,wordnet,True,wordnet,941.0
59,foot,157,head,163,wordnet,True,wordnet,861.0
60,rising_trot,15,sitting_trot,0,wordnet,True,wordnet,0.0
61,domestic_flight,3131,international_flight,284,wordnet,True,wordnet,0.0
62,connection,204,unconnectedness,12,wordnet,False,wordnet,1.0
63,rise,304,fall,320,wordnet,False,wordnet,765.0
64,levitation,12,gravitation,26,wordnet,True,wordnet,1.0
65,climb,202,descent,248,wordnet,True,wordnet,240.0
66,flood,285,ebbtide,26,wordnet,True,wordnet,0.0
67,acceleration,61,deceleration,143,wordnet,True,wordnet,313.0
68,agitation,34,calmness,25,wordnet,True,wordnet,0.0
69,inclination,28,disinclination,12,wordnet,True,wordnet,0.0
70,pronation,77,supination,42,wordnet,True,wordnet,44.0
71,snap,20,inelasticity,80,wordnet,True,wordnet,0.0
72,right,24,left,18,wordnet,True,wordnet,650.0
73,moderation,1903,immoderation,35,wordnet,True,wordnet,0.0
74,minimization,175,maximization,95,wordnet,True,wordnet,18.0
75,compression,162,decompression,16,wordnet,True,wordnet,0.0
76,expression,50,misconstruction,23,wordnet,False,wordnet,15.0
77,subtraction,76,addition,7888,wordnet,True,wordnet,617.0
78,deflation,269,disinflation,67,wordnet,True,wordnet,6.0
79,weakening,59533,strengthening,269,wordnet,True,wordnet,75.0
80,dilution,91,concentration,269,wordnet,True,wordnet,38.0
81,appreciation,242,depreciation,31,wordnet,True,wordnet,24.0
82,augmentation,16,diminution,84,wordnet,True,wordnet,3.0
83,contraction,70,expansion,36,wordnet,True,wordnet,492.0
84,magnification,17,understatement,27,wordnet,True,wordnet,0.0
85,extension,153,flexion,50,wordnet,True,wordnet,230.0
86,inclusion,70,exclusion,308,wordnet,True,wordnet,207.0
87,roughness,21,smoothness,12,wordnet,True,wordnet,20.0
88,temperance,270,intemperance,98,wordnet,True,wordnet,0.0
89,union,285,separation,169,wordnet,False,wordnet,816.0
90,tribalization,17,detribalization,19,wordnet,True,wordnet,0.0
91,disconnection,28,connectedness,16,wordnet,True,wordnet,0.0
92,activity,368,inactivity,52,wordnet,True,wordnet,0.0
93,cooperation,243,competition,175,wordnet,True,wordnet,318.0
94,formalism,30,imitation,1477,wordnet,True,wordnet,0.0
95,pluralism,62,monism,116,wordnet,True,wordnet,7.0
96,nonconformism,112,conformity,22,wordnet,True,wordnet,0.0
97,day_game,79,night_game,6066,wordnet,True,wordnet,3.0
98,away_game,19,home_game,76,wordnet,True,wordnet,0.0
99,hardball,164,softball,178,wordnet,False,wordnet,371.0
100,folly,65,wisdom,120,wordnet,True,wordnet,142.0
101,figure,108,ground,227,wordnet,True,wordnet,485.0
102,reverse,261,obverse,25,wordnet,False,wordnet,880.0
103,interference,79,nonintervention,44,wordnet,True,wordnet,0.0
104,ground_stroke,176,volley,22,wordnet,True,wordnet,9.0
105,fault,187,merit,369,wordnet,True,wordnet,13.0
106,utility,212,inutility,23,wordnet,True,wordnet,0.0
107,employment,209,unemployment,69,wordnet,True,wordnet,0.0
108,lighting,245,dark,147,wordnet,True,wordnet,760.0
109,metier,163,weak_point,2193,wordnet,True,wordnet,0.0
110,analysis,116,synthesis,227,wordnet,True,wordnet,252.0
111,inquiry,100,answer,204,wordnet,True,wordnet,134.0
112,analogy,75,apophatism,0,wordnet,True,wordnet,0.0
113,major_surgery,3510,minor_surgery,43,wordnet,True,wordnet,0.0
114,justice,357,injustice,231,wordnet,True,wordnet,0.0
115,allopathy,50,homeopathy,24,wordnet,True,wordnet,8.0
116,loading,100,unloading,35,wordnet,True,wordnet,0.0
117,waxing,60,waning,42,wordnet,True,wordnet,78.0
118,capacity,133,incapacity,50,wordnet,True,wordnet,0.0
119,back,12,front,230,wordnet,True,wordnet,871.0
120,mischief,108,beneficence,145,wordnet,True,wordnet,1.0
121,hell,261,Heaven,115,wordnet,True,wordnet,847.0
122,familiarity,1994,unfamiliarity,101,wordnet,True,wordnet,0.0
123,abnormality,36,normality,39,wordnet,True,wordnet,0.0
124,indecency,66,decency,16,wordnet,True,wordnet,0.0
125,evil,109,good,37,wordnet,True,wordnet,742.0
126,irreverence,13,reverence,61,wordnet,True,wordnet,0.0
127,dishonesty,17,honesty,157,wordnet,True,wordnet,0.0
