_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,label,a,also_acceptable,b,gold_label,id,label_gold,marker,raw_text,text_html,text_readable
1576121488,2/5/2018 13:35:35,false,3337913683,,2/5/2018 13:34:59,false,neodev,0.875,41165546,VEN,"","",186.88.97.134,BETTER,plastic,,wood,,C354912866,,True,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> electronic parts than <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint *plastic* electronic parts than §wood$, and MUCH easier to get a nice, shiny metallic appearance on it."
1576121488,2/5/2018 13:35:36,false,3337913722,,2/5/2018 13:35:03,false,neodev,0.875,39296334,ESP,59,Erandio,85.86.69.8,BETTER,plastic,,wood,,C354912866,,True,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> electronic parts than <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint *plastic* electronic parts than §wood$, and MUCH easier to get a nice, shiny metallic appearance on it."
1576121488,2/5/2018 13:36:41,false,3337915465,,2/5/2018 13:35:03,false,elite,1.0,43563855,RUS,56,Orël,95.80.109.50,BETTER,plastic,,wood,,C354912866,,True,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> electronic parts than <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>, and MUCH easier to get a nice, shiny metallic appearance on it.","As far as cleaner appearance... It's easier and safer to paint *plastic* electronic parts than §wood$, and MUCH easier to get a nice, shiny metallic appearance on it."
1576121489,2/5/2018 13:36:37,false,3337915359,,2/5/2018 13:36:13,false,clixsense,0.8824,43827456,LKA,36,Colombo,103.21.165.13,BETTER,georgia,,carolina,,O2273872443,,True,South Carolina needs better start this week against Georgia,"South <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> needs better start this week against <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>",South *carolina* needs better start this week against §georgia$
1576121489,2/5/2018 13:36:45,false,3337915611,,2/5/2018 13:36:13,false,clixsense,0.875,41223918,UKR,04,Dnepropetrovsk,176.241.106.52,BETTER,georgia,,carolina,,O2273872443,,True,South Carolina needs better start this week against Georgia,"South <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> needs better start this week against <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>",South *carolina* needs better start this week against §georgia$
1576121489,2/5/2018 13:38:21,false,3337918612,,2/5/2018 13:36:13,false,clixsense,1.0,43733581,UKR,"","",37.73.238.199,BETTER,georgia,,carolina,,O2273872443,,True,South Carolina needs better start this week against Georgia,"South <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> needs better start this week against <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>",South *carolina* needs better start this week against §georgia$
1576121490,2/5/2018 13:36:20,false,3337914817,,2/5/2018 13:35:49,false,neodev,0.9167,37411565,VEN,14,Caño Raya,186.94.250.160,NONE,plastic,,wood,,M2003263973,,True,Plastic -Material Details: ..-Solid Wood Construction: .-Shape:,"<span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> -Material Details: ..-Solid <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span> Construction: .-Shape:",*plastic* -Material Details: ..-Solid §wood$ Construction: .-Shape:
1576121490,2/5/2018 13:36:23,false,3337914938,,2/5/2018 13:35:51,false,clixsense,0.8636,6335115,SRB,02,Subotica,109.93.88.75,NONE,plastic,,wood,,M2003263973,,True,Plastic -Material Details: ..-Solid Wood Construction: .-Shape:,"<span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> -Material Details: ..-Solid <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span> Construction: .-Shape:",*plastic* -Material Details: ..-Solid §wood$ Construction: .-Shape:
1576121490,2/5/2018 13:36:24,false,3337914982,,2/5/2018 13:35:54,false,neodev,0.875,41165546,VEN,"","",186.88.97.134,NONE,plastic,,wood,,M2003263973,,True,Plastic -Material Details: ..-Solid Wood Construction: .-Shape:,"<span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> -Material Details: ..-Solid <span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span> Construction: .-Shape:",*plastic* -Material Details: ..-Solid §wood$ Construction: .-Shape:
1576121491,2/5/2018 13:37:11,false,3337916470,,2/5/2018 13:36:34,false,clixsense,1.0,40846833,BIH,02,Pale,31.223.138.30,NONE,carolina,,missouri,,D492244162,,True,"Clinton was also as competitive, or doing better than Obama, at this time in Missouri, North Carolina, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in *missouri*, North §carolina$, and Indiana."
1576121491,2/5/2018 13:37:12,false,3337916568,,2/5/2018 13:36:39,false,neodev,0.9444,43649464,COL,34,Bogota,181.61.161.41,NONE,carolina,,missouri,,D492244162,,True,"Clinton was also as competitive, or doing better than Obama, at this time in Missouri, North Carolina, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in *missouri*, North §carolina$, and Indiana."
1576121491,2/5/2018 13:37:40,false,3337917457,,2/5/2018 13:36:37,false,elite,1.0,38021992,RUS,48,Moscow,176.14.186.27,NONE,carolina,,missouri,,D492244162,,True,"Clinton was also as competitive, or doing better than Obama, at this time in Missouri, North Carolina, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, and Indiana.","Clinton was also as competitive, or doing better than Obama, at this time in *missouri*, North §carolina$, and Indiana."
1576121492,2/5/2018 13:37:20,false,3337916877,,2/5/2018 13:36:46,false,clixsense,0.875,7202055,RUS,54,Omsk,81.23.203.146,WORSE,basketball,,hockey,,Q2669417294,,True,"There's nothing worse than playing basketball in an empty hockey rink, he said.","There's nothing worse than playing <span style=color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> in an empty <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span> rink,"" he said.","There's nothing worse than playing *basketball* in an empty §hockey$ rink, he said."
1576121492,2/5/2018 13:37:33,false,3337917247,,2/5/2018 13:36:47,false,clixsense,0.875,41223918,UKR,04,Dnepropetrovsk,176.241.106.52,NONE,basketball,,hockey,,Q2669417294,,True,"There's nothing worse than playing basketball in an empty hockey rink, he said.","There's nothing worse than playing <span style=color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> in an empty <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span> rink,"" he said.","There's nothing worse than playing *basketball* in an empty §hockey$ rink, he said."
1576121492,2/5/2018 13:38:05,false,3337918269,,2/5/2018 13:36:48,false,neodev,1.0,43980227,VEN,25,Caracas,186.167.249.125,BETTER,basketball,,hockey,,Q2669417294,,True,"There's nothing worse than playing basketball in an empty hockey rink, he said.","There's nothing worse than playing <span style=color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> in an empty <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span> rink,"" he said.","There's nothing worse than playing *basketball* in an empty §hockey$ rink, he said."
1576121493,2/5/2018 13:36:11,false,3337914556,,2/5/2018 13:35:39,false,clixsense,0.875,41223918,UKR,04,Dnepropetrovsk,176.241.106.52,BETTER,wood,,cardboard,,K1628185655,,True,Light weight wood or one of the various board substitutes is better than cardboard.,"Light weight <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> or one of the various board substitutes is better than <span style=""color: #6CB219; font-weight: bold"">cardboard:[OBJECT_B]</span>.",Light weight *wood* or one of the various board substitutes is better than §cardboard$.
1576121493,2/5/2018 13:36:25,false,3337915041,,2/5/2018 13:35:38,false,neodev,0.875,39296334,ESP,59,Erandio,85.86.69.8,BETTER,wood,,cardboard,,K1628185655,,True,Light weight wood or one of the various board substitutes is better than cardboard.,"Light weight <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> or one of the various board substitutes is better than <span style=""color: #6CB219; font-weight: bold"">cardboard:[OBJECT_B]</span>.",Light weight *wood* or one of the various board substitutes is better than §cardboard$.
1576121493,2/5/2018 13:36:40,false,3337915429,,2/5/2018 13:35:38,false,elite,1.0,39343009,SRB,00,Belgrade,95.180.66.139,BETTER,wood,,cardboard,,K1628185655,,True,Light weight wood or one of the various board substitutes is better than cardboard.,"Light weight <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> or one of the various board substitutes is better than <span style=""color: #6CB219; font-weight: bold"">cardboard:[OBJECT_B]</span>.",Light weight *wood* or one of the various board substitutes is better than §cardboard$.
1576121494,2/5/2018 13:36:59,false,3337916088,,2/5/2018 13:36:41,false,clixsense,0.8824,43827456,LKA,36,Colombo,103.21.165.13,NONE,plastic,,wood,,N2243749725,,True,Solid wood frame and compartments with clear plastic fronts,"Solid <span style=""color: #9A14B2; font-weight: bold"">wood:[OBJECT_A]</span> frame and compartments with clear <span style=""color: #6CB219; font-weight: bold"">plastic:[OBJECT_B]</span> fronts",Solid *wood* frame and compartments with clear §plastic$ fronts
