,id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
1636,K1627109117,brands,Google,Apple,Life keeps on getting easier and easier with Google and Apple.,1.0,1.0,0,0,5,NONE,5,3,2,"Life keeps on getting easier and easier with <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span>.",5,1.0,1.0
1644,S2983227886,compsci,Bash,Python,"Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration...",1.0,1.0,0,0,5,NONE,5,3,2,"Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, <span style=""color: #9A14B2; font-weight: bold"">Bash:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>) Configuration...",5,1.0,1.0
188,N2243644637,compsci,JavaScript,PHP,"Solid experience in HTML,JavaScript, CSS, PHP, MySQL, and adhering to accessibility standards.",1.0,1.0,0,0,5,NONE,5,3,2,"Solid experience in HTML,<span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span>, CSS, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>, MySQL, and adhering to accessibility standards.",5,1.0,1.0
1348,C361181777,jbt,halloween,thanksgiving,"As if it could get any better, my birthday, my wedding anniversary, halloween and thanksgiving!",1.0,1.0,0,0,5,NONE,5,3,2,"As if it could get any better, my birthday, my wedding anniversary, <span style=""color: #9A14B2; font-weight: bold"">halloween:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">thanksgiving:[OBJECT_B]</span>!",5,1.0,1.0
1169,J1469389151,jbt,basketball,baseball,"It's true! Archery is safer than basketball, baseball, soccer and even golf.",1.0,1.0,0,0,5,NONE,5,3,2,"It's true! Archery is safer than <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>, soccer and even golf.",5,1.0,1.0
2207,H1211509762,jbt,cider,beer,IMO making a terrific hard cider is WAY harder than making great beer.,0.6559999999999999,1.0,0,4,1,WORSE,4,3,2,"IMO making a terrific hard <span style=""color: #9A14B2; font-weight: bold"">cider:[OBJECT_A]</span> is WAY harder than making great <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span>.",5,0.7936,0.8
2176,Q2624010996,jbt,timber,lumber,The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.,1.0,0.5,0,1,4,NONE,4,3,2,"The Procurement Division purchases and harvests southern yellow pine <span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span> and our Sawmill Manufactures superior quality southern yellow pine <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span>.",5,0.8,0.8
1622,B232382493,brands,AMD,Samsung,AMD Phenom II X4 975BE @ 4.1Ghz Corsair H60 CPU Cooler w/ 2x Noctua Fan (Push/Pull) Corsair Vengeance 4x4GB 1600Mhz RAM Corsair F60 60GB SSD (2x RAID 0) Corsair 750M PSU (750watt semi-modulator) Corsair Obsidian 800D eVGA GTX460 Western Digital Green 1TB hdd (2x JBOD) Hitachi Ultra-Star 1TB hdd (JBODed w/ other 1TB drives) Seagate Barracuda 1TB hdd (JBODed w/ other 1TB drives) Samsung Blu-ray ROM/DVD-burner Naxt LED Fan controller LSi Logic SAS/SATA RAID Controller Seagate Barracuda 500GB hdd (6x in unknown RAID via NAS),1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">AMD:[OBJECT_A]</span> Phenom II X4 975BE @ 4.1Ghz Corsair H60 CPU Cooler w/ 2x Noctua Fan (Push/Pull) Corsair Vengeance 4x4GB 1600Mhz RAM Corsair F60 60GB SSD (2x RAID 0) Corsair 750M PSU (750watt semi-modulator) Corsair Obsidian 800D eVGA GTX460 Western Digital Green 1TB hdd (2x JBOD) Hitachi Ultra-Star 1TB hdd (JBODed w/ other 1TB drives) Seagate Barracuda 1TB hdd (JBODed w/ other 1TB drives) <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> Blu-ray ROM/DVD-burner Naxt LED Fan controller LSi Logic SAS/SATA RAID Controller Seagate Barracuda 500GB hdd (6x in unknown RAID via NAS)",5,1.0,1.0
268,J1452055259,compsci,JavaScript,PHP,It shows how JavaScript and PHP can be used in tandem to make a user's experience faster and more pleasant.,1.0,1.0,0,0,5,NONE,5,3,2,"It shows how <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> can be used in tandem to make a user's experience faster and more pleasant.",5,1.0,1.0
776,P2576134583,brands,Audi,Mercedes-Benz,"The new V60 wagon, part of Volvo's plan to better compete with Audi , BMW , and Mercedes-Benz , just entered production today.",1.0,1.0,0,0,5,NONE,5,3,2,"The new V60 wagon, part of Volvo's plan to better compete with <span style=""color: #9A14B2; font-weight: bold"">Audi:[OBJECT_A]</span> , BMW , and <span style=""color: #6CB219; font-weight: bold"">Mercedes-Benz:[OBJECT_B]</span> , just entered production today.",5,1.0,1.0
572,T3184751290,compsci,Windows XP,Windows 8,"Windows XP / Windows Vista SP 2 / Windows 7 or Windows 8 Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram",0.6887,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> / Windows Vista SP 2 / Windows 7 or <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram",5,0.81322,1.0
1014,K1588671525,compsci,CUDA,OpenCL,kind of CUDA or OpenCL application will run much slower in Linux because,1.0,1.0,0,0,5,NONE,5,3,2,"kind of <span style=""color: #9A14B2; font-weight: bold"">CUDA:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">OpenCL:[OBJECT_B]</span> application will run much slower in Linux because",5,1.0,1.0
2422,R2896938059,jbt,mobile,wallet,"Through the mobile wallet, QSRs can start to gain better control over the customer experience.""",1.0,1.0,0,0,5,NONE,5,3,2,"Through the <span style=color: #9A14B2; font-weight: bold"">mobile:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">wallet:[OBJECT_B]</span>, QSRs can start to gain better control over the customer experience.""",5,1.0,1.0
526,D482621776,brands,Hewlett-Packard,Dell,"Citing Hewlett-Packard Co's (HP) earnings report, in which the US company reported a 4 percent drop in sales of both notebooks and desktops last quarter, and also Dell Inc's recent buyout plan, Liao said the traditional PC products were no longer in demand and would gradually lose ground to mobile devices, which can perform better in terms of communication, portability and media experience.",0.7053,1.0,0,0,5,NONE,5,3,2,"Citing <span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> Co's (HP) earnings report, in which the US company reported a 4 percent drop in sales of both notebooks and desktops last quarter, and also <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span> Inc's recent buyout plan, Liao said the traditional PC products were no longer in demand and would gradually lose ground to mobile devices, which can perform better in terms of communication, portability and media experience.",5,0.82318,1.0
601,O2323360073,brands,BMW,Ford,"Superior Industries' aluminum road wheels are sold to OEMs including Audi, BMW, Chrysler LLC, General Motors Company ( GM - Analyst Report ), Fiat, Ford Motor Co. ( F - Analyst Report ), Jaguar, Land Rover, Mazda, Mercedes Benz, Mitsubishi, Nissan Motor Co. Ltd ( NSANY - Snapshot Report ), Skoda, Subaru, Suzuki, Toyota Motor Corp. ( TM - Analyst Report ), Volkswagen and Volvo AB ( VOLVY ) for their automobiles and light trucks.",1.0,1.0,0,0,5,NONE,5,3,2,"Superior Industries' aluminum road wheels are sold to OEMs including Audi, <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span>, Chrysler LLC, General Motors Company ( GM - Analyst Report ), Fiat, <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span> Motor Co. ( F - Analyst Report ), Jaguar, Land Rover, Mazda, Mercedes Benz, Mitsubishi, Nissan Motor Co. Ltd ( NSANY - Snapshot Report ), Skoda, Subaru, Suzuki, Toyota Motor Corp. ( TM - Analyst Report ), Volkswagen and Volvo AB ( VOLVY ) for their automobiles and light trucks.",5,1.0,1.0
1200,O2360052398,jbt,amazon,itunes,That alone is better than buying the full digital download on amazon or itunes.,1.0,1.0,0,0,5,NONE,5,3,2,"That alone is better than buying the full digital download on <span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">itunes:[OBJECT_B]</span>.",5,1.0,1.0
416,F849883584,jbt,harvard,mit,- harvard - mit - Kellogg - UVA,1.0,1.0,0,0,6,NONE,6,4,2,"- <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> - <span style=""color: #6CB219; font-weight: bold"">mit:[OBJECT_B]</span> - Kellogg - UVA",6,1.0,1.0
2001,F747782193,compsci,Windows 8,Windows 7,"Forget pesky Windows 8, you still get solid old Windows 7 here.",0.6991,0.5116,0,3,2,WORSE,3,3,2,"Forget pesky <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span>, you still get solid old <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> here.",5,0.6241000000000001,0.6
1289,I1327232539,compsci,Objective-C,Swift,"iOS Developer - Objective-C/Cocoa/ Swift Located in San Francisco, we are the most intelligently...",1.0,1.0,0,0,5,NONE,5,3,2,"iOS Developer - <span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span>/Cocoa/ <span style=""color: #6CB219; font-weight: bold"">Swift:[OBJECT_B]</span> Located in San Francisco, we are the most intelligently...",5,1.0,1.0
1805,B201870032,compsci,Perl,Java,(all?)) tasks are much easier to accomplish in Perl than Java.,1.0,0.5,4,0,1,BETTER,4,3,2,"(all?)) tasks are much easier to accomplish in <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",5,0.8,0.8
439,H1151085695,jbt,fox,cnn,I have no desire to argue that fox is any better or worse than cnn.,0.6828,1.0,0,0,5,NONE,5,3,2,"I have no desire to argue that <span style=""color: #9A14B2; font-weight: bold"">fox:[OBJECT_A]</span> is any better or worse than <span style=""color: #6CB219; font-weight: bold"">cnn:[OBJECT_B]</span>.",5,0.80968,1.0
1800,E713659929,jbt,plastic,cement,"Filling the container with pitch, or better yet, plastic roof cement, helps seal out water even when vibration is present.",1.0,1.0,0,0,5,NONE,5,3,2,"Filling the container with pitch, or better yet, <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> roof <span style=""color: #6CB219; font-weight: bold"">cement:[OBJECT_B]</span>, helps seal out water even when vibration is present.",5,1.0,1.0
2354,L1825372904,brands,Toyota,Chevrolet,"Not as attractive as Toyota or Honda and better than Dodge, Kia or Chevrolet.",0.6471,1.0,2,0,3,NONE,3,3,2,"Not as attractive as <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> or Honda and better than Dodge, Kia or <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span>.",5,0.78826,0.6
1632,D513858867,compsci,USB,Ethernet,"Connectivity is decent with two USB 3.0 ports, an RJ-45 Ethernet port, and a mini HDMI port.",1.0,1.0,0,0,5,NONE,5,3,2,"Connectivity is decent with two <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> 3.0 ports, an RJ-45 <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> port, and a mini HDMI port.",5,1.0,1.0
1741,B220344017,compsci,USB,Ethernet,Also waiting for a USB to Ethernet Adapter to see if the Connection is better with it.,0.6791,1.0,0,1,4,NONE,4,3,2,"Also waiting for a <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> Adapter to see if the Connection is better with it.",5,0.8074600000000001,0.8
147,M2078805398,brands,Google,IBM,"Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from Google, IBM, and Microsoft",0.6687,1.0,0,0,5,NONE,5,3,2,"Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, and Microsoft",5,0.80122,1.0
600,Q2666496640,compsci,USB,Ethernet,"There's a free demo that you can try using any type of network connection, including USB and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit Ethernet.",0.3636,0.5263,0,2,3,NONE,3,3,2,"There's a free demo that you can try using any type of network connection, including <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span>.",5,0.42868,0.6
893,J1496490863,jbt,rubber,cement,I use rubber cement as it's easier to clean up and less likely to cause damage.,1.0,1.0,0,0,5,NONE,5,3,2,"I use <span style=""color: #9A14B2; font-weight: bold"">rubber:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">cement:[OBJECT_B]</span> as it's easier to clean up and less likely to cause damage.",5,1.0,1.0
763,F734924216,jbt,football,baseball,football and Basketball are far easier to project than baseball .,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> and Basketball are far easier to project than <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span> .",5,1.0,1.0
798,P2467218255,brands,Nissan,Toyota,"The ""domestic"" imports (foreign manufacturer but domestic production) had superior mileage: 34.4 mpg for Honda, 28.9 for Nissan and 28.1 mpg for Toyota.",0.6526,1.0,1,0,4,NONE,4,3,2,"The ""domestic"" imports (foreign manufacturer but domestic production) had superior mileage: 34.4 mpg for Honda, 28.9 for <span style=""color: #9A14B2; font-weight: bold"">Nissan:[OBJECT_A]</span> and 28.1 mpg for <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>.",5,0.79156,0.8
1826,S2984361643,jbt,timber,lumber,"Use solid timber, a built up lumber beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.",1.0,1.0,0,0,5,NONE,5,3,2,"Use solid <span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span>, a built up <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span> beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.",5,1.0,1.0
1626,I1288451531,compsci,Python,Haskell,"In some ways it might make better sense to translate Python to a strict functional language, such as OCaml, but I've chosen Haskell for other reasons (as noted above).",0.6564,1.0,1,0,4,NONE,4,3,2,"In some ways it might make better sense to translate <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> to a strict functional language, such as OCaml, but I've chosen <span style=""color: #6CB219; font-weight: bold"">Haskell:[OBJECT_B]</span> for other reasons (as noted above).",5,0.79384,0.8
2005,Q2762217616,jbt,wii,ps3,"The wii U version, however, is just an inferior 360/ps3 port.",0.6716,0.5111,1,2,2,NONE,2,3,2,"The <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> U version, however, is just an inferior 360/<span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span> port.",5,0.6073999999999999,0.4
861,R2783392958,jbt,football,baseball,"They have a decent girls basketball team, track team, and marching band but a lousy football team and baseball team.",1.0,1.0,0,0,5,NONE,5,3,2,"They have a decent girls basketball team, track team, and marching band but a lousy <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> team and <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span> team.",5,1.0,1.0
1558,G984711017,brands,Google,Apple,"However, unlike Google Maps, a new (superior) version is downloadable via the Apple App Store.",0.6486,1.0,0,2,3,NONE,3,3,2,"However, unlike <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Maps, a new (superior) version is downloadable via the <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> App Store.",5,0.78916,0.6
1254,S3093316705,jbt,wedding,birthday,"We want to make it easier for you, whether its your wedding, birthday Party,Anniversary,Graduation, Baby Shower, or just a special get togethe",1.0,0.5106,1,0,4,NONE,4,3,2,"We want to make it easier for you, whether its your <span style=""color: #9A14B2; font-weight: bold"">wedding:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">birthday:[OBJECT_B]</span> Party,Anniversary,Graduation, Baby Shower, or just a special get togethe",5,0.8042400000000001,0.8
