,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,s_len
3277,O2425026854,InferSent,The Buick is a far better driver but doesn't have the wretched excess appeal of the Cadillac.,Buick,Cadillac,BETTER,NONE,1.0,se (unique),93
3278,H1188147033,InferSent,"i love my GF1 but i will like the Gf2 to became a rangefinder, i need a finder sometimes, a real finder on the corner like a Leica, i'm also missing the focus , manual override of my Nikon lenses, and i believe in the systme, we will have more and more lenses from diferente brands and high ISO will be better in the early years,",Leica,Nikon,WORSE,NONE,1.0,se (unique),329
3279,L1761931867,InferSent,My compelling use case for MI in Python is... better to model MI in Java,Python,Java,NONE,BETTER,1.0,se (unique),72
3281,E563964025,InferSent,"Dell, at that historical point in the game at least, was probably better at running a supply chain and manufacturing than Apple.",Dell,Apple,NONE,BETTER,1.0,se (unique),128
3290,O2322501291,InferSent,"Sun is positioning its Linux products against Red Hat, Inc. and Dell Computer Corp. in the Intel server market, and suggesting how they offer a better strategy than the enterprise offerings from IBM and HP.",Dell,IBM,NONE,BETTER,1.0,se (unique),206
3291,M2053448301,InferSent,"Putting all that aside, though, I think it's fair to say that during the last several years, Direct3D has been objectively superior to OpenGL for Windows graphics programming, for the following reasons:",Direct3D,OpenGL,WORSE,BETTER,1.0,se (unique),202
3292,J1555327727,InferSent,John F. kennedy did barely better against Richard nixon.,kennedy,nixon,WORSE,BETTER,0.8,se (unique),56
3293,M2054169739,InferSent,"Python at least is every bit as good at 'net' programming as Java, and faster to develop with.",Python,Java,NONE,BETTER,1.0,se (unique),94
3299,F735033258,InferSent,"football was lousy, basketball was worse and baseball -- though far more successful than the others -- didn't make money.",football,baseball,WORSE,BETTER,1.0,se (unique),121
3300,T3164970367,InferSent,"While the Python source code browsing is only mediocre when compared with the Java support, the integrated debugging is very powerful.",Python,Java,WORSE,BETTER,1.0,se (unique),134
3301,O2271427475,InferSent,"So, to me, Python isn't better or worse than Java.",Python,Java,WORSE,NONE,0.8,se (unique),50
3302,I1352826146,InferSent,Is Python better than Perl?,Python,Perl,BETTER,NONE,0.6,se (unique),27
3306,S3005385379,InferSent,"Virtually every Blu-ray player and game counsel streams (in fairness, my Sony Blu-ray player is painfully slow with Amazon Prime compared to my Roku, while Netflix has a better menu system than the Roku, and supports 1080p Super HD with 5.1 -- Netflix only offers that on the newest Roku even though my XD supports 1080p and 5.1).",Sony,Amazon,WORSE,NONE,1.0,se (unique),330
3309,G1039492527,InferSent,I'd better have more coffee and less beer!,coffee,beer,BETTER,NONE,1.0,se (unique),42
3315,B247787078,InferSent,"And at this point, Python (or Ruby) may be a better choice, because Hackage still lags behind PyPI in many areas (and say, how many days you need to teach a novice to manipulate an image, or to plot charts in Haskell?).",Python,Haskell,NONE,BETTER,1.0,se (unique),219
3316,N2244417495,InferSent,So Macmillan say the Apple deal is much better that any of yours Amazon so no ebooks for you.,Apple,Amazon,NONE,BETTER,1.0,se (unique),93
3317,E684926859,InferSent,"Except the system requirement of Mac Osx 10.6.7 and Intel-based Core Duo processor or better, it's impossible to import the AVCHD footages recorded from Sony Cybershot DSC-TX55/TX66/TX10/TX20/TX100v/TX200 to iMovie for smoothly editing without crashing problem and avoid rendering.",Intel,Sony,WORSE,NONE,1.0,se (unique),281
3320,B286239436,InferSent,"And though the OpenGL renderer does not support all effects in the game, we are more interested in simple texturing, which is no worse than in the main Direct3D version.",OpenGL,Direct3D,NONE,BETTER,0.8,se (unique),169
3322,B318347641,InferSent,"Anyway, I think OpenGL is as fast as Direct3D or faster...",OpenGL,Direct3D,WORSE,BETTER,1.0,se (unique),58
3326,S2974204258,InferSent,"Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.",Leica,Nikon,NONE,WORSE,1.0,se (unique),162
3327,H1201331990,InferSent,"I'm getting excited because most people got the impression from testing that BMW wouldn't be any better than Renault/Red Bull/Williams/Toyota - and now it turns out they're miles ahead from that group, and even look slightly closer to McLaren/Ferrari than last year.",BMW,Toyota,BETTER,NONE,1.0,se (unique),266
3329,R2824141006,InferSent,"This first place finish earned 32 points for harvard, contributing to a solid second day lead over princeton.",harvard,princeton,NONE,BETTER,1.0,se (unique),109
3339,I1249520979,InferSent,"Indeed, it's hard to see how any modern-day car maker can support more than three truly distinctive brands -- a buzzy, ""what's new"" brand (Scion, Mini); a value-for-money, hassle-free-transportation brand (Toyota); and a distinctive ""aspirational"" brand for folks who just need something better than the other fellow's (Lexus, BMW).",Toyota,BMW,BETTER,NONE,0.8,se (unique),332
3342,S3038980675,InferSent,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",Groovy,Java,NONE,BETTER,1.0,se (unique),358
3349,T3184426026,InferSent,"Windows 7 boots much faster than Windows Vista-but surprisingly, no faster than Windows XP.",Windows Vista,Windows XP,BETTER,WORSE,1.0,se (unique),91
3350,F829356937,InferSent,"Grails uses Groovy, which IMO is easier to learn than Ruby, especially is you already know Java.",Groovy,Java,BETTER,NONE,0.6,se (unique),96
3353,M2054210575,InferSent,"Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",Python,Lisp,NONE,BETTER,0.6,se (unique),264
3354,I1350623308,InferSent,Is Microsoft better because of Apple?,Microsoft,Apple,BETTER,NONE,1.0,se (unique),37
3355,R2883166615,InferSent,"This would probably be easier in Python, but Bash works fine after you get the quoting straightened out.",Python,Bash,NONE,WORSE,0.4,se (unique),104
3362,L1775395531,InferSent,My recollection has been that Nokia did pretty well and Samsung quite poorly.,Nokia,Samsung,WORSE,BETTER,1.0,se (unique),77
3366,T3197884713,InferSent,"With regard to drivers, I can't speak from personal experience, but your friend did say ""major releases"" - 2.6 was released in 2003, about the same time as Windows XP, and many XP drivers work poorly if at all on Windows 7 (I hate to think how they are on Windows 8).",Windows XP,Windows 8,WORSE,NONE,1.0,se (unique),267
3370,B326111986,InferSent,Apple claimed that Swift is faster than the Objective-C.,Swift,Objective-C,WORSE,BETTER,1.0,se (unique),56
3376,P2506540511,InferSent,"The Google Books implementation will still be superior, because it will offer both the ASCII text and the backup page images, which are presumably not in the Sony versions.",Google,Sony,NONE,BETTER,1.0,se (unique),172
3379,H1176221358,InferSent,I know you can write Scala as a 'better Java'.,Scala,Java,NONE,BETTER,1.0,se (unique),46
3385,N2111776796,InferSent,"Robert Kubica was second fastest in his BMW Sauber, just four-tenths shy of pace-setter Glock while Nico Rosberg posted the third best time just a fraction slower in his Williams Toyota.",BMW,Toyota,BETTER,NONE,1.0,se (unique),186
3386,N2137847929,InferSent,Scala probably embraces Java better than any other language in the book.,Scala,Java,BETTER,NONE,1.0,se (unique),72
3388,O2422169167,InferSent,"The bottom line is that while the overall pickup market showed a solid increase in 2012, small pickup sales gains at Toyota, GM, and Nissan totaled only 40,000, even though Ford Ranger sales declined by more than 50,000.",Nissan,Ford,WORSE,NONE,1.0,se (unique),220
3394,T3237912814,InferSent,"You can also host a Bluetooth network on your laptop (a little harder to set up, but shorter range) or simply use USB pass-through.",Bluetooth,USB,WORSE,NONE,0.8,se (unique),131
3403,R2850506051,InferSent,"This last fact alone makes it easier to code in Java, even though the code can never be as terse and and elegant as the equivalent Groovy code.",Java,Groovy,NONE,WORSE,1.0,se (unique),143
3410,B173597317,InferSent,"A further advantage of perl or Python (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than Bash for tables.",Python,Bash,NONE,BETTER,1.0,se (unique),176
3411,G1036190779,InferSent,"I could find another way to do this with JavaScript, but I'm learn'n PHP and (better) CSS.",JavaScript,PHP,WORSE,NONE,0.8,se (unique),90
3413,F764725589,InferSent,"For this particular UPDATE test, MySQL is consistently five or ten times slower than PostgreSQL and SQLite.",MySQL,PostgreSQL,BETTER,WORSE,1.0,se (unique),107
3418,L1815858043,InferSent,None of that necessarily makes 2012 facebook better or worse than 2004 google.,facebook,google,BETTER,NONE,0.8,se (unique),78
3421,B181545696,InferSent,"A Honda CRX is cooler than ANY Alfa?!?! Bite your tongue, Ford-obsessed heathen!!",Honda,Ford,BETTER,NONE,1.0,se (unique),81
3422,J1418385501,InferSent,It is very easy for the developers to utilize Java library in an easier and faster way with Groovy.,Java,Groovy,BETTER,NONE,0.8,se (unique),99
3423,I1390300149,InferSent,"I think that's a more appropriate response that ""prove it or STFU!"" Ruby is inferior to Python in some area; and superior in others.",Ruby,Python,BETTER,WORSE,1.0,se (unique),132
3424,F849858579,InferSent,"harvard College accepted just 6.9 percent, its lowest rate ever, and the numbers were not much better elsewhere: 7.2 percent at Stanford, 8.2 percent at Princeton, 11.5 percent at dartmouth, and 23 percent at Northwestern-all record lows.",harvard,dartmouth,WORSE,NONE,0.4,se (unique),238
3430,J1428745138,InferSent,"It produces faster code than either GCC or Microsoft one (most noticeable on Intel CPU obviosly), but it is cost quite large sum of money.",Microsoft,Intel,BETTER,NONE,1.0,se (unique),138
3431,N2120510232,InferSent,"Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!",Ruby,Python,WORSE,BETTER,0.6,se (unique),92
3434,R2857951106,InferSent,"This one I just checked about, and Oracle still appears to recommend using raw devices, as they claim it can be up to 50% faster...but, how would one implement this in PostgreSQL?",Oracle,PostgreSQL,BETTER,NONE,0.8,se (unique),179
3438,N2233321126,InferSent,"So Groovy gives me a faster, dynamic version of Java, and Grails gives me a fantastic toolkit to get great stuff done quickly.",Groovy,Java,BETTER,NONE,1.0,se (unique),126
3444,S3105555056,InferSent,"Whatever the ds can do , wii can do better, right?",ds,wii,NONE,WORSE,0.8,se (unique),50
3447,B320966859,InferSent,"Apart from that, raytracing with Direct3D is in development at the moment (so no wonderfull new era of platform independent graphics APIs), the situation will just get worse as the people behind OpenGL will just add that functionality using extensions, but I guess that discussion has been hold long enough now...",Direct3D,OpenGL,WORSE,NONE,1.0,se (unique),313
3448,L1893788959,InferSent,One dilemma: How do you make sure coal states like Kentucky and West virginia are not hit harder than clean-energy states like Arizona and california?,virginia,california,WORSE,NONE,1.0,se (unique),150
3449,J1520618385,InferSent,"(I was surprised that they did not cough up some virginia wines, but they limited themselves to the safer california varietals.",virginia,california,WORSE,NONE,0.6,se (unique),127
3451,D418295629,InferSent,But they get better fuel economy than our new CRD jeep and definitely better fuel economy than any gas powered suv of similar size.,jeep,suv,BETTER,NONE,1.0,se (unique),131
