,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
J1535912825,,NONE,,1.0,Microsoft,Apple,,,ARG,ARG,,True,45,I wouldn't say Microsoft is worse then Apple.,
Q2750908162,,ARG,,1.0,USB,Bluetooth,,,NONE,NONE,,True,139,The USB 3.0 port enables 10 times faster file transfer while the Bluetooth and WLAN IEEE 802.11 ac standards enable network communications.,
A140050632,,ARG,,1.0,Java,Haskell,,,NONE,NONE,,True,159,"@Adam Smith, any parsing toolchain will be ok - e.g., Antlr with a Java backend, or (much better) any functional language with ADTs (SML, OCaml, Haskell, ...).",
B228110474,,ARG,,1.0,Bluetooth,USB,,,NONE,NONE,,True,141,"Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than Bluetooth, it fell well short of its wired USB counterpart.",
J1442905661,,NONE,,1.0,Amazon,Apple,,,ARG,ARG,,False,90,"It's better for Amazon to cannibalize itself than have it done anymore by Apple,"" he adds.",
J1475921268,,ARG,,1.0,michigan,georgia,,,NONE,NONE,,True,129,"It was a little cooler here in michigan that it was in Florida and georgia, but in reality not all that bad for the time of year.",
I1262129258,,NONE,,0.8,Groovy,Java,,,ARG,ARG,,True,114,InfoQ : Are there specific features of Groovy that you feel make it better suited to Spring development than Java?,
H1134900583,,ARG,,1.0,gamecube,wii,,,NONE,NONE,,True,78,"I guess you could say it's like gamecube to wii... it's better, but only just.",
P2444336259,,ARG,,1.0,Leica,Nikon,,,NONE,NONE,,True,292,"The company was late to get lens coatings sorted out, but beginning in the late 1980s it cemented its position as a leading maker of camera optics, to the point that today I consider it to be a peer of Zeiss and Leica and, broadly speaking, slightly superior to Canon or Nikon as a lensmaker.",
H1158033276,,ARG,,1.0,Perl,AWK,,,NONE,NONE,,True,140,I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,
J1455022891,,NONE,,1.0,Sigma,Nikon,,,ARG,ARG,,False,127,It's likely we can buy a very good Sigma o Tamron lens in a new future but now a day Nikon lens manufacturing is very superior.,
L1910672141,,ARG,,1.0,michigan,california,,,NONE,NONE,,True,91,"Only Nevada (14.4 percent), michigan (13 percent) and california (12.4 percent) were worse.",
E667277125,,ARG,,0.8,Microsoft,Google,,,NONE,NONE,,True,140,"Even if Microsoft manages to invent or buy a new idea, Google will come up with a way of making it faster, cheaper, safer and more powerful.",
H1143360763,,ARG,,0.6,Perl,PHP,,,NONE,NONE,,True,105,"I have always used a canned CGI (in Perl) gleaned from a resources site, but PHP looks soooo much easier.",
D507219353,,ARG,,0.8,Amazon,Microsoft,,,NONE,NONE,,True,230,"Compare the Cloud released new rankings indicating Amazon Web Services, though a perennial cloud services frontrunner, is experiencing slower growth and is losing the ""mind share"" battle with competitors such as IBM and Microsoft.",
H1153851300,,ARG,,1.0,Ford,Toyota,,,NONE,NONE,,True,94,I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,
S3114283329,,NONE,,0.6,Ruby,Python,,,ARG,ARG,,True,37,What's better about Ruby than Python?,
G974550683,,ARG,,1.0,PHP,Java,,,NONE,NONE,,False,64,"However, I do wish it was optimized better, but PHP is not Java.",
F849873779,,NONE,,1.0,harvard,stanford,,,ARG,ARG,,True,75,harvard is better than Western New England and stanford is better than GGU.,
S3082464864,,ARG,,1.0,Java,Lisp,,,NONE,NONE,,True,285,We say 'Java is the gateway to hell.' Lisp is just a better alternative to the intelligent Internet: It runs on 14 different platforms and doesn't need any type of virtual machine because it compiles directly to native machine instructions on all popular microprocessor architectures.',
L1809946316,,ARG,,1.0,steel,aluminum,,,NONE,NONE,,True,91,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",
S3005172629,,ARG,,1.0,virginia,michigan,,,NONE,NONE,,True,83,"virginia Tech put together a solid drive, but michigan forced a 37-yard field goal.",
L1754050404,,ARG,,1.0,JavaScript,PHP,,,NONE,NONE,,True,41,Much better than JavaScript e -mails/PHP.,
P2506390007,,NONE,,0.8,Windows 98,Windows XP,,,ARG,ARG,,False,213,The good part is it provides a generic set of applications that can work across operating system versions and are clearly better than what came with Windows 98; the bad news is they can really screw up Windows XP.,
S3028376121,,NONE,,1.0,IBM,Dell,,,ARG,ARG,,True,160,"We are looking at maybe moving to IBM hardware 2006/7 though whether that will be any better than Dell remains to be seen, I suspect not from what I have heard.",
I1352826147,,NONE,,1.0,Python,Perl,,,ARG,ARG,,True,32,":) Is Python ""better"" than Perl?",
