,sentence,object_a,object_b,predicted,gold,origin
1102,Thanks to Apple removing Google maps which is 1000x better.,Apple,Google,NONE,ARG,both
1104,"On Tuesday, the Gators flunked their midterm against missouri, but Indiana submitted one of the better wins of the season at michigan State.",michigan,missouri,ARG,NONE,both
1105,Why should cricketers and hockey players not be able to earn a decent living like footballers or basketball players do?,basketball,hockey,NONE,ARG,both
1106,"could also do that for MySQL, but PostgreSQL is simply a better RDBMS.",MySQL,PostgreSQL,NONE,ARG,both
1107,"She'd like to try hockey, but her dad got her hooked on the safer alternative of golf instead.",golf,hockey,ARG,NONE,both
1108,Is Windows Vista better than Windows XP when scaled out to multiple users?,Windows XP,Windows Vista,ARG,NONE,both
1110,"Goodnight NetBeans, Hello Eclipse",Eclipse,NetBeans,NONE,ARG,both
1111,"faster than C++, more concise than Perl, more regular than Python, more",Python,Perl,ARG,NONE,both
1112,"Early adopters of Windows 8 will find the new operating system to be like Windows 7, but optimized and faster.",Windows 7,Windows 8,NONE,ARG,both
1113,"A 5-2-1 california team went down, 27-7, then 5-1-1 oregon fell harder, 33-0.",california,oregon,NONE,ARG,both
1114,Do you think though in general simple bread bakeries are harder than small woodfired pizza places?,bread,pizza,ARG,NONE,both
1115,"Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from Windows XP, with a look, feel and overall experience that was better - Windows 8 is a different beast.",Windows XP,Windows 8,NONE,ARG,both
1116,"This tea is much better with milk, I think.",milk,tea,ARG,NONE,both
1117,(Is It easier to beat a google than a facebook?),google,facebook,ARG,NONE,both
1118,"If Nikon wants to claim PRO status and quality and perhaps better than Canon, then they should be willing to go there and hit the big MP guys (Leica & Kodak's huge sensor).",Nikon,Leica,ARG,NONE,both
1119,"Amidst a game going poorly against carolina, fans blamed Jones for drafting Carter earlier than Quincy's pedigree at georgia dictated.",georgia,carolina,ARG,NONE,both
1120,"- QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.",knife,pistol,NONE,ARG,both
1122,"Granted both players have their own endorsement deals with the Nike, but perhaps they should have known better than to show an Adidas event in Swoosh-branded attire.",Nike,Adidas,ARG,NONE,both
1123,"Now, unlike Microsoft, Apple isn't selling an inferior product.",Microsoft,Apple,NONE,ARG,both
1124,Where marketshare matters more -- the tablet market -- Apple dominates over Google and inferior competitors such as Microsoft and Blackberry .,Microsoft,Google,NONE,ARG,both
1125,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",steel,aluminum,NONE,ARG,both
1128,"You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",knife,pistol,NONE,ARG,both
1130,"In addition, having already previewed Samsung i7110, we have to admit that the Nokia ergonomics are a whole lot better.",Nokia,Samsung,NONE,ARG,both
1132,I was also surprised at how robust the query planner and optimizers are compared to Oracle when our performance testing found PostgreSQL to be faster.,Oracle,PostgreSQL,NONE,ARG,both
1133,"(10 For NetBeans, -5 for Eclipse)",Eclipse,NetBeans,NONE,ARG,both
1134,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",bread,steak,NONE,ARG,both
1135,Google Makes it Easier to Dump Microsoft Office #io14,Microsoft,Google,NONE,ARG,both
1136,"However, he added that Google Apps are ""significantly inferior to Microsoft Office.""",Microsoft,Google,NONE,ARG,both
1138,"Robert Kubica was second fastest in his BMW Sauber, just four-tenths shy of pace-setter Glock while Nico Rosberg posted the third best time just a fraction slower in his Williams Toyota.",Toyota,BMW,ARG,NONE,both
1139,":) Is Python ""better"" than Perl?",Python,Perl,ARG,NONE,both
1140,"The breeding of the Okami concept with the ds hardware has resulted in a game with very different strengths and weaknesses than the ps2 original -- sometimes for better, and sometimes for worse.",ds,ps2,ARG,NONE,both
1145,"I can see why you would prefer Java to Python (speed), and Tcl (better language).",Java,Python,NONE,ARG,both
1146,"I don't think it could've worked out any better with what happened (at dartmouth) at the end of the game up there, and then obviously our rival (harvard).""",harvard,dartmouth,NONE,ARG,both
1147,I know you can write Scala as a 'better Java'.,Java,Scala,NONE,ARG,both
1148,missouri is learning it needs a better QB. 3. West virginia (-4) at Texas Tech.,virginia,missouri,ARG,NONE,both
1149,"A migration to Windows 7 will likely be faster, but one to Windows 8 will have more longevity - Windows 7 support ends in January 2020, less than 6 years away, and organizations that are so late on Windows XP should not get into the same situation with end of Windows 7 support.",Windows XP,Windows 8,ARG,NONE,both
1150,"I was originally going to develop my website using JSPs, but learned that my ISP did not support JSPs, only Java servlets (!), so I was forced to look at PHP as a faster, easier way of developing the site.",Java,PHP,NONE,ARG,both
1151,They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,baseball,tennis,NONE,ARG,both
1152,Did you work harder at oregon State than you did at virginia?,virginia,oregon,ARG,NONE,both
1156,Samsung is becoming the Intel that sold Pentium 4's at 4Ghz while AMD sold Athlon 64 at just half the speed with a better performance.,Samsung,AMD,ARG,NONE,both
1159,"Contrast that with Microsoft or, even worse, Google and its absolutely a disaster.",Microsoft,Google,NONE,ARG,both
1160,"This is updated to take full advantage of Java 8. - Scala is slightly nicer some syntactic flourishments (for comprehensions, pattern matching), but it's not necessary.",Java,Scala,NONE,ARG,both
1165,"You can also do ith with Python, but I think this is quite straightforward and easier to understand #!/bin/Bash # This script reprojects and subsets a bunch of HDF files stored in # a given dir (WORKDIR).",Python,Bash,ARG,NONE,both
1167,Compared to Perl - Ruby is much much nicer.,Ruby,Perl,NONE,ARG,both
1171,Not sure Ford is going to be any better than Honda in that regard.,Ford,Honda,ARG,NONE,both
1173,"Scala is a hell of a lot faster than PLT Scheme, and it plays perfectly with the vast Java ecosystem, while Scheme does not.",Java,Scala,ARG,NONE,both
1174,"I know, you might expect me to be a PHP-GTK fan, but Perl-GTK just seems nicer.",PHP,Perl,NONE,ARG,both
1175,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",Toyota,Chevrolet,NONE,ARG,both
1176,"(I was surprised that they did not cough up some virginia wines, but they limited themselves to the safer california varietals.",california,virginia,ARG,NONE,both
1178,"Yeah, it's much easier to compete with Nokia than Samsung.",Nokia,Samsung,ARG,NONE,both
1179,"You would use Groovy instead of JRuby because it plugs into the average Java developer's brain easier since it doesn't require you learn a whole new library, API, syntax, and new way of doing things.",Java,Groovy,ARG,NONE,both
1180,"Will current parents and future parents decide that baseball or whatever is a better, safer alternative to football?",football,baseball,NONE,ARG,both
1182,"Whatever the ds can do , wii can do better, right?",wii,ds,NONE,ARG,both
1183,"More open to possibilities that once seemed outlandish, Apple couldn't have found a better enterprise partner than IBM.",Apple,IBM,ARG,NONE,both
1184,"Open standards are better than propietary ones, and you should know by now that's also my POV, but actual applications are better than none and OpenCL it's been here for only 1 year or so, and it's not yet as good as CUDA.",CUDA,OpenCL,NONE,ARG,both
1185,"To put its performance in perspective, that's just over 4min faster than the dual-core Intel Atom-equipped HP Mini 5103 netbook and 33sec faster than the AMD E-350 APU-equipped Dell Inspiron M102z netbook.",Intel,Dell,ARG,NONE,both
1187,"While the 1.6GHz Intel Core i7 720QM processor runs at a slower base clockspeed than the 2.66GHz 620M chip of the Advent Sienna 700 and Sony VAIO VPC-Z12V9E/X, it is in fact far more powerful, due to its quad-core design, increased Hyper-Threading and efficient overclocking abilities.",Sony,Intel,ARG,NONE,both
1189,The sooner people stop buying these Lexus things the better as I'm sick of people saying how nice it is when they are considering a new Audi etc. It's a stinking over priced Toyota - get over it!!!,Audi,Lexus,ARG,NONE,both
1190,"Grails uses Groovy, which IMO is easier to learn than Ruby, especially is you already know Java.",Java,Groovy,ARG,NONE,both
1192,LUKE : Is Perl better than Python?,Python,Perl,ARG,NONE,both
1193,ds beats out psp,ds,psp,NONE,ARG,both
1196,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",Windows XP,Windows Vista,NONE,ARG,both
1199,"But when I do a qrun, an Apple node is designated the mother superior node but the job runs on the IBM nodes.",Apple,IBM,ARG,NONE,both
1201,"Ford surpassed Toyota in overall reliability years ago, and the Fusion has outranked the poorly built Camry in reliability by two full levels for the past three years.",Ford,Toyota,NONE,ARG,both
1203,The emphasis is surprisingly different: Scala is very much about better component oriented programming for the Java platform.,Java,Scala,ARG,NONE,both
1204,"It's gotten better with youtube, but Kreva's itunes page is bare except for his collaboration with Miyavi.",youtube,itunes,NONE,ARG,both
1205,Motorola was king before Nokia came in.,Nokia,Motorola,NONE,ARG,both
