,sentence,object_a,object_b,predicted,gold,origin
1107,"She'd like to try hockey, but her dad got her hooked on the safer alternative of golf instead.",golf,hockey,ARG,NONE,both
1136,"However, he added that Google Apps are ""significantly inferior to Microsoft Office.""",Microsoft,Google,NONE,ARG,both
1148,missouri is learning it needs a better QB. 3. West virginia (-4) at Texas Tech.,virginia,missouri,ARG,NONE,both
1156,Samsung is becoming the Intel that sold Pentium 4's at 4Ghz while AMD sold Athlon 64 at just half the speed with a better performance.,Samsung,AMD,ARG,NONE,both
1306,"Instead, they've been able to score against everyone except harvard, but Ashley Holt has had the better numbers in goal after Newell had a tough night versus cornell.",harvard,cornell,ARG,NONE,both
1513,He claims the locking up of forest has made it harder to get the special timber he needs.,forest,timber,ARG,NONE,both
1575,"Microsoft, with its forays into Surface and trying to finagle a hold of Dell, well they potentially are in a better position, but like Sony theyre going to have to hit a sweet spot, too high and the uptake will remain low (like the ps3), too low and they run the rist of it cannibalising other parts of their market.",Sony,Dell,ARG,NONE,both
1613,"While the new 2012 is a much better suv, a week's worth of driving begged the inevitable question: Is it a better jeep?",suv,jeep,ARG,NONE,both
1629,"They know that Lexus has better residual, and that Audi has better tech.",Audi,Lexus,ARG,NONE,both
1664,"When moving files Gb Ethernet is faster, when doing LOTS of small transfers, USB is faster.)",USB,Ethernet,ARG,NONE,both
1691,"Use your knife to get to places faster, but also use your pistol if your not sure the area is clear.",knife,pistol,ARG,NONE,both
1773,"Windows 8 is sequential successor to Windows 7. It doesn't matter which one is ""better"".",Windows 7,Windows 8,ARG,NONE,both
5792,My minestrone soup is always better with homemade pasta.,soup,pasta,ARG,NONE,sentence embedding
5805,"Windows 8 has efficiency improvements over Windows 7, making it about 10% faster overall.",Windows 7,Windows 8,NONE,ARG,sentence embedding
5812,"We're going to have a point of view on what's better on a sandwich, what's better on a salad, what's better on a pizza.""",pizza,sandwich,ARG,NONE,sentence embedding
5818,"Finding your next used car, truck or suv in Woodbridge just got easier with the CarFinder at Lustine Chrysler Dodge jeep.",suv,jeep,ARG,NONE,sentence embedding
5821,"As with all Mercedes-Benz products, the new C300 and C350 are expected to retain high resale value, on par with the Audi A4 and better than the Cadillac CTS and Jaguar X-Type.",Audi,Mercedes-Benz,ARG,NONE,sentence embedding
5826,"Heck, if Microsoft can make a decent keyboard cover, you would think Apple could, right?",Microsoft,Apple,ARG,NONE,sentence embedding
5828,"There's a free demo that you can try using any type of network connection, including USB and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit Ethernet.",USB,Ethernet,ARG,NONE,sentence embedding
5829,"We at Dell have been champions of the message that companies need to switch from Windows XP ever since Microsoft announced that it would be dis continuing support for the platform, not only for the superior features that Windows 7 and Windows 8 bring to the enterprise that help to increase productivity and make life easier on the IT department from the management perspective.",Microsoft,Dell,ARG,NONE,sentence embedding
5830,Why can't Ford puts better handling into the FWD Fusion if Honda can do it 10 years ago?,Ford,Honda,ARG,NONE,sentence embedding
5834,"Groovy - I love it's implicit goal of making life easier for the developer and it's interop with Java combined with features like it's XML processing, make it a great instant productivity tool.",Java,Groovy,ARG,NONE,sentence embedding
5837,"Worse, everything you're promoting in this ""war against Apple"" is precisely what Microsoft is doing wrong.",Microsoft,Apple,ARG,NONE,sentence embedding
5850,Groovy - a very powerful object oriented language that extends Java while making it much easier to use for analytic programmers that are used to languages like SAS.,Java,Groovy,ARG,NONE,sentence embedding
5855,"If michigan hadn't stolen Rich Rodriguez from West virginia, both teams may be much better off than they are today.",virginia,michigan,ARG,NONE,sentence embedding
5859,"A lot nicer than Java without the performance penalty of other languages that target the JVM, such as Groovy or Python.",Java,Python,ARG,NONE,sentence embedding
5866,"Yes, CUDA has been around longer, receives more support, and is a better product in almost all ways then OpenCL.",CUDA,OpenCL,NONE,ARG,sentence embedding
5868,What I got out of it was that Amazon has a decent enough deal for Apple Care.,Apple,Amazon,ARG,NONE,sentence embedding
5871,"Sony Xperia Tablet Z has a better processor, much better form factor, slightly larger display, better connectivity options, better compatibility, better performance, etc., as compared to Apple iPad.",Apple,Sony,NONE,ARG,sentence embedding
5872,Natural stone pool coping has a superior advantage over pre-cast concrete and tile.,stone,concrete,NONE,ARG,sentence embedding
5883,"I just started learning Objective-C, should I just learn Swift instead?",Swift,Objective-C,ARG,NONE,sentence embedding
5890,"The chairman of Ford, Harold Poling, told reporters that Japanese consumers buy so few American cars because they are too fond of luxury makes like Mercedes and BMW, not because American cars are poorly made.",Ford,BMW,ARG,NONE,sentence embedding
5898,A decent fruit beer as it was not too sweet nor too juice-like.,beer,juice,ARG,NONE,sentence embedding
5914,Of course a Ford V8 is a bunch different that a Toyota I6 so the Hooker could be worse.,Ford,Toyota,ARG,NONE,sentence embedding
5915,"I have read the Renault-Infiniti, actually aren't they really Nissan, engine slower than Ferrari and Merc?",Nissan,Renault,ARG,NONE,sentence embedding
