_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,label,orig__golden,a,b,id,label_gold,label_gold_reason,marker,raw_text,text_html,text_readable,type
1629785519,3/15/2018 09:18:29,false,3477097618,,3/15/2018 09:17:54,false,elite,1.0,37757012,RUS,48,Moscow,109.252.105.215,NONE,False,Ruby,PHP,G1031319964,,,True,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).,compsci
1629785519,3/15/2018 09:18:46,false,3477098469,,3/15/2018 09:17:52,false,clixsense,0.9583,39078729,EGY,11,Cairo,41.237.48.137,BETTER,False,Ruby,PHP,G1031319964,,,True,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).,compsci
1629785520,3/15/2018 09:18:30,false,3477097649,,3/15/2018 09:17:47,false,clixsense,1.0,6335115,SRB,00,Belgrade,109.93.85.170,WORSE,False,Windows XP,Windows Vista,L1828119025,,,True,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",compsci
1629785520,3/15/2018 09:18:47,false,3477098511,,3/15/2018 09:17:45,false,elite,0.8636,43858822,SRB,00,Beograd,109.245.175.105,WORSE,False,Windows XP,Windows Vista,L1828119025,,,True,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",compsci
1629785521,3/15/2018 09:17:57,false,3477095818,,3/15/2018 09:16:54,false,clixsense,1.0,39700030,POL,77,Tarnow,37.190.141.112,NONE,False,PHP,Perl,M1996510083,,,True,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI.",compsci
1629785521,3/15/2018 09:21:22,false,3477106923,,3/15/2018 09:16:50,false,clixsense,1.0,41387391,IND,16,Ulhasnagar,103.248.29.196,BETTER,False,PHP,Perl,M1996510083,,,True,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI.",compsci
1629785522,3/15/2018 09:15:28,false,3477087422,,3/15/2018 09:14:31,false,clixsense,0.9583,39078729,EGY,11,Cairo,41.237.48.137,NONE,False,Java,Perl,M1988300932,,,True,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,"<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> has a large user base but it is still easier to find candidates that already know industrial C++ or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Perl* has a large user base but it is still easier to find candidates that already know industrial C++ or §Java$.,compsci
1629785522,3/15/2018 09:15:28,false,3477087457,,3/15/2018 09:14:47,false,clixsense,1.0,6335115,SRB,00,Belgrade,109.93.85.170,WORSE,False,Java,Perl,M1988300932,,,True,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,"<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> has a large user base but it is still easier to find candidates that already know industrial C++ or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Perl* has a large user base but it is still easier to find candidates that already know industrial C++ or §Java$.,compsci
1629785523,3/15/2018 09:16:58,false,3477092261,,3/15/2018 09:16:06,false,clixsense,1.0,36181479,RUS,40,Kurgan,5.164.42.9,WORSE,False,Windows 7,Windows 8,R2873497635,,,True,This time Windows 8 was roughly 8 percent slower than Windows 7.,"This time <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> was roughly 8 percent slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.",This time *Windows 8* was roughly 8 percent slower than §Windows 7$.,compsci
1629785523,3/15/2018 09:17:08,false,3477092889,,3/15/2018 09:16:06,false,neodev,0.9,33256761,VEN,25,Caracas,190.79.249.93,WORSE,False,Windows 7,Windows 8,R2873497635,,,True,This time Windows 8 was roughly 8 percent slower than Windows 7.,"This time <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> was roughly 8 percent slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.",This time *Windows 8* was roughly 8 percent slower than §Windows 7$.,compsci
