id	sentence	a	b	without_marker
0	AMD claims that Mantle allows for nine times as many draw calls per second compared to other APIs, meaning that a game running on Mantle could, in theory, draw a frame nine times faster than one running on DirectX.	Mantle	A-Frame	False
1	3D APIs: OpenGL 4.3, Direct3D 11.2 and Mantle	Mantle	Direct3D	False
2	Switching out Direct3D for Mantle gets us another 3.6fps, or a 5% boost in performance.	Mantle	Direct3D	False
3	They need to write Mantle for PS4 & co, and they need GL or Direct3D for Windows.	Mantle	Direct3D	False
4	As the developers go on, the difference between traditional direct3D rendering and Mantle rendering became obvious.	Mantle	Direct3D	False
5	Mantle was created because AMD didn't want to wait for Direct3D 12.	Mantle	Direct3D	False
6	Metal seems to follow in the same vein as Direct3D 12 and AMD's Mantle .	Mantle	Direct3D	False
7	Frame rate jumped up to x3 when changed from Direct3D (DirectX) to (alpha) Mantle.	Mantle	Direct3D	False
8	So it won't be a big burden to have two game editions for Mantle and Direct3D.	Mantle	Direct3D	False
9	3Dfx Glide and Direct3D supported.	Direct3D	Glide	False
10	API Support - Glide, Direct3D, and OpenGL.	Direct3D	Glide	False
11	Glasses compatible with Glide, OpenGL and Direct3D.	Direct3D	Glide	False
12	The demo requires Direct3D or Glide.	Direct3D	Glide	False
13	and result is same, no 3D Glide or Direct3D ?	Direct3D	Glide	False
14	Fixed glide and direct3d blob colour caching bug.	Direct3D	Glide	False
15	I also still prefer Glide to open GL and Direct3D.	Direct3D	Glide	False
16	Glide is more like Direct3D over anything else.	Direct3D	Glide	False
17	The Direct3D and the Glide version of a game).	Direct3D	Glide	False
18	4.1b Fixed glide and direct3d shrine graphics bug.	Direct3D	Glide	False
19	Direct3D titles and Glide/GL titles without stereo.cfg	Direct3D	Glide	False
20	These drivers work both Glide and Direct3D games.	Direct3D	Glide	False
21	Glide was also easier to program for, compared to the clunkiness of Direct3D at the time	Glide	Direct3D	False
22	i am not an ogre and scraping as if i am harvest the plastic off the plate i just go with the glide of the fluid.	OGRE	Glide	False
23	You can jump down (glide) and kill the ogre if you want to, or you can avoid it all together by jumping down and gliding to the purplish platform that has no doors on either side.	OGRE	Glide	False
24	For example, Sleeping Beauty can glide while jumping (a la the Princess in Super Mario Bros. 2), Puss can double-jump, and Shrek and Fiona can go into bullet time by kicking in their ogre meter after taking out a certain number of bad guys.	OGRE	Glide	False
25	so, tl ; dr : it's pretty easy to see that they're in a far better position to support OpenGL/Vulkan now that they have Metal.	Metal	Vulkan	False
26	The rest of the world continues adopting OpenCL and now the whole Khronos supergroup is super hyper for Vulkan (NV even giving a solid thumbs up), with Apple and NV being the two rogue vendors pushing proprietary wares (Metal and CUDA).	Metal	Vulkan	False
27	Glide Material: Metal.-Drawer	Metal	Glide	True
28	Metal drawer glide.	Metal	Glide	True
29	Metal glide hardware	Metal	Glide	True
30	Drawer glide material: Metal.	Metal	Glide	True
31	-Metal glide.-Acrylic	Metal	Glide	True
32	Easy-glide metal runners	Metal	Glide	True
33	Vulkan and OpenGL can, and should coexist!	OpenGL	Vulkan	False
34	How to make OpenGL usage Vulkan like	OpenGL	Vulkan	False
35	Vulkan and OpenGL are two different paths.	OpenGL	Vulkan	False
36	What is Vulkan and how does it differ from OpenGL?	OpenGL	Vulkan	False
37	AMD will now focus on DirectX 12 and Vulkan (OpenGL successor by Khronos Group).	OpenGL	Vulkan	False
38	DirectGMA, FirePro Development, GPU Developer Tools, HSA, OpenCL, OpenGL, Vulkan and Steam Linux among others.	OpenGL	Vulkan	False
39	You can think of the Vulkan API as the spiritual successor to OpenGL.	OpenGL	Vulkan	False
40	This way, to put it in 90s terms: Vulkan could be the assembly language of OpenGL.	OpenGL	Vulkan	False
41	There is a new level of complexity to Vulkan, that didn't really exist in OpenGL before.	OpenGL	Vulkan	False
42	Like OpenGL™ ES, Vulkan is an open standard for 3D graphics and rendering maintained by Khronos.	OpenGL	Vulkan	False
43	I would say that Ogre is arguably easier to learn as opposed to OpenGL, or at least it will get you interesting results faster.	OpenGL	OGRE	False
44	Native OpenGL applications (try the Ogre demos) in fact run substantially better.	OpenGL	OGRE	False
45	There's nothing about OGRE that is THAT much better or simpler than OpenGL.	OpenGL	OGRE	False
46	That's because Direct3D and OpenGL are interfaces to graphics device hardware, while OGRE and Irrlicht are graphics libraries that provide methods to interact with D3D or OGL easier.	OpenGL	OGRE	False
47	I would say that Ogre is arguably easier to learn as opposed to OpenGL, or at least it will get you ...	OpenGL	OGRE	False
48	Now the reason I'm learning OpenGL is ultimately to be able to develop a game, of course, but I was wondering if I could get started faster if I began using OGRE instead of programming the graphics engine from scratch.	OpenGL	OGRE	False
49	Of course, the biggest reason to use OpenGL would be that I could keep on writing the client in Haskell, but in the end it's probably easier and more effective using C++ and OGRE.	OpenGL	OGRE	False
50	Target: Moderately Advanced and up Language: C++ Pros: - Built as a project focused on OpenGL - It is more focused than OGRE, and faster Cons: - C++ only - Has some issues with multiple monitors and fullscreen - Its still a beast of an API	OpenGL	OGRE	False
51	I have been working at getting 1.7 compiled over the last few days and I have finally succeeded with freeimage, ois, dx9 and opengl support There were several things that I had to change to get it working and I hope to be able to inform the ogre team of ways to make it easier for us mingw users.	OpenGL	OGRE	False
52	As Chris Blizzard said , O3D (or any scene-rendering scheme) would work fine on top of a closer-to-the-metal OpenGL ES wrapper (like, say, C3DL does).	O3D	Metal	False
53	OGRE , Open Scene Graph, Crystal Space)	Crystal Space	OGRE	False
54	Crystal Space Torque Qube Nervax Nebula Panard OGRE	Crystal Space	OGRE	False
55	3. OGRE/Crystal Space PROS: Well developed/Researched Game engines.	Crystal Space	OGRE	False
56	Look at vector classes in Ogre or Crystal Space.	Crystal Space	OGRE	False
57	There are a few things that make Ogre better than Crystal Space 3D:	Crystal Space	OGRE	False
58	I agree on most of the criticisms on Crystal Space versus Ogre.	Crystal Space	OGRE	False
59	How is OpenSceneGraph ?? Is it as strong as Open Inventor.	OpenSceneGraph	Open Inventor	False
60	!OpenGL and/or OpenSceneGraph and/or Open Inventor	OpenSceneGraph	Open Inventor	False
61	Although not directly related to the OpenSceneGraph, once can learn about scene graph technology from such sources as the Open Inventor Mentor , and Performer Programming Guides .	OpenSceneGraph	Open Inventor	False
62	IMHO the metal shaders in MR looks a lot better, but the clothes in renderman are better.	RenderMan	Metal	False
63	Why ext4 File System is better than NTFS?	Ext4	NTFS	True
64	I did find that ntfs was 3 times slower than ext4 through USB.	Ext4	NTFS	True
65	though ntfs is far superior to fat, it still is a dinosaur compared to ext4.	Ext4	NTFS	True
66	Again, it seems Linux ext4 filesystem is faster than Windows NTFS file system.	Ext4	NTFS	True
67	My own experience has demonstrated that Ext4 is much faster at bulk file operations than NTFS.	Ext4	NTFS	True
68	1. Yes, EXT4 would make it A LOT faster than with ntfs-3g.	Ext4	NTFS	True
69	The effect of the file system can be noticed with small files: NTFS is slower than ext4.	Ext4	NTFS	True
70	For example, I found it build a Maven project in NTFS is 3 more times slower then ext4.	Ext4	NTFS	True
71	The 'native' implementation of NTFS on windows 7 is much much slower than my ext4 partition with Ubuntu 10.10.	Ext4	NTFS	True
72	EXT4 isn't as fast as EXT2, but it's 3-5x faster than NTFS depending on the settings you pick.	Ext4	NTFS	True
73	exFAT, NTFS and Ext4 support in recovery for external storage through kernel modules for many devices for faster write speed	Ext4	NTFS	True
74	I can't tell a difference because no matter which I choose (ntfs or EXT4) my transfer speed (writes) are slower than snot on a cold day.	Ext4	NTFS	True
75	(Ext4 if you dont trust F2FS yet.)	Ext4	F2FS	False
76	1 f2fs 2 ext2 3 ext4	Ext4	F2FS	False
77	Tuning Btrfs vs. F2FS, EXT4, XFS File-Systems	Ext4	F2FS	False
78	Linux 3.11 File-System Performance: EXT4, Btrfs, XFS, F2FS	Ext4	F2FS	False
79	F2FS File-System Shows Hope, Runs Against Btrfs & EXT4	Ext4	F2FS	False
80	Linux 3.8 also includes EXT4 and Btrfs improvements as well as the new F2FS Flash filesystem.	Ext4	F2FS	False
81	The HDD/SSD comparison not only included Btrfs but also EXT4, XFS, and F2FS.	Ext4	F2FS	False
82	i was hoping that something could be added just to check the integrity of files a little better on NTFS, similar to ZFS.	NTFS	ZFS	False
83	ZFS does what it does because it includes its own volume manager into the FS, not because any of the FS-level bits are substantially better than your basic B+/-Tree FS like NTFS.	NTFS	ZFS	False
84	That said, I wouldn't mind more filesystems being available for Windows; NTFS is decent, but I'd like the data-safety features of ZFS, and I wouldn't mind seeing proper head-to-head benchmarks, even if synthetics don't have much to do with desktop/workstation patterns.	NTFS	ZFS	False
85	ZFS is better than ntfs because of: Transactional operation (always consistent on disk, even in a power outage) Checksums(and ability to recover data in flight using RAID info) Dynamic striping Dynamic file block sizes Limitless size and quantity of pools/FS/snapshots Automatic parallelism	NTFS	ZFS	False
86	Unfortunately when I use LUKS ntfs is used to mount the key.	LUKS	NTFS	False
87	This article has the results of the recent EXT4, Btrfs, F2FS, XFS, ReiserFS, and NILFS2 comparison with the ZFS ZOL results added in for the same system with the testing that was backed by a Mushkin 120GB ECO2 MKNSSDEC120GB Serial ATA 3.0 solid-state drive.	F2FS	ZFS	True
88	# genkernel --zfs --luks initramfs	ZFS	LUKS	False
89	genkernel --luks --zfs --disklabel initramfs	ZFS	LUKS	False
90	Putting LUKS underneath ZFS opens one up.	ZFS	LUKS	False
91	This guide installs a ZFS mirror on LUKs encrypted containers.	ZFS	LUKS	False
92	How do I ensure that ZFS sees these LUKS devices on reboot?	ZFS	LUKS	False
93	I love zfs and it even runs well on linux on top of luks-encrypted volumes.	ZFS	LUKS	False
94	But I'm very curious, as MN, which disadvantages you get when using LUKS below ZFS.	ZFS	LUKS	False
95	On some machines, a combination of ZFS and LUKS has caused instability and system crashes.	ZFS	LUKS	False
96	You'll need to unlock each LUKS-encrypted block device that the ZFS filesystem uses.	ZFS	LUKS	False
97	After considering the encryption layer, will GELI + ZFS be more or less reliable than LUKS + LVM + ext4 ?	ZFS	LUKS	False
98	Maybe the activation of dm-crypt devices is done such that ZFS begins importing pools before the LUKS container is properly open?	ZFS	LUKS	False
99	Many new items are supported, including new Linux file systems such as btrfs or even ZFS, and disk layout features such as LVM and LUKS encrypted devices.	ZFS	LUKS	False
100	want to get my zfs on crypted luks (sda2 + sdb2 crypted and used decrypted in a mirrored pool ) running, but the initramfs is the missing link now.	ZFS	LUKS	False
