,caption,sentence,object_a,object_b,predicted,gold,binary,occ
1195,"unigrams ('middle part', ExtractMiddlePart(processing=None))","(By analogy, however, getting hit by a bus is no worse than getting hit by a truck!)",bus,truck,WORSE,NONE,False,2
1196,"unigrams ('middle part', ExtractMiddlePart(processing=None))",In summary - a plaigarized technology - a bad cement and a worse concrete.,concrete,cement,NONE,BETTER,False,2
1197,"unigrams ('middle part', ExtractMiddlePart(processing=None))",It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,Python,Perl,NONE,WORSE,False,2
1198,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I have also rented many cars, American and Japanese, and with the exception of a very smooth ride in a Cadillac, I always like the Japanese cars better (Nissan and Toyota, vs. Ford, Chrysler and GM).",Toyota,Chrysler,NONE,BETTER,False,2
1199,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Apple would be better off competing with Nintendo than Sony and MS.,Apple,Sony,BETTER,NONE,False,2
1200,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Come on now Windows 8 may not be Windows 7 in popularity but it is actually a better, faster and more secure OS.",Windows 7,Windows 8,NONE,BETTER,False,2
1201,"unigrams ('middle part', ExtractMiddlePart(processing=None))",2. Ease-of-learning: Scala is probably a bit easier for Java folks.,Java,Scala,NONE,BETTER,False,2
1202,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Python is much better suited as a ""glue"" language, while Java is better characterized as a low-level implementation language.",Java,Python,BETTER,NONE,False,2
1203,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It's a decent rival to the Mercedes-Benz CLA45 AMG, though the Mercedes still wins when it comes to power output; let's hope Audi hurries up and brings out a new RS 3.",Audi,Mercedes-Benz,WORSE,BETTER,False,2
1204,"unigrams ('middle part', ExtractMiddlePart(processing=None))",How was it that Nokia overcame Motorola?,Nokia,Motorola,NONE,BETTER,False,2
1205,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Instead of pizza, it'll be easier to choose a salad or healthy sandwich .",pizza,sandwich,NONE,WORSE,False,2
1206,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",Windows XP,Windows 8,NONE,BETTER,False,2
1207,"unigrams ('middle part', ExtractMiddlePart(processing=None))",They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,baseball,tennis,NONE,BETTER,False,2
1208,"unigrams ('middle part', ExtractMiddlePart(processing=None))",We chose MySQL over PostgreSQL primarily because it scales better and has embedded replication.,MySQL,PostgreSQL,NONE,BETTER,False,2
1209,"unigrams ('middle part', ExtractMiddlePart(processing=None))","(10 For NetBeans, -5 for Eclipse)",Eclipse,NetBeans,NONE,BETTER,False,2
1210,"unigrams ('middle part', ExtractMiddlePart(processing=None))",If any company is behaving even worse than Microsoft at it's market peak it is Apple.,Microsoft,Apple,NONE,BETTER,False,2
1211,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",Windows XP,Windows 98,NONE,BETTER,False,2
1212,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Sony, though having slower updates, does manage to optimize the OS much better than Google, yielding better results.",Google,Sony,WORSE,BETTER,False,1
1213,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Apart from the fact that languages such as Python, Ruby, Haskell do have very powerful functional programming support for like 10-15 years - and IMHO better one than C# or LINQ - all this goes back to Lisp , which will be celebrating 50th anniversary next year.",Python,Lisp,BETTER,NONE,False,2
1214,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Motorola's menu design seems better than Samsung to me, but Nokia still rules the roost in interface design.",Nokia,Samsung,NONE,WORSE,False,2
1215,"unigrams ('middle part', ExtractMiddlePart(processing=None))",After working for years in PHP he finally found the far superior Ruby on Rails.,Ruby,PHP,NONE,WORSE,False,2
1216,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I totally agree with your conclusion that Sony products are better off tham Apple products.,Apple,Sony,NONE,BETTER,False,2
1217,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I'm getting excited because most people got the impression from testing that BMW wouldn't be any better than Renault/Red Bull/Williams/Toyota - and now it turns out they're miles ahead from that group, and even look slightly closer to McLaren/Ferrari than last year.",Toyota,BMW,BETTER,NONE,False,2
1218,"unigrams ('middle part', ExtractMiddlePart(processing=None))",california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,california,carolina,NONE,BETTER,False,2
1219,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,USB,Ethernet,NONE,WORSE,False,2
1220,"unigrams ('middle part', ExtractMiddlePart(processing=None))","CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.",harvard,dartmouth,NONE,BETTER,False,2
1221,"unigrams ('middle part', ExtractMiddlePart(processing=None))",michigan  ran into one of the nation's better defenses in a 12 point loss at virginia.,virginia,michigan,NONE,WORSE,False,2
1222,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):",Ruby,Perl,NONE,BETTER,False,2
1223,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Python at least is every bit as good at 'net' programming as Java, and faster to develop with.",Java,Python,NONE,BETTER,False,2
1224,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While the new BMW 3 Series and Infiniti G37 may offer slightly better chassis dynamics than this latest Accord, neither has an engine note as nice as this Honda.",Honda,BMW,BETTER,WORSE,False,1
1225,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Certainly it's not the best language, but it's better than writing C or Java, more fun than Python and more straightforward than Haskell.",Python,Haskell,BETTER,NONE,False,2
1226,"unigrams ('middle part', ExtractMiddlePart(processing=None))",GM & Ford have just as good if not better quality that Toyota.,Ford,Toyota,NONE,BETTER,False,2
1227,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",coffee,juice,NONE,WORSE,False,2
1228,"unigrams ('middle part', ExtractMiddlePart(processing=None))","You can also do ith with Python, but I think this is quite straightforward and easier to understand #!/bin/Bash # This script reprojects and subsets a bunch of HDF files stored in # a given dir (WORKDIR).",Python,Bash,WORSE,NONE,False,2
1229,"unigrams ('middle part', ExtractMiddlePart(processing=None))",So Scala is no better off then Java.,Java,Scala,NONE,WORSE,False,1
1230,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The advantage of Java over Python for scientific computing is faster for,Java,Python,NONE,BETTER,False,2
1231,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",Windows XP,Windows Vista,NONE,WORSE,False,2
1232,"unigrams ('middle part', ExtractMiddlePart(processing=None))",How much cooler would it be to have Major League baseball than NBA basketball in Brooklyn?,baseball,basketball,BETTER,NONE,False,2
1233,"unigrams ('middle part', ExtractMiddlePart(processing=None))","No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",Java,Groovy,NONE,WORSE,False,2
1234,"unigrams ('middle part', ExtractMiddlePart(processing=None))",You don't want super sticky rubber though because it will wear out faster on concrete tees.,concrete,rubber,NONE,WORSE,False,2
1235,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.",Windows XP,Windows Vista,NONE,BETTER,False,2
1236,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I said: Perl isn't even always faster than Java at text processing.,Java,Perl,BETTER,WORSE,False,1
1237,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Primarily Ruby on Rails 3.2, but always wanting to get better at JavaScript too.",Ruby,JavaScript,NONE,BETTER,False,2
1238,"unigrams ('middle part', ExtractMiddlePart(processing=None))","From here on out the skiing will get worse, but fishing and flower gazing will improve.",fishing,skiing,NONE,WORSE,False,2
1239,"unigrams ('middle part', ExtractMiddlePart(processing=None))","AMD and Apple are leading the way, and Intel better get in line soon.",Apple,Intel,NONE,BETTER,False,2
1240,"unigrams ('middle part', ExtractMiddlePart(processing=None))",# This subprogram will green tag a red tagged truck  and mark it as availible #Each truck should have its own file and there should be a csv file showing the current status of all of the trucks in the system # This might be easier to write as a Bash script rather then a Python program.,Python,Bash,NONE,BETTER,False,2
1241,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I think that Scala probably is not better than Java yet.,Java,Scala,BETTER,WORSE,False,1
1242,"unigrams ('middle part', ExtractMiddlePart(processing=None))",JavaScript is not made to build files... PHP is probably a better tool to build js files with text files.,PHP,JavaScript,NONE,WORSE,False,1
1243,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,BETTER,False,2
1244,"unigrams ('middle part', ExtractMiddlePart(processing=None))","volleyball has helped me to see players in basketball better, and I have a better idea of what's happening.''",basketball,volleyball,NONE,BETTER,False,2
1245,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The restaurant would have to be better than just a simple cafe or pizza place.,restaurant,cafe,BETTER,NONE,False,2
1246,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Tis the season and what better way to kick off my annal holiday inspiration advent calendar  than with a winter woodland wedding!,holiday,wedding,BETTER,NONE,False,2
1247,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Seriously, if the jeep doesn't win it's because the Subby Outback is a WAY better suv",suv,jeep,BETTER,WORSE,False,1
1248,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Is a BMW/Benz 5x better than a Honda Civic?,Honda,BMW,BETTER,NONE,False,2
1249,"unigrams ('middle part', ExtractMiddlePart(processing=None))",football is one thing; basketball should be easier.,football,basketball,NONE,BETTER,False,2
1250,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",georgia,missouri,NONE,WORSE,False,1
1251,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Amazon ""service"" makes the Kindle superior to the Sony Reader in many ways, hands down.",Sony,Amazon,NONE,BETTER,False,2
1252,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,Nokia,Samsung,NONE,BETTER,False,2
1253,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",MySQL,SQLite,NONE,WORSE,False,2
1254,"unigrams ('middle part', ExtractMiddlePart(processing=None))",What if I can't find any aspect of PHP that is better than Ruby?,Ruby,PHP,BETTER,NONE,False,2
1255,"unigrams ('middle part', ExtractMiddlePart(processing=None))","But those games are both available for ds and Wii as well, its just simply that we were able to get better deals on the ps2 versions.",ds,ps2,NONE,WORSE,False,2
1256,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Nissan was better, it never left me walking like the Toyota did on several occasions.",Toyota,Nissan,WORSE,BETTER,False,2
1257,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",Windows XP,Windows 98,NONE,WORSE,False,2
1258,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,BETTER,NONE,False,2
1259,"unigrams ('middle part', ExtractMiddlePart(processing=None))",With my super fast SSD I find that Windows 7 loads no slower Windows 8.,Windows 7,Windows 8,NONE,BETTER,False,2
1260,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The build quality of the LG made Nexus 5 is better than Samsung - but not better than Nokia!,Nokia,Samsung,BETTER,NONE,False,2
1261,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is why it is easier to install Windows 98 first, then Windows XP.",Windows XP,Windows 98,NONE,BETTER,False,2
1262,"unigrams ('middle part', ExtractMiddlePart(processing=None))",We were glad that Apple was a niche product compared with the ubiquity of the competition of mediocre IBM clones.,Apple,IBM,NONE,BETTER,False,1
1263,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,Windows XP,Windows 8,BETTER,NONE,False,2
1264,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.",baseball,tennis,BETTER,WORSE,False,1
1265,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I would kill to see good games written in Java or better yet, Scala or Clojure.",Java,Scala,NONE,WORSE,False,2
1266,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Maybe things will be better in oregon in 2 to 5 yrs but right now they have the second highest unemployment rate in the country, right behind michigan.",michigan,oregon,WORSE,BETTER,False,1
1267,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Ferrari heads over both BMW Sauber and McLaren.,Ferrari,BMW,NONE,BETTER,False,2
1268,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is updated to take full advantage of Java 8. - Scala is slightly nicer some syntactic flourishments (for comprehensions, pattern matching), but it's not necessary.",Java,Scala,NONE,WORSE,False,2
1269,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Python skills a plus, but not required, especially if you're solid at JavaScript.",Python,JavaScript,NONE,BETTER,False,2
1270,"unigrams ('middle part', ExtractMiddlePart(processing=None))",google Video was good but youtube was better.,google,youtube,NONE,WORSE,False,1
1271,"unigrams ('middle part', ExtractMiddlePart(processing=None))","For me, being a lefty who is right-eye dominant means I'm lousy at tennis but great at golf.",golf,tennis,NONE,WORSE,False,2
1272,"unigrams ('middle part', ExtractMiddlePart(processing=None))","If someone, like Samsung, can do it better and cheaper than them, Toshiba will outsource the operation.",Samsung,Toshiba,BETTER,NONE,False,2
1273,"unigrams ('middle part', ExtractMiddlePart(processing=None))",We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,Windows XP,Windows Vista,NONE,WORSE,False,2
1274,"unigrams ('middle part', ExtractMiddlePart(processing=None))",They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,BETTER,False,2
1275,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This lets Ballmer swing the entire company behind a particular initiative, which it couldn't do before, and should make Microsoft much better able to compete with companies like Google, Apple and Amazon.""",Microsoft,Amazon,BETTER,NONE,False,1
1276,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Yes, even though Scala is primarily a JVM language and often touted as a ""better Java"", it doesn't have interfaces.",Java,Scala,NONE,BETTER,False,1
1277,"unigrams ('middle part', ExtractMiddlePart(processing=None))","To me, the Thinkpad looks like a better laptop than the Macbook Air, because it's got an optical drive, three USB ports instead of one, built-in Ethernet, and a faster processor.",USB,Ethernet,NONE,BETTER,False,2
1278,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Also, softball is weak, basketball is a much better sport, luckily I kept my cardio because I don't smoke spice.",basketball,softball,NONE,WORSE,False,2
1279,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,BETTER,WORSE,False,1
1280,"unigrams ('middle part', ExtractMiddlePart(processing=None))","JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",Perl,JavaScript,NONE,BETTER,False,2
1281,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Following a wedding trip to the North Shore of Lake Superior, the couple is living in Willmar where the bride is employed as the director of catering by the Green Mill and holiday Inn and Willmar Conference Center.",holiday,wedding,BETTER,NONE,False,2
1282,"unigrams ('middle part', ExtractMiddlePart(processing=None))","And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.",Toyota,Chevrolet,BETTER,WORSE,False,1
1283,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Overall, the Nike Elite sock has better padding, better compression, better fit but the Adidas SpeedCrew has better ventilation.",Nike,Adidas,BETTER,NONE,False,2
1284,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The pizza use to be better and the Crazy bread was definately better.,bread,pizza,NONE,WORSE,False,2
1285,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Is a BMW 3 series $15,000 better than a Ford Focus?",Ford,BMW,BETTER,NONE,False,2
1286,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,carolina,missouri,NONE,BETTER,False,2
1287,"unigrams ('middle part', ExtractMiddlePart(processing=None))",the football team is decent but getting better! the basketball teams are awesome!the,football,basketball,NONE,WORSE,False,1
1288,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This is one where a company like Dell can dominate a company like Apple that makes a better product.,Apple,Dell,NONE,BETTER,False,2
1289,"unigrams ('middle part', ExtractMiddlePart(processing=None))","pizza cooks faster and is more tender, bread crusts as it's never crusted before.",bread,pizza,NONE,BETTER,False,2
1290,"unigrams ('middle part', ExtractMiddlePart(processing=None))","And at this point, Python (or Ruby) may be a better choice, because Hackage still lags behind PyPI in many areas (and say, how many days you need to teach a novice to manipulate an image, or to plot charts in Haskell?).",Python,Haskell,NONE,BETTER,False,2
1291,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This is easier for some languages who have more syntactic sugar (like Ruby or Scala) and much more difficult for others (like Java).,Java,Scala,NONE,BETTER,False,2
1292,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Alonso/Renault got the better of Michael/Ferrari in 2006.,Ferrari,Renault,NONE,BETTER,False,2
1293,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It's better than B&N (no file table access at all) or Amazon (hard reset every time to update filetable), but still not as simple as Sony.",Sony,Amazon,WORSE,NONE,False,2
1294,"unigrams ('middle part', ExtractMiddlePart(processing=None))",You won't find a better suv than this outstanding 2013 jeep Patriot.,suv,jeep,BETTER,NONE,False,2
1295,"unigrams ('middle part', ExtractMiddlePart(processing=None))",What Perl can do better than Ruby and vice versa,Ruby,Perl,BETTER,NONE,False,2
1296,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Surfing the web on an iphone is far superior, surfing the web on my laptop is far superior still.",laptop,iphone,NONE,BETTER,False,1
1297,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Is murder worse in missouri than michigan?,michigan,missouri,BETTER,WORSE,False,1
1298,"unigrams ('middle part', ExtractMiddlePart(processing=None))",There is no obvious reason as to why Lisp should have better performance than Python.,Python,Lisp,BETTER,NONE,False,2
1299,"unigrams ('middle part', ExtractMiddlePart(processing=None))","States with 10 percent unemployment or worse included Nevada, 14.2; Rhode Island, 11.3; michigan 10.7; South carolina, 10.5; Oregon, 10.4; Kentucky, 10.4; Georgia, 10.4; and Mississippi 10.1.",carolina,michigan,NONE,WORSE,False,2
1300,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",Apple,Dell,NONE,WORSE,False,2
1301,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,Perl,AWK,NONE,WORSE,False,2
1302,"unigrams ('middle part', ExtractMiddlePart(processing=None))",They just couldn't understand that hockey was significantly cooler than tennis.,tennis,hockey,BETTER,WORSE,False,1
1303,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,WORSE,False,2
1304,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Windows 7 (rock solid 64-bit stability & modern, visual appeal), Windows XP (power features of NT with the beauty of Win95) and Windows 95 (Seriously, the most awesome OS of its era, a 10x improvement over Windows 3.11) were all fantastic hits; can anyone explain to me how Windows 8 will improve computing life?",Windows XP,Windows 8,BETTER,NONE,False,2
1305,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Motorola was king before Nokia came in.,Nokia,Motorola,NONE,WORSE,False,2
1306,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I'm not saying Windows 8 is worse than Windows 7 - I believe it has better features and so on.,Windows 7,Windows 8,WORSE,BETTER,False,1
1307,"unigrams ('middle part', ExtractMiddlePart(processing=None))","For all of Google TV's faults as a platform, Sony has done a decent enough job with the WiFi-endowed NSZ-GS7, though it does run on the ageing Android 3.2 Honeycomb OS.",Google,Sony,NONE,WORSE,False,2
1308,"unigrams ('middle part', ExtractMiddlePart(processing=None))","after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",Intel,Kingston,NONE,WORSE,False,2
1309,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Is Windows 8 better than Windows 7, its predecessor?",Windows 7,Windows 8,BETTER,NONE,False,2
1310,"unigrams ('middle part', ExtractMiddlePart(processing=None))",That makes the 2013 Fusion Energi 8 MPGe better than the Chevrolet Volt and 13 MPGe more fuel efficient than the Toyota Prius Plug-In models.,Toyota,Chevrolet,BETTER,NONE,False,2
1311,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The pasta is mediocre BUT the pizza is very good.,pizza,pasta,NONE,WORSE,False,1
1312,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Ironically, our Ferrari, lambo, GTRs, bentley is more then BMW //M and MERC AMG.",Ferrari,BMW,NONE,BETTER,False,1
