Concept,Source,Type
Direct3D (a subset of DirectX),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Glide,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Mantle,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Metal,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL ES 3D API,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
QuickDraw 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
RenderMan,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
RenderWare,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Vulkan,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
ClanLib,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Crystal Space,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
HOOPS 3D Graphics System,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Horde3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Irrlicht Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Java 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Java FX,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
JMonkey Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
JT Open from Siemens PLM Software,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Mobile 3D Graphics API (M3G; JSR-184),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OGRE,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL Performer,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Open Inventor,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenSceneGraph,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenSG,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
QSDK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
