id	sentence	a	b	without_marker
0	I expect Microsoft to move on to vectorized windows and icons, to offer better scalability and sharp looking UI.	Sharp	Microsoft	True
1	Really what your asking is which is better; microsoft made a retarted language basic and built up and bastardised itself, C sharp is MS trying to mess with the compiler market and make it harder to make cross platform software.	Sharp	Microsoft	True
2	Microsoft claims that on the PC, online sources are growing much faster than DVD & broadcast TV consumption, are all in sharp decline.	Sharp	Microsoft	True
3	Nokias) have seen a sharp decline from 11.9% to a measly 2.5% - a drop worse than even Microsoft might have imagined.	Sharp	Microsoft	True
4	The Microsoft .NET Framework, which you can use with any .NET programming language such as C# (C sharp) or Visual Basic.NET, has solid support for regular expressions.	Sharp	Microsoft	True
5	The new visual hotness, according to Microsoft (and pictured above), is "Metro," with its sharp corners, solid colors and plain white window frames-known as "chrome"-by default.	Sharp	Microsoft	True
6	Also, DigiTimes is reporting that sources have told them Microsoft may increase the price of OEM versions of Windows 8, which could make it harder on system builders to keep their prices sharp, especially on the Ultrabooks.	Sharp	Microsoft	True
7	In fact, Psion made several amazing PDA's and sub-notebook-like products in the mid-to-late 90's that were often judged superior to the Palm, Sharp, and Microsoft PDA's of the day.	Sharp	Microsoft	True
8	Its great features include: 1. Written in 100 percent Visual C Sharp (CLS Compliant) 2. Integrated with Microsoft Visual Studio 2003 and 2005 3. Friendly usability and interactivity 4. Point and Figure exposed as API 5. FCC runs faster.	Sharp	Microsoft	True
9	Today's agreement allows Sharp to incorporate the latest file system from Microsoft in its product portfolio and deliver faster response times and greater storage capabilities to consumers around the globe.	Sharp	Microsoft	True
10	So Enterprise Developer is nothing more than a thinly veiled lure, hardly subtle but Microsoft is a business and you worse in the high-street so lets get over calling this a sharp practice.	Sharp	Microsoft	True
11	Particular scorn was reserved for technology and internet stocks, predicting a sharp downward spiral not just for "gravity-defying internet shares such as Yahoo! and Excite", but also for more solid tech-related companies such as Microsoft, Cisco, and Dell.	Sharp	Microsoft	True
12	Cuban obviously delights in technology, but in sharp contrast to large companies like Microsoft, he is less beholden to the bottom line and is still able to pursue better technology because it's the right thing to do.	Sharp	Microsoft	True
13	Others named in the suit, which was filed earlier this week in Los Angeles Superior Court, are Dell, Gateway, Hewlett-Packard, IBM, Sharp, Sony and Toshiba.	Sharp	Hewlett-Packard	False
14	A Palm/Handspring duo should have a better chance of competing in the PDA space with large rivals such as Dell, Hewlett-Packard, and Sharp.	Sharp	Hewlett-Packard	False
15	The lawsuit, which seeks class action status, was filed earlier this week in Los Angeles Superior Court against Apple Computer Inc., Dell Inc., Gateway Inc., Hewlett-Packard Co., IBM, Sharp Corp., Sony Corp and Toshiba Corp.	Sharp	Hewlett-Packard	False
16	U.S. stocks finished with mild gains Wednesday as better-than-expected services sector and payrolls data, preceding Friday's official September nonfarm payrolls report, offset a sharp decline in Dow component Hewlett-Packard ( HPQ ) .	Sharp	Hewlett-Packard	False
17	U.S. stocks finished with mild gains Wednesday as better-than-expected services sector and payrolls data, preceding Friday's official September nonfarm payrolls report, offset a sharp decline in Dow component Hewlett-Packard ( HPQ - Get Report ) .	Sharp	Hewlett-Packard	False
18	NEW YORK ( TheStreet ) -- U.S. stocks finished with mild gains Wednesday as better-than-expected services sector and payrolls data offset a sharp decline in Dow component Hewlett-Packard ( HPQ - Get Report ) .	Sharp	Hewlett-Packard	False
19	Hewlett-Packard ( HP ) recently reported another sharp drop in profits of the second quarter of this year, but still surpassed market expectations due to cost cuts and better-than-expected results in its printing and services businesses.	Sharp	Hewlett-Packard	False
20	Even worse, though, Microsoft and Hewlett-Packard foisted the sRGB color space on the world.	Microsoft	Hewlett-Packard	False
21	There's no reason another company couldn't make something better, but it certainly won't come from Microsoft, Google or Hewlett-Packard.	Microsoft	Hewlett-Packard	False
22	Multibillion-dollar write-offs by Microsoft Corp., Hewlett-Packard Co. and Boston Scientific Corp. for poorly performing acquisitions prompt the question: Who's next?	Microsoft	Hewlett-Packard	False
23	Massey predicts the superior performance of technology shares such as Hewlett-Packard Co. and Microsoft will "last for a couple of years."	Microsoft	Hewlett-Packard	False
24	Hewlett-Packard and Microsoft also have reshaped their corporate strategies in recent years to make better use of their technology innovation and patent holdings.	Microsoft	Hewlett-Packard	False
25	Microsoft won't be any better at achieving that dream than IBM, Digital, Xerox, Hewlett-Packard, Sun Microsystems, or any other company that has attempted the same thing.	Microsoft	Hewlett-Packard	False
26	Although IBM and Hewlett-Packard are duking it out over who performed better, NEC took the top spot in survey.	Hewlett-Packard	NEC	False
27	Filter by Manufacturer: 3Ware Adaptec Addonics ADS Technology ADVANSYS ALI Advanced Logic Research AMCC/3ware American Megatrends ARECA ATI ATTO Bafo Belkin Best Connectivitiy BUSlink Cables Unlimited CardBus Cintre Clone Compaq Cooler Master Creative Labs DEC Dell DIGITAL Digital Storage Works D-Link DOMEX Domex Technology EMC Emulex Encore Equinox eVGA Fieon FORE SYSTEM Fujitsu GOODWAY Hewlett Packard HighPoint Hitachi HM HP IBM Intel I-O Data IO Flex IOGEAR Iomega Kouwell LAVA Lenovo Lexmark LSI LSI Logic LSILogic Lucent Matrox Maxtor Micro Innovations MICROSTAR Misc MOSCHIP M-Tech NEC OEM ORANGE MICRO ORANGE MICRO INC.	Hewlett-Packard	NEC	False
28	Hewlett-Packard founder	Hewlett-Packard	Founder	False
29	Co-Founder of Hewlett-Packard.	Hewlett-Packard	Founder	False
30	NEC and Fujitsu also said first-quarter earnings from chips were better than their estimates for the period.	NEC	Fujitsu	False
31	SGI did much better when the US government was afraid of Japanese imports - not cars, but NEC and Fujitsu supercomputers.	NEC	Fujitsu	False
32	And of course you never heard of Cray, NEC, Fujitsu or Hitachi for that matter..... the had even better specfp to Mhz ratio than the R8K.	NEC	Fujitsu	False
33	In the early and mid-1980s Japanese companies ( Fujitsu , Hitachi and Nippon Electric Corporation (NEC) introduced register-based vector machines similar to the Cray-1, typically being slightly faster and much smaller.	NEC	Fujitsu	False
34	Japanese companies Fujitsu Limited, NEC, and Anritsu today have demonstrated an optical network interface technology that will allow 100 gigabit-class communications over multiple optical networks, some 2.5- to 10-times faster than current speeds.	NEC	Fujitsu	False
35	The eight main domestic makers of cell phones over here (Casio, Hitachi, NEC, Sharp, Toshiba, Fujitsu, Panasonic and Kyocera) sold 19 percent fewer handsets in 2008 and things look even worse in 2009.	NEC	Fujitsu	False
36	Solid-CHF electronic Since its inception in 2007, has successfully launched SONY, IBM, DELL, HP, COMPAQ, TOSHIBA, ACER, APPLE, FUJITSU, ASUS, SAMSUNG, NEC, CANON and so on nearly a dozen more...	NEC	Fujitsu	False
37	Computations were performed on a NEC SX-9 at the Institute for Solid-State Physics, The University of Tokyo, and a Fujitsu PrimeQuest at the Research Center for Computational Science, Okazaki Research Facilities, National Institutes of Natural Sciences.	NEC	Fujitsu	False
38	Fujitsu, Genius, IBM Corporation, ITAC Systems, Jing Mold, Key Tronic, Logitech, Maxi Switch, Inc., Microsoft, Monterey, NEC, NMB, Olivetti, Ortek, Philips, Qtronix, Samsung, Sejin, Silitek, Solid Year, STSL, SUH DART, SUPERGATE, SUPGERGATE	NEC	Fujitsu	False
39	Fujitsu, Genius, ITAC Systems, Jing Mold, Kensington, Key Tronic, Logitech, Maxi Switch, Inc., Microsoft, Monterey, NEC, NMB, Ortek, Philips, Qtronix, Samsung, Sejin, Silitek, Solid Year, STSL, SUH DART, SUPERGATE, SUPGERGATE, Texas Instruments, TOSHIBA	NEC	Fujitsu	False
40	If your organization is looking at converged architecture systems and is considering options offered by Dell, Egenera, Fujitsu, HP or NEC, it would be worth getting to know Egenera's PAN Manager better.	NEC	Fujitsu	False
