,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
0,"Apple cider vinegar will taste better then white, but lemon juice is the best tasting.",cider,juice,BETTER,NONE,WORSE,1.0,86
1,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",Windows Vista,Windows XP,NONE,NONE,WORSE,0.8,235
1,I was using google music but amazon is just better.,google,amazon,NONE,NONE,WORSE,1.0,51
2,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.",PHP,Perl,BETTER,BETTER,NONE,1.0,137
3,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,Perl,Java,BETTER,NONE,WORSE,1.0,110
3,"mit is harder to graduate from (on average probably, at minimum certainly) than HYP or stanford.",mit,stanford,NONE,BETTER,WORSE,1.0,96
6,"I'm a Perl guy myself, but sometimes AWK is faster and cleaner for extracting data.",Perl,AWK,NONE,NONE,WORSE,1.0,83
9,"I have written similar mechanisms in Perl, but prefer the PHP solution as it is easier.",Perl,PHP,NONE,NONE,WORSE,1.0,87
10,95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iphone.,laptop,iphone,BETTER,NONE,WORSE,0.6,113
14,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".",PHP,Perl,BETTER,BETTER,WORSE,1.0,100
16,"If you're on Windows XP, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to Windows 8 is going to be dirt cheap and totally worth it: only 40 bucks.",Windows XP,Windows 8,NONE,NONE,WORSE,0.6,196
17,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",Python,Lisp,NONE,NONE,WORSE,1.0,162
19,"Don't learn Perl because even though it's a mature, fast and popular language, it's harder to learn than PHP.",Perl,PHP,BETTER,BETTER,WORSE,0.8,109
22,"Unless you are working experienced Python web developers, PHP is easier to get started with.",Python,PHP,NONE,NONE,WORSE,1.0,92
26,Compared to Perl - Ruby is much much nicer.,Perl,Ruby,NONE,NONE,WORSE,1.0,43
26,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",steel,aluminum,NONE,NONE,BETTER,1.0,91
35,california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,california,carolina,NONE,NONE,BETTER,0.6,119
36,It could be worse for Microsoft - Apple could be dominating this market.,Microsoft,Apple,NONE,NONE,WORSE,1.0,72
40,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,Java,Smalltalk,NONE,NONE,WORSE,1.0,72
42,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,PHP,Java,NONE,NONE,BETTER,1.0,168
48,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,Windows XP,Windows 8,BETTER,BETTER,NONE,1.0,91
49,Their aim is to make Windows 8 run faster than Windows 7 on the same machine.,Windows 8,Windows 7,BETTER,BETTER,NONE,0.8,77
59,Going cordless is good and going Bluetooth is even better since it frees up a USB port.,Bluetooth,USB,BETTER,BETTER,NONE,0.8,87
61,"First, Motorola, then HTC and Samsung.",Motorola,Samsung,NONE,NONE,BETTER,1.0,38
77,"You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",knife,pistol,NONE,NONE,WORSE,1.0,137
79,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?",Apple,Sony,NONE,NONE,BETTER,1.0,121
88,Nike didn't look to the designs of Adidas to make a better sneaker.,Nike,Adidas,NONE,BETTER,WORSE,1.0,67
89,Is Google GDrive any better than Microsoft SkyDrive?,Google,Microsoft,BETTER,BETTER,NONE,1.0,52
90,Will google Music Become Bigger and Better than itunes?,google,itunes,BETTER,BETTER,NONE,1.0,55
98,Apple had better watch out for Google.,Apple,Google,NONE,NONE,BETTER,0.4,38
110,"Microsoft, and distract the DOJ from worse dangers such as Intel.",Microsoft,Intel,NONE,NONE,BETTER,1.0,65
116,"We've been  hitting hard with evidence for the past few months  that suggest a new Apple TV is in development, and what better time to launch it than alongside the latest and greatest mobile iOS device?",Apple TV,iOS,BETTER,BETTER,NONE,0.8,202
121,"Goodnight NetBeans, Hello Eclipse",NetBeans,Eclipse,NONE,NONE,WORSE,0.6,33
122,faster Samsung SSDs in some units and significantly slower Toshiba SSDs in others).,Samsung,Toshiba,WORSE,NONE,BETTER,1.0,83
126,"But merely posting ""Python is way more popular"" isn't constructive toward making Ruby better.",Python,Ruby,NONE,NONE,BETTER,0.4,93
144,Did you work harder at oregon State than you did at virginia?,oregon,virginia,BETTER,BETTER,NONE,1.0,61
148,"In other news, Apple is upgrading its current lineup of MacBook Air laptops with faster processors from Intel.",Apple,Intel,NONE,NONE,BETTER,1.0,110
152,"Hewlett-Packard regained the lead in worldwide PC shipments in the fourth quarter of 2003, but Dell managed to hold onto its lead for the full year, as the PC industry recorded one of its better years in recent memory, according to preliminary figures from IDC and Gartner.",Hewlett-Packard,Dell,NONE,NONE,WORSE,1.0,273
157,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",Coca-Cola,Pepsi,NONE,NONE,BETTER,0.8,93
158,"It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",SQLite,MySQL,NONE,NONE,WORSE,0.6,195
159,I drive a Chevrolet Trailblazer...not much different than the Envoy...and don't think it's outdated...I don't think Ford or Chrysler has done any better?,Chevrolet,Ford,NONE,NONE,BETTER,1.0,153
162,If the gamecube did not have better games than the ps2 that is my point.,gamecube,ps2,BETTER,BETTER,NONE,0.6,72
164,"Nintendo, Microsoft, Sony from best to worse in that exact order.",Microsoft,Sony,NONE,NONE,BETTER,1.0,65
173,Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,amazon,itunes,BETTER,BETTER,NONE,1.0,92
174,"Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,NONE,BETTER,1.0,163
176,"Looking back I'd say Perl is more general than AWK, but not necessarily better .",Perl,AWK,BETTER,BETTER,NONE,1.0,80
176,The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.,Samsung,Nokia,NONE,NONE,BETTER,1.0,119
177,Google does maps better then Yahoo and Mapquest and Apple.,Google,Apple,NONE,NONE,BETTER,0.4,58
181,"As a Netflix subscriber (and also short since $140) I do agree with most of the comments about the indy-type films being better views than Starz content; however, I can get the indy stuff elsewhere, most of the Stars -- especially Sony content is the high priced stuff that's harder to find elsewhere (ie Amazon, Hulu).",Sony,Amazon,WORSE,NONE,BETTER,1.0,319
184,"Finally, the concept was perfected by Apple - and later poorly copied by Microsoft.",Apple,Microsoft,NONE,NONE,BETTER,1.0,83
185,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",steak,bread,NONE,NONE,WORSE,1.0,129
190,Amazon literally bulldozed upcoming competitors like Microsoft and Google by using its far superior product offerings and extensive networks.,Amazon,Google,NONE,WORSE,BETTER,0.6,141
197,"The hardware (Sony) feels cheap and easy to break compared to my 4-year old Dell, which feels solid.",Sony,Dell,BETTER,NONE,WORSE,1.0,100
199,and heck i just like Perl better than Java! as well its good to have choices!!,Perl,Java,NONE,NONE,BETTER,1.0,78
202,This can skew expectations because an implementation may perform very well on Integer math and considerably worse on Floating-point math due to the objects created (and collected).,Integer,Floating-point,WORSE,NONE,BETTER,1.0,180
204,Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,plastic,concrete,NONE,WORSE,BETTER,0.8,171
205,The consensus seems to be that Java killed Smalltalk.,Java,Smalltalk,NONE,NONE,BETTER,1.0,53
208,It is easier to install and seems to work well with Windows XP but crashed a lot on Windows 98 (at least when I tested it).,Windows XP,Windows 98,NONE,NONE,BETTER,0.6,123
208,"I was merely Kidding :) ... As a photographer who does large prints(and needs a MF camera) the hasselblad is visibly superior than a Dx format camera, and as a street photographer the Leica is unnoticeable and often can foil as a Point n shoot but, If you want to go out and just take great pictures (like the ones you have)a Nikon is perfect.",Leica,Nikon,NONE,NONE,WORSE,1.0,343
222,@Slava: FUD! Shameless FUD! Groovy is definitely not thousands times slower than Java!,Groovy,Java,WORSE,WORSE,BETTER,1.0,86
236,Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,carolina,missouri,NONE,NONE,BETTER,1.0,161
237,"Further he claims that while youtube ""hides behind"" the safe harbor of the DMCA, hulu has s superior advantage because it is able to license its conten t:",youtube,hulu,NONE,NONE,WORSE,1.0,154
239,My recollection has been that Nokia did pretty well and Samsung quite poorly.,Nokia,Samsung,NONE,NONE,BETTER,1.0,77
243,I don't see Apple syncing anything better than Google.,Apple,Google,BETTER,NONE,WORSE,1.0,54
245,"Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",Dell,Apple,NONE,NONE,WORSE,0.6,167
248,"The entity may even provide sample Java code, but Perl is a far better solution.",Java,Perl,NONE,NONE,WORSE,1.0,80
251,Google Makes it Easier to Dump Microsoft Office #io14,Google,Microsoft,NONE,NONE,BETTER,0.8,53
253,"I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.",Chevrolet,Ford,NONE,NONE,BETTER,1.0,130
264,football is one thing; basketball should be easier.,football,basketball,NONE,NONE,BETTER,0.8,51
273,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",Chevrolet,Toyota,NONE,NONE,BETTER,1.0,276
276,"The Cell is a high performance chip that is set to be the core of the Sony Playstation 3 video game system - its incredibly low cost, but because its highly specialized to do certain kinds of number crunching and application tasks, its faster than general purpose chips like the Intel Pentium or the PowerPC G5.",Sony,Intel,BETTER,BETTER,NONE,1.0,311
279,Apple would be better off competing with Nintendo than Sony and MS.,Apple,Sony,BETTER,BETTER,NONE,1.0,67
280,"We had an option to go West, but the starter housing prices at the time in california made the decision to come to georgia a bit easier.",california,georgia,NONE,NONE,WORSE,1.0,136
281,"further, some stuff is a lot easier (one example: standardized vertex buffers in Direct3D versus the VAR/VAO extension mess in OpenGL).",Direct3D,OpenGL,NONE,NONE,BETTER,1.0,135
293,"(ie: the slower, general-purpose Perl engine, versus the faster Python DFA-based engine).",Perl,Python,BETTER,NONE,WORSE,1.0,89
298,"Making matters worse for the company is the fact that its sales were eclipsed last month by Chrysler Group LLC, an automaker that almost ceased to exist a couple of years ago and one which historically has always trailed far behind Toyota.",Chrysler,Toyota,NONE,BETTER,WORSE,0.8,239
310,"No Motorola ever, long live Nokia!",Motorola,Nokia,NONE,NONE,WORSE,0.8,34
311,"Nikon, zeiss or schneider industrial optic but even quite often mainstream optic is able to beat most what Leica produces and for even better price.",Nikon,Leica,NONE,NONE,BETTER,1.0,148
321,"More open to possibilities that once seemed outlandish, Apple couldn't have found a better enterprise partner than IBM.",Apple,IBM,WORSE,BETTER,NONE,1.0,119
321,"While the ps2 was a lousy DVD player, the ps3 is a fantastic Blu-ray player.",ps2,ps3,NONE,BETTER,WORSE,0.8,76
