,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,s_len
3325,1770,InferSent,"I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",Ethernet,USB,NONE,BETTER,0.8,se (unique),162
3329,2105,InferSent,"Rushed to market in 1983 to compete against the new IBM PC, it was so poorly designed that even Apple couldn't sell it.",IBM,Apple,WORSE,NONE,0.4,se (unique),119
3331,1646,InferSent,"The whole Florida line didn't play well versus missouri, but was better against georgia.",missouri,georgia,BETTER,NONE,0.8,se (unique),88
3332,256,InferSent,steel is stronger and harder then aluminum.,steel,aluminum,NONE,BETTER,1.0,se (unique),43
3335,1209,InferSent,"Dell is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better Microsoft deal.",Dell,Microsoft,BETTER,NONE,1.0,se (unique),143
3336,1966,InferSent,I found the Marco Polo restaurant to have better food than the Terrace cafe.,restaurant,cafe,NONE,BETTER,0.6,se (unique),76
3339,1118,InferSent,"harvard Head Coach Tim Murphy on the team's win versus cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.",harvard,cornell,NONE,BETTER,0.4,se (unique),140
3341,396,InferSent,The sooner people stop buying these Lexus things the better as I'm sick of people saying how nice it is when they are considering a new Audi etc. It's a stinking over priced Toyota - get over it!!!,Lexus,Audi,BETTER,NONE,1.0,se (unique),197
3342,412,InferSent,"If someone, like Samsung, can do it better and cheaper than them, Toshiba will outsource the operation.",Samsung,Toshiba,BETTER,NONE,1.0,se (unique),103
3343,1316,InferSent,"Performance The Audi A6 has less horsepower than the Lexus IS 350, so it will probably be somewhat slower.",Audi,Lexus,BETTER,WORSE,0.8,se (unique),106
3351,1234,InferSent,"Is Sigma so technologically deprived that it lags so far behind the ""big boys"" (Canon, Nikon, Sony, etc.) in the business that they could not do better?",Sigma,Nikon,WORSE,NONE,0.8,se (unique),152
3352,531,InferSent,"We know the worst of the crisis is behind us, said Ghosn, who is also CEO of Renault SA, which holds a better than 40 percent stake in Nissan.",Renault,Nissan,BETTER,NONE,1.0,se (unique),142
3353,273,InferSent,lumber business has increased in price and even better demands for timber lands.,lumber,timber,BETTER,NONE,0.8,se (unique),80
3355,803,InferSent,The build quality of the LG made Nexus 5 is better than Samsung - but not better than Nokia!,Samsung,Nokia,WORSE,NONE,0.6,se (unique),92
3358,1964,InferSent,I have done a decent amount of psp hacking but now i am looking to dive into the wii.,psp,wii,WORSE,NONE,1.0,se (unique),85
3364,23,InferSent,"The defense looked pretty good against missouri, even better against Vandy, so what happened to that looking pretty good against South carolina?",missouri,carolina,BETTER,NONE,1.0,se (unique),144
3365,1859,InferSent,"What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",Windows XP,Windows 8,WORSE,NONE,1.0,se (unique),294
3367,2302,InferSent,"Canon, Nikon and Sony lenses longer than 400mm cost more than $8,000 (although Sigma and Tamron offer slower tele-zooms that go out to 500mm for around $1,000).",Nikon,Sigma,BETTER,NONE,0.6,se (unique),160
3368,2095,InferSent,"Python is much better suited as a ""glue"" language, while Java is better characterized as a low-level implementation language.",Python,Java,BETTER,NONE,1.0,se (unique),125
3370,885,InferSent,"Perl tries harder than Java by offering a taint mode, but you can still shoot yourself in the foot.",Perl,Java,WORSE,BETTER,1.0,se (unique),99
3376,1219,InferSent,Scala probably embraces Java better than any other language in the book.,Scala,Java,BETTER,NONE,1.0,se (unique),72
3377,997,InferSent,"Now this would be fine for very old games or other games that don't use 3D acceleration (like QuickTime-based games), except that games that are that old would be better off played in a Windows 98 VM rather than a Windows XP VM.",Windows 98,Windows XP,NONE,BETTER,1.0,se (unique),228
3381,701,InferSent,"ARM has historically been weak at Floating-point arithmetic, but I'm under the impression that ARM might do better per watt on Integer workloads than x86.",Floating-point,Integer,NONE,BETTER,1.0,se (unique),154
3383,1740,InferSent,"Leica makes a very nice low end (about $20K)instrument that compares well in terms of image quality, etc, to all of the others (Nikon is poorer, Olympus is about the same).",Leica,Nikon,NONE,BETTER,1.0,se (unique),172
3385,580,InferSent,"We usually don't like Microsoft, but I don't think they are worse than Google.",Microsoft,Google,WORSE,BETTER,1.0,se (unique),78
3386,530,InferSent,"Meanwhile, German sportswear firms Adidas and Puma shined above other retailers as investors pile in following better-than-expected fourth quarter earnings from US rival Nike last night.",Adidas,Nike,NONE,BETTER,1.0,se (unique),186
3391,65,InferSent,Perl is slower and faster than Java,Perl,Java,WORSE,BETTER,1.0,se (unique),35
3397,2241,InferSent,"Python is one of the faster scripting languages I've seen around, but last time I checked it was still 10x slower than Java and 20x slower than C for most stuff.",Python,Java,BETTER,WORSE,0.6666666666666666,se (unique),161
3398,1825,InferSent,"However, I do wish it was optimized better, but PHP is not Java.",PHP,Java,NONE,BETTER,1.0,se (unique),64
3402,173,InferSent,The low-volume Ford Focus Electric is a more conventional looking (and better handling) alternative to the Nissan Leaf.,Ford,Nissan,NONE,BETTER,1.0,se (unique),119
3407,1574,InferSent,"A bit worse, but far closer to them (on the average) than the 2.8 are to Toyonda (Nissan is schizophrenic some bad some good, Ford does stand clear of GM and Chrylerabus a bit on the good side).",Nissan,Ford,WORSE,NONE,1.0,se (unique),194
3409,1296,InferSent,"golf isn't any harder than tennis, hockey, or any number of other sports, but a lot of us sure do suck.",golf,hockey,WORSE,NONE,1.0,se (unique),103
3412,1084,InferSent,"While recognized as a great basketball player, he was only mediocre on the baseball diamond.",basketball,baseball,NONE,BETTER,1.0,se (unique),92
3425,1291,InferSent,"Then connect another device or computer to your Android HotSpot , Transferring files from Samsung Kies Air is faster then Bluetooth and have almost good speed as on USB.",Bluetooth,USB,BETTER,NONE,1.0,se (unique),169
3426,1735,InferSent,"Windows 7 released in 2009 and was a success , primarily because it was a better Windows XP (which was also a success) and, today, because it's NOT Windows 8.",Windows XP,Windows 8,WORSE,NONE,0.6,se (unique),158
3438,1382,InferSent,"Upgraded staples : decent toilet paper; gourmet coffee, tea, hot chocolate, drink mix (variety flavors and better than the standard bug juice), spices and seasonings, tobasco sauce, etc.",coffee,juice,BETTER,NONE,0.8,se (unique),186
