id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
G1055248150,brands,Adidas,Nike,i dont like the 130 dollar price tag of the Adidas and Nike shoes but if they are far superior ill pick either of those.,0.6918,1.0,0,0,5,NONE,5,3,2,"i dont like the 130 dollar price tag of the <span style=""color: #9A14B2; font-weight: bold"">Adidas:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nike:[OBJECT_B]</span> shoes but if they are far superior ill pick either of those.",5,0.81508,1.0
T3244874893,jbt,Timber,Forest,you can't advocate for these schools for a wiser timber and forest management to ensure,1.0,1.0,0,0,5,NONE,5,3,2,"you can't advocate for these schools for a wiser <span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">forest:[OBJECT_B]</span> management to ensure",5,1.0,1.0
M1984939494,brands,Audi,Lexus,"Performance The Audi A6 has less horsepower than the Lexus IS 350, so it will probably be somewhat slower.",0.6898,1.0,1,4,0,WORSE,4,3,2,"Performance The <span style=""color: #9A14B2; font-weight: bold"">Audi:[OBJECT_A]</span> A6 has less horsepower than the <span style=""color: #6CB219; font-weight: bold"">Lexus:[OBJECT_B]</span> IS 350, so it will probably be somewhat slower.",5,0.8138799999999999,0.8
I1245684213,jbt,Suv,Jeep,"INCLUDES OUR EXCLUSIVE UNLIMITED MILEAGE LIFETIME POWERTRAIN WARRANTY, You won't find a better suv than this great 2014 jeep Wrangler.",0.6588,1.0,2,0,3,NONE,3,3,2,"INCLUDES OUR EXCLUSIVE UNLIMITED MILEAGE LIFETIME POWERTRAIN WARRANTY, You won't find a better <span style=""color: #9A14B2; font-weight: bold"">suv:[OBJECT_A]</span> than this great 2014 <span style=""color: #6CB219; font-weight: bold"">jeep:[OBJECT_B]</span> Wrangler.",5,0.79528,0.6
J1536882501,compsci,Mysql,Sqlite,"I would say MySQL is better, but if your application doesn't involve much of write operations (since its a home project) you can consider using SQLite.",1.0,1.0,5,0,0,BETTER,5,3,2,"I would say <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> is better, but if your application doesn't involve much of write operations (since its a home project) you can consider using <span style=""color: #6CB219; font-weight: bold"">SQLite:[OBJECT_B]</span>.",5,1.0,1.0
F729577854,jbt,Beer,Soda,Floor tiles in walk-in beer cooler and wall under soda machine noted in poor repair.,0.6641,1.0,1,0,4,NONE,4,3,2,"Floor tiles in walk-in <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span> cooler and wall under <span style=""color: #6CB219; font-weight: bold"">soda:[OBJECT_B]</span> machine noted in poor repair.",5,0.79846,0.8
F824648637,brands,Nokia,Motorola,"Google, Nokia, LG, Motorola?",1.0,1.0,0,0,5,NONE,5,3,2,"Google, <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span>, LG, <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span>?",5,1.0,1.0
R2792899586,jbt,Phone,Ipod,They redesigned a mediocre experience by making device convergence work ' phone plus ipod plus Web plus what's-next?,1.0,1.0,0,0,5,NONE,5,3,2,"They redesigned a mediocre experience by making device convergence work ' <span style=""color: #9A14B2; font-weight: bold"">phone:[OBJECT_A]</span> plus <span style=""color: #6CB219; font-weight: bold"">ipod:[OBJECT_B]</span> plus Web plus what's-next?",5,1.0,1.0
G992077491,brands,Hewlett-packard,Intel,HP (Hewlett-Packard) ProLiant Barebone System Blade - Intel 5520 Chipse...,1.0,1.0,0,0,5,NONE,5,3,2,"HP (<span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span>) ProLiant Barebone System Blade - <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> 5520 Chipse...",5,1.0,1.0
L1903522768,jbt,Sausage,Sandwich,"One sausage sandwich (mediocre), one small (but large) fries (very salty, not bad), one small (but large) lemonade (very sweet), one soft ice cream sundae (decent).",1.0,1.0,0,0,5,NONE,5,3,2,"One <span style=""color: #9A14B2; font-weight: bold"">sausage:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">sandwich:[OBJECT_B]</span> (mediocre), one small (but large) fries (very salty, not bad), one small (but large) lemonade (very sweet), one soft ice cream sundae (decent).",5,1.0,1.0
F875970466,jbt,Carolina,Georgia,"He had a decent game against Florida, but completely disappeared against S. carolina, georgia and Alabama.",1.0,1.0,0,0,5,NONE,5,3,2,"He had a decent game against Florida, but completely disappeared against S. <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> and Alabama.",5,1.0,1.0
Q2648225365,jbt,Bread,Pasta,"Therefore, eating high carbohydrate foods (cereal, pancakes, bread, fruit, vegetables, pasta) on a daily basis can help you train harder.",1.0,1.0,0,0,5,NONE,5,3,2,"Therefore, eating high carbohydrate foods (cereal, pancakes, <span style=""color: #9A14B2; font-weight: bold"">bread:[OBJECT_A]</span>, fruit, vegetables, <span style=""color: #6CB219; font-weight: bold"">pasta:[OBJECT_B]</span>) on a daily basis can help you train harder.",5,1.0,1.0
Q2740037942,compsci,Java,Objective-c,"The tool chain is much more robust, information is much easier to come by, garbage collection is available, and there are thousands more libraries written in Java than Objective-C and far more portable libraries than are written for C/C++.",0.33799999999999997,0.526,2,1,2,BETTER,2,3,2,"The tool chain is much more robust, information is much easier to come by, garbage collection is available, and there are thousands more libraries written in <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span> and far more portable libraries than are written for C/C++.",5,0.4132,0.4
L1791741821,compsci,Lisp,Python,".NET is not an operating system; it is closest in operation to the Java Virtual Machine: I believe your real question would be to choose between Visual Basic .NET, C#, or Java; do not forget, however, that other languages do exist (Lisp, C++, Python, and Ruby, to name some of the more popular ones) which may be better suited to your environment.",1.0,1.0,0,0,5,NONE,5,3,2,".NET is not an operating system; it is closest in operation to the Java Virtual Machine: I believe your real question would be to choose between Visual Basic .NET, C#, or Java; do not forget, however, that other languages do exist (<span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span>, C++, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, and Ruby, to name some of the more popular ones) which may be better suited to your environment.",5,1.0,1.0
M2054206302,compsci,Python,Perl,"Python, Tcl, Perl - what could better illustrate how widely varied the human mind operates?",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, Tcl, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> - what could better illustrate how widely varied the human mind operates?",5,1.0,1.0
E569810388,jbt,Champagne,Beer,Description WINE cooler champagne cooler beer cooler,1.0,1.0,0,0,5,NONE,5,3,2,"Description WINE cooler <span style=""color: #9A14B2; font-weight: bold"">champagne:[OBJECT_A]</span> cooler <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span> cooler",5,1.0,1.0
L1805222158,brands,Nikon,Leica,"Nikon, zeiss or schneider industrial optic but even quite often mainstream optic is able to beat most what Leica produces and for even better price.",1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span>, zeiss or schneider industrial optic but even quite often mainstream optic is able to beat most what <span style=""color: #6CB219; font-weight: bold"">Leica:[OBJECT_B]</span> produces and for even better price.",5,1.0,1.0
K1686371623,jbt,Foam,Wood,Material: /foam/wood.,1.0,1.0,0,0,6,NONE,6,4,2,"Material: /<span style=""color: #9A14B2; font-weight: bold"">foam:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>.",6,1.0,1.0
L1885727516,jbt,Playstation,Gamecube,On both the playstation 2 and gamecube.,1.0,1.0,0,0,5,NONE,5,3,2,"On both the <span style=""color: #9A14B2; font-weight: bold"">playstation:[OBJECT_A]</span> 2 and <span style=""color: #6CB219; font-weight: bold"">gamecube:[OBJECT_B]</span>.",5,1.0,1.0
K1707509238,brands,Ferrari,Bmw,Mercedes/Ferrari/BMW/etc are not high-theft-risk cars.,1.0,1.0,0,0,5,NONE,5,3,2,"Mercedes/<span style=""color: #9A14B2; font-weight: bold"">Ferrari:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">BMW:[OBJECT_B]</span>/etc are not high-theft-risk cars.",5,1.0,1.0
F741349877,jbt,Mit,Stanford,"For engineering fields, CMU is often comparable to or better than mit or stanford.",1.0,1.0,0,0,5,NONE,5,3,2,"For engineering fields, CMU is often comparable to or better than <span style=""color: #9A14B2; font-weight: bold"">mit:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span>.",5,1.0,1.0
G959040434,brands,Honda,Nissan,Honda MAZDA MITSUBISHI Nissan SUBARU TOYOTA,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> MAZDA MITSUBISHI <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> SUBARU TOYOTA",5,1.0,1.0
B313186522,brands,Bmw,Honda,"Any engine can come apart and its usually the faster guys that lose an engine,,, list a few cars that rev past 7,000 now,,,BMW/Honda both make power through rpm,anything over head cam(valve train stability)",0.679,1.0,0,0,5,NONE,5,3,2,"Any engine can come apart and its usually the faster guys that lose an engine,,, list a few cars that rev past 7,000 now,,,<span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> both make power through rpm,anything over head cam(valve train stability)",5,0.8074000000000001,1.0
