id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
S3063012648,"Well, I don't have a real benchmark but Tim Sweeny(Unreal) is saying everywhere that Direct3D is faster than OpenGL on windows.",Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
B216705748,"Also, Motorola makes better phones than Samsung.",Motorola,Samsung,BETTER,1.0,X/PROPN/nsubj/> make/VERB/ROOT/^ phone/NOUN/dobj/< than/ADP/prep/< Y/PROPN/pobj/<
G1018532288,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,WORSE,0.5,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
O2284066811,Specifications: - Solid 7mm thick plywood - Strong aluminium profiles - Heavy duty handles - steel ball corners - 4 wheels - Butterflylocks - Color: black,plywood,steel,NONE,1.0,X/PROPN/compound/> strong/PROPN/amod/> profile/NOUN/dobj/> strong/PROPN/ROOT/^ Y/PROPN/punct/<
A152130641,"Aerobics, tennis & volleyball",tennis,volleyball,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,Windows XP,Windows Vista,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/dobj/<
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,Windows XP,Windows Vista,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,Windows XP,Windows Vista,NONE,1.0,X/PROPN/ROOT/^ make/VERB/conj/V Y/PROPN/dobj/<
F736305181,"For a franchise that boasts the mantra, ""Eat better, feel better,"" and serves breakfast all day, watch out for items like classic breakfast sandwich made with sausage.",sandwich,sausage,NONE,1.0,X/PROPN/nsubj/> make/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/< collapsable/ADJ/amod/V Y/PROPN/pobj/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/< gigabit/PROPN/compound/V Y/PROPN/pobj/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/ROOT/^ toshiba/PROPN/conj/V Y/PROPN/conj/<
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,X/PROPN/nsubj/> stop/VERB/ROOT/^ Y/PROPN/conj/<
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,X/PROPN/nsubj/> stop/VERB/ROOT/^ the/DET/det/V Y/PROPN/conj/<
D508851959,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,Google,Kingston,NONE,1.0,NOPATH
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ versus/ADP/prep/V Y/PROPN/pobj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
