id,caption,sentence,object_a,object_b,predicted,gold
5,full_paths_j_l,IMO making a terrific hard cider is WAY harder than making great beer.,cider,beer,NONE,ARG
17,full_paths_j_l,"Forget pesky Windows 8, you still get solid old Windows 7 here.",Windows 8,Windows 7,NONE,ARG
19,full_paths_j_l,(all?)) tasks are much easier to accomplish in Perl than Java.,Perl,Java,NONE,ARG
41,full_paths_j_l,"Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?",Windows 8,Windows 7,NONE,ARG
45,full_paths_j_l,"You can find Java programmers and software engineers a dime dozen, but for Python it will be harder.",Java,Python,NONE,ARG
48,full_paths_j_l,"If Apple has better growth/profit than Dell/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.",Apple,Dell,NONE,ARG
50,full_paths_j_l,"Root canals aside, Microsoft is still doing better by it's hosted service customers than Amazon, whose multiple EC2 web service outages last year have been met with no public reconciliation.",Microsoft,Amazon,NONE,ARG
56,full_paths_j_l,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",Microsoft,Amazon,NONE,ARG
58,full_paths_j_l,"tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",Haskell,Java,NONE,ARG
61,full_paths_j_l,"Second, how can someone seriously argue that kennedy is worse than nixon or Hoover or Harding?",kennedy,nixon,NONE,ARG
62,full_paths_j_l,"Ruby is a beautiful language, much easier to learn (syntactically) than JavaScript.",Ruby,JavaScript,NONE,ARG
65,full_paths_j_l,"youtube is really solid though, but how about facebook?",youtube,facebook,ARG,NONE
68,full_paths_j_l,"With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",Groovy,Java,NONE,ARG
74,full_paths_j_l,"You can probably talk it into being multi line, but it would be easier to start the job with AWK or perl rather than trying to do it in Sed.",AWK,Sed,NONE,ARG
82,full_paths_j_l,"There is nothing particularly wrong about PHP, but it is much uglier than Python.",PHP,Python,NONE,ARG
88,full_paths_j_l,"Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,ARG
89,full_paths_j_l,"This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.",Dell,IBM,NONE,ARG
90,full_paths_j_l,"Utility The Chevrolet Traverse offers greater seating capacity than the Ford Explorer, making it a better choice for those who find themselves chauffeuring others around.",Chevrolet,Ford,NONE,ARG
93,full_paths_j_l,Obviously the prize money clause can be better applied to tennis than football.,tennis,football,NONE,ARG
101,full_paths_j_l,"(Also, Bash may not be the best language to do arithmetic-heavy operations in - something like Python might be a better choice)",Bash,Python,NONE,ARG
105,full_paths_j_l,Riding in this BMW with this music feels a thousand times better than riding in my messy Honda listening to punk CDs.,BMW,Honda,NONE,ARG
116,full_paths_j_l,"In a case study posted to his blog, Toomas Romer wonders if a PHP script is embarrassingly slower than than its Java counterpart.",PHP,Java,NONE,ARG
118,full_paths_j_l,"Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a harvard competitor, but finished five seconds faster than any cornell swimmer.",harvard,cornell,NONE,ARG
119,full_paths_j_l,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",Nissan,Ford,NONE,ARG
122,full_paths_j_l,"After all, who would play the 'wii' when there were much cooler names like playstation 3 and Xbox 360?",wii,playstation,NONE,ARG
124,full_paths_j_l,I think Ruby is better than PHP because it is so much cleaner.,Ruby,PHP,NONE,ARG
