id,caption,sentence,object_a,object_b,predicted,gold
5,full_paths_original_4_aip,IMO making a terrific hard cider is WAY harder than making great beer.,cider,beer,NONE,WORSE
17,full_paths_original_4_aip,"Forget pesky Windows 8, you still get solid old Windows 7 here.",Windows 8,Windows 7,NONE,WORSE
19,full_paths_original_4_aip,(all?)) tasks are much easier to accomplish in Perl than Java.,Perl,Java,NONE,BETTER
28,full_paths_original_4_aip,football and Basketball are far easier to project than baseball .,football,baseball,NONE,BETTER
37,full_paths_original_4_aip,"November 30, 2001, california, missouri.",california,missouri,BETTER,NONE
41,full_paths_original_4_aip,"Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?",Windows 8,Windows 7,NONE,BETTER
45,full_paths_original_4_aip,"You can find Java programmers and software engineers a dime dozen, but for Python it will be harder.",Java,Python,NONE,BETTER
48,full_paths_original_4_aip,"If Apple has better growth/profit than Dell/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.",Apple,Dell,NONE,BETTER
50,full_paths_original_4_aip,"Root canals aside, Microsoft is still doing better by it's hosted service customers than Amazon, whose multiple EC2 web service outages last year have been met with no public reconciliation.",Microsoft,Amazon,NONE,BETTER
56,full_paths_original_4_aip,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",Microsoft,Amazon,NONE,BETTER
58,full_paths_original_4_aip,"tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",Haskell,Java,NONE,BETTER
61,full_paths_original_4_aip,"Second, how can someone seriously argue that kennedy is worse than nixon or Hoover or Harding?",kennedy,nixon,NONE,WORSE
62,full_paths_original_4_aip,"Ruby is a beautiful language, much easier to learn (syntactically) than JavaScript.",Ruby,JavaScript,NONE,BETTER
68,full_paths_original_4_aip,"With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",Groovy,Java,NONE,BETTER
74,full_paths_original_4_aip,"You can probably talk it into being multi line, but it would be easier to start the job with AWK or perl rather than trying to do it in Sed.",AWK,Sed,NONE,BETTER
79,full_paths_original_4_aip,ipod Touch faster than latest iphone,ipod,iphone,NONE,BETTER
82,full_paths_original_4_aip,"There is nothing particularly wrong about PHP, but it is much uglier than Python.",PHP,Python,NONE,WORSE
88,full_paths_original_4_aip,"Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,WORSE
89,full_paths_original_4_aip,"This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.",Dell,IBM,NONE,BETTER
90,full_paths_original_4_aip,"Utility The Chevrolet Traverse offers greater seating capacity than the Ford Explorer, making it a better choice for those who find themselves chauffeuring others around.",Chevrolet,Ford,NONE,BETTER
93,full_paths_original_4_aip,Obviously the prize money clause can be better applied to tennis than football.,tennis,football,NONE,BETTER
100,full_paths_original_4_aip,So far Google is playing much nicer than Microsoft ever did and their apps work.,Google,Microsoft,NONE,BETTER
101,full_paths_original_4_aip,"(Also, Bash may not be the best language to do arithmetic-heavy operations in - something like Python might be a better choice)",Bash,Python,NONE,WORSE
105,full_paths_original_4_aip,Riding in this BMW with this music feels a thousand times better than riding in my messy Honda listening to punk CDs.,BMW,Honda,NONE,BETTER
108,full_paths_original_4_aip,Google is obviously nicer than Apple.,Google,Apple,NONE,BETTER
116,full_paths_original_4_aip,"In a case study posted to his blog, Toomas Romer wonders if a PHP script is embarrassingly slower than than its Java counterpart.",PHP,Java,NONE,WORSE
