id,caption,sentence,object_a,object_b,predicted,gold
5,full_paths_original_4_aip,IMO making a terrific hard cider is WAY harder than making great beer.,cider,beer,NONE,ARG
17,full_paths_original_4_aip,"Forget pesky Windows 8, you still get solid old Windows 7 here.",Windows 8,Windows 7,NONE,ARG
19,full_paths_original_4_aip,(all?)) tasks are much easier to accomplish in Perl than Java.,Perl,Java,NONE,ARG
28,full_paths_original_4_aip,football and Basketball are far easier to project than baseball .,football,baseball,NONE,ARG
30,full_paths_original_4_aip,"Use solid timber, a built up lumber beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.",timber,lumber,ARG,NONE
41,full_paths_original_4_aip,"Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?",Windows 8,Windows 7,NONE,ARG
42,full_paths_original_4_aip,"There are still some backs who could move into first-round contention -- Justin Fargas (Southern California), Lee Suggs (virginia Tech) and Onterrio Smith (oregon) -- but Johnson certainly helped himself with a superior workout.",virginia,oregon,ARG,NONE
45,full_paths_original_4_aip,"You can find Java programmers and software engineers a dime dozen, but for Python it will be harder.",Java,Python,NONE,ARG
48,full_paths_original_4_aip,"If Apple has better growth/profit than Dell/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.",Apple,Dell,NONE,ARG
50,full_paths_original_4_aip,"Root canals aside, Microsoft is still doing better by it's hosted service customers than Amazon, whose multiple EC2 web service outages last year have been met with no public reconciliation.",Microsoft,Amazon,NONE,ARG
56,full_paths_original_4_aip,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",Microsoft,Amazon,NONE,ARG
58,full_paths_original_4_aip,"tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",Haskell,Java,NONE,ARG
61,full_paths_original_4_aip,"Second, how can someone seriously argue that kennedy is worse than nixon or Hoover or Harding?",kennedy,nixon,NONE,ARG
62,full_paths_original_4_aip,"Ruby is a beautiful language, much easier to learn (syntactically) than JavaScript.",Ruby,JavaScript,NONE,ARG
68,full_paths_original_4_aip,"With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",Groovy,Java,NONE,ARG
74,full_paths_original_4_aip,"You can probably talk it into being multi line, but it would be easier to start the job with AWK or perl rather than trying to do it in Sed.",AWK,Sed,NONE,ARG
79,full_paths_original_4_aip,ipod Touch faster than latest iphone,ipod,iphone,NONE,ARG
82,full_paths_original_4_aip,"There is nothing particularly wrong about PHP, but it is much uglier than Python.",PHP,Python,NONE,ARG
88,full_paths_original_4_aip,"Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,ARG
89,full_paths_original_4_aip,"This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.",Dell,IBM,NONE,ARG
90,full_paths_original_4_aip,"Utility The Chevrolet Traverse offers greater seating capacity than the Ford Explorer, making it a better choice for those who find themselves chauffeuring others around.",Chevrolet,Ford,NONE,ARG
93,full_paths_original_4_aip,Obviously the prize money clause can be better applied to tennis than football.,tennis,football,NONE,ARG
100,full_paths_original_4_aip,So far Google is playing much nicer than Microsoft ever did and their apps work.,Google,Microsoft,NONE,ARG
101,full_paths_original_4_aip,"(Also, Bash may not be the best language to do arithmetic-heavy operations in - something like Python might be a better choice)",Bash,Python,NONE,ARG
105,full_paths_original_4_aip,Riding in this BMW with this music feels a thousand times better than riding in my messy Honda listening to punk CDs.,BMW,Honda,NONE,ARG
108,full_paths_original_4_aip,Google is obviously nicer than Apple.,Google,Apple,NONE,ARG
116,full_paths_original_4_aip,"In a case study posted to his blog, Toomas Romer wonders if a PHP script is embarrassingly slower than than its Java counterpart.",PHP,Java,NONE,ARG
118,full_paths_original_4_aip,"Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a harvard competitor, but finished five seconds faster than any cornell swimmer.",harvard,cornell,NONE,ARG
119,full_paths_original_4_aip,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",Nissan,Ford,NONE,ARG
122,full_paths_original_4_aip,"After all, who would play the 'wii' when there were much cooler names like playstation 3 and Xbox 360?",wii,playstation,NONE,ARG
123,full_paths_original_4_aip,Ie. the sweet potato worked better for you than the rye bread.,potato,bread,NONE,ARG
124,full_paths_original_4_aip,I think Ruby is better than PHP because it is so much cleaner.,Ruby,PHP,NONE,ARG
127,full_paths_original_4_aip,"While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",missouri,georgia,NONE,ARG
128,full_paths_original_4_aip,De Lorenzo's clam pizza may be better than its sausage.,pizza,sausage,NONE,ARG
129,full_paths_original_4_aip,"And I work with files from the Nikon 35/1.4G and I know, optically, it's not better than the Sigma.",Nikon,Sigma,NONE,ARG
133,full_paths_original_4_aip,"There's no doubt that hockey is harder to master than baseball, in general.",hockey,baseball,NONE,ARG
134,full_paths_original_4_aip,"For a performance-critical Pig UDF, Java is much faster than either Python or Jython.",Java,Python,NONE,ARG
135,full_paths_original_4_aip,"caddis: Remember you said this in ten months when a slice of pizza or worse, a cheese steak, starts looking just a little too enticing.",pizza,steak,NONE,ARG
137,full_paths_original_4_aip,Apple claimed that Swift is faster than the Objective-C.,Swift,Objective-C,NONE,ARG
139,full_paths_original_4_aip,"I personally think Nike products in general are better than Adidas products, but to each their own.",Nike,Adidas,NONE,ARG
141,full_paths_original_4_aip,She has an easier time managing the  ipod than the laptop.,ipod,laptop,NONE,ARG
145,full_paths_original_4_aip,"So, moldy bread is safer than moldy pizza.",bread,pizza,NONE,ARG
147,full_paths_original_4_aip,"Caroline Moakley (Cary, N.C./North carolina State University at Raleigh) was only 1.36 seconds faster than Danielle Haulman (Davis, Calif./University of california-Davis) to earn third place.",carolina,california,NONE,ARG
148,full_paths_original_4_aip,The real reason why Python will still be slower than Java is because it's a much more dynamic language.,Python,Java,NONE,ARG
