,caption,gold,id,idr,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
1,,ARG,,,1.0,google,amazon,,,NONE,NONE,,True,51,I was using google music but amazon is just better.,
2,,NONE,,,0.6,PHP,Perl,,,ARG,ARG,,True,137,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.",
16,,ARG,,,1.0,Windows XP,Windows 8,,,NONE,NONE,,True,196,"If you're on Windows XP, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to Windows 8 is going to be dirt cheap and totally worth it: only 40 bucks.",
17,,ARG,,,0.8,Python,Lisp,,,NONE,NONE,,True,162,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",
22,,ARG,,,1.0,Python,PHP,,,NONE,NONE,,True,92,"Unless you are working experienced Python web developers, PHP is easier to get started with.",
26,,ARG,,,1.0,Perl,Ruby,,,NONE,NONE,,True,43,Compared to Perl - Ruby is much much nicer.,
26,,ARG,,,0.8,steel,aluminum,,,NONE,NONE,,True,91,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",
36,,ARG,,,1.0,Microsoft,Apple,,,NONE,NONE,,True,72,It could be worse for Microsoft - Apple could be dominating this market.,
40,,ARG,,,1.0,Java,Smalltalk,,,NONE,NONE,,True,72,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,
42,,ARG,,,1.0,PHP,Java,,,NONE,NONE,,True,168,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,
48,,NONE,,,1.0,Windows XP,Windows 8,,,ARG,ARG,,True,91,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,
49,,NONE,,,1.0,Windows 8,Windows 7,,,ARG,ARG,,True,77,Their aim is to make Windows 8 run faster than Windows 7 on the same machine.,
59,,NONE,,,1.0,Bluetooth,USB,,,ARG,ARG,,True,87,Going cordless is good and going Bluetooth is even better since it frees up a USB port.,
61,,ARG,,,0.5,Motorola,Samsung,,,NONE,NONE,,True,38,"First, Motorola, then HTC and Samsung.",
77,,ARG,,,0.8,knife,pistol,,,NONE,NONE,,True,137,"You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",
89,,NONE,,,1.0,Google,Microsoft,,,ARG,ARG,,True,52,Is Google GDrive any better than Microsoft SkyDrive?,
90,,NONE,,,1.0,google,itunes,,,ARG,ARG,,True,55,Will google Music Become Bigger and Better than itunes?,
98,,ARG,,,0.6,Apple,Google,,,NONE,NONE,,True,38,Apple had better watch out for Google.,
110,,ARG,,,0.8,Microsoft,Intel,,,NONE,NONE,,True,65,"Microsoft, and distract the DOJ from worse dangers such as Intel.",
121,,ARG,,,1.0,NetBeans,Eclipse,,,NONE,NONE,,True,33,"Goodnight NetBeans, Hello Eclipse",
144,,NONE,,,1.0,oregon,virginia,,,ARG,ARG,,True,61,Did you work harder at oregon State than you did at virginia?,
