_unit_id,_golden,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable
1532714378,False,3,1/5/2018 17:22:23,BETTER,1.0,Honda,,BMW,N,M1981997867,,True,People only believe your drive a BMW is because you are a wealthy individual who can afford a better car than a Honda Civic.,"People only believe your drive a <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> is because you are a wealthy individual who can afford a better car than a <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> Civic.",People only believe your drive a *BMW* is because you are a wealthy individual who can afford a better car than a §Honda$ Civic.
1532714379,False,3,1/5/2018 17:16:36,NONE,1.0,Ibuprofen,,Advil,N,N2120184696,,True,"RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, Ibuprofen like Advil, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications.","RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span> like <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications.","RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, *Ibuprofen* like §Advil$, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications."
1532714380,False,3,1/5/2018 17:15:53,OTHER,0.6743,Intel,,Kingston,N,P2536976326,,True,The Kingston 40GB SSD based on the Intel controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.,"The <span style=""color: #9A14B2; font-weight: bold"">Kingston:[OBJECT_A]</span> 40GB SSD based on the <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.",The *Kingston* 40GB SSD based on the §Intel$ controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.
1532714381,False,4,1/5/2018 17:19:44,OTHER,0.736,Nike,,Adidas,N,M1993019899,,True,"Pharoahe's Official like Starter, hit harder than Fort Green Authentic, Nike, Adidas and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,""","Pharoahe's Official like Starter, hit harder than Fort Green Authentic, <span style=color: #9A14B2; font-weight: bold"">Nike:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Adidas:[OBJECT_B]</span> and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,""","Pharoahe's Official like Starter, hit harder than Fort Green Authentic, *Nike*, §Adidas$ and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,"
1532714382,False,3,1/5/2018 17:19:55,NONE,1.0,Advil,,Motrin,N,A151621104,,False,Advil Aleve Bayer Aspirin Ecotrin Excedrin Motrin,"<span style=""color: #9A14B2; font-weight: bold"">Advil:[OBJECT_A]</span> Aleve Bayer Aspirin Ecotrin Excedrin <span style=""color: #6CB219; font-weight: bold"">Motrin:[OBJECT_B]</span>",*Advil* Aleve Bayer Aspirin Ecotrin Excedrin §Motrin$
1532714384,False,3,1/5/2018 17:38:26,NONE,1.0,Ferrari,,BMW,N,I1404072421,,False,"It is BMW, not Ferrari.","It is <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span>, not <span style=""color: #6CB219; font-weight: bold"">Ferrari:[OBJECT_B]</span>.","It is *BMW*, not §Ferrari$."
1532714385,False,3,1/5/2018 17:15:52,OTHER,0.6667,Ibuprofen,,Advil,N,I1291955239,,True,"Instead of tylenol, it may be better to take ASAs (Aspirin) or Ibuprofen (Advil), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT","Instead of tylenol, it may be better to take ASAs (Aspirin) or <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span> (<span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT","Instead of tylenol, it may be better to take ASAs (Aspirin) or *Ibuprofen* (§Advil$), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT"
1532714386,False,3,1/5/2018 17:16:50,NONE,1.0,Advil,,Motrin,N,K1745010205,,False,"Motrin®, Advil®, Aleve®), and painkillers.","<span style=""color: #9A14B2; font-weight: bold"">Motrin:[OBJECT_A]</span>®, <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>®, Aleve®), and painkillers.","*Motrin*®, §Advil$®, Aleve®), and painkillers."
1532714387,False,3,1/5/2018 17:09:51,NONE,1.0,Google,,Intel,N,I1380591853,,True,It has Dual Core Intel Celeron Processor with 100 GB Google Drive Storage with 16 GB Solid State Drive.,"It has Dual Core <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> Celeron Processor with 100 GB <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Drive Storage with 16 GB Solid State Drive.",It has Dual Core *Intel* Celeron Processor with 100 GB §Google$ Drive Storage with 16 GB Solid State Drive.
1532714388,False,3,1/5/2018 17:23:08,OTHER,0.6998,Samsung,,Motorola,N,N2130818340,,False,Samsung Fascinate vs Motorola DROID X,"<span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> Fascinate vs <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span> DROID X",*Samsung* Fascinate vs §Motorola$ DROID X
1532714389,False,3,1/5/2018 17:09:51,NONE,1.0,Intel,,Dell,N,E563972966,,True,"Dell ""considered"" AMD publicly a few times, just to get a better deal with Intel.","<span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span> ""considered"" AMD publicly a few times, just to get a better deal with <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>.","*Dell* ""considered"" AMD publicly a few times, just to get a better deal with §Intel$."
1532714390,False,3,1/5/2018 17:19:42,BETTER,1.0,Samsung,,Motorola,N,E722958970,,False,"First, Motorola, then HTC and Samsung.","First, <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span>, then HTC and <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>.","First, *Motorola*, then HTC and §Samsung$."
