worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6329614,2384088,0,0,0,0,clixsense,,,,,,,0,,1.0,0
6335542,2082139,0,0,0,0,clixsense,,,,,,,0,,1.0,0
8057247,4128798,5,2,5,0,clixsense,PRT,17,Póvoa De Varzim,2.83.57.64,,,0,,0.6,0
11923901,4541132,8,0,6,0,clixsense,ITA,16,Rosignano Marittimo,2.227.243.29,,,0,,1.0,240
14218973,4835763,5,2,4,0,clixsense,UKR,26,Berdyansk,95.46.126.4,,,0,,0.5,300
17733287,5353328,5,0,5,0,clixsense,BRA,27,Sao Paulo,177.148.241.107,,,0,,1.0,300
20492873,5791804,0,0,0,0,clixsense,,,,,,,0,,1.0,0
21628557,5DA301F4751485B9044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
24727634,6258539,5,1,5,0,clixsense,NPL,00,Kathmandu,110.34.22.35,,,0,,0.8,0
25532817,92864,5,1,4,1,gifthunterclub,ESP,31,Cartagena,5.83.54.241,,,0,,0.75,0
28009209,6506962,5,1,4,0,clixsense,TUR,35,Izmir,88.242.75.36,,,0,,0.75,0
28924123,6626437,0,0,0,0,clixsense,,,,,,,0,,1.0,0
29933198,24406E1D9CDB4B1A044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
30781710,7A64ED524CBDE83C044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
30904966,DF9E4413AABD2C2E24750D543524A854,5,0,5,0,neodev,VEN,"","",190.37.110.90,,,0,,1.0,300
31027076,47614,0,0,0,0,elite,,,,,,,0,,1.0,0
31041748,414057DB7CA6641A0DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0
31523885,7194183,5,2,5,0,clixsense,IND,07,Delhi,59.177.77.243,,,0,,0.6,300
32440601,6387B84C3A148054044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
33110177,72A2F85F3F54D81041A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
33251738,73726,0,0,0,0,elite,,,,,,,0,,1.0,0
33288655,7687225,0,0,0,0,clixsense,,,,,,,0,,1.0,0
33313161,7735130,0,0,0,0,clixsense,,,,,,,0,,1.0,0
33445894,ACA07A37BFBC20BA0FA9E28369487118,5,2,5,0,neodev,VEN,"","",201.242.137.107,,,0,,0.6,0
