worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6330598,3430412,5,4,5,0,clixsense,SLV,10,San Salvador,190.150.198.136,,,0,,0.2,0
6335115,3434703,22,2,9,0,clixsense,SRB,00,Belgrade,93.86.168.106,,,0,,0.7778,300
6335542,2082139,5,3,5,0,clixsense,GRC,35,Athens,195.167.112.119,,,0,,0.4,0
6345217,3574085,5,1,4,0,clixsense,BRA,26,Florianopolis,191.191.98.58,,,0,,0.75,0
6591664,3801006,10,1,5,0,clixsense,MEX,09,Mexico,189.236.226.64,,,0,,0.8,5
6714482,4016643,5,2,5,0,clixsense,PRT,"","",109.51.61.64,,,0,,0.6,300
8736809,3445265,0,0,0,0,clixsense,,,,,,,0,,1.0,0
8941631,3735243,5,0,5,0,clixsense,BRA,21,Rio De Janeiro,189.122.192.232,,,0,,1.0,0
9356546,2920037,0,0,0,0,clixsense,,,,,,,0,,1.0,0
9832767,2758095,5,1,5,0,clixsense,IND,25,Karaikudi,117.206.125.75,,,0,,0.8,0
11131207,5856521,5,2,5,0,prodege,CAN,ON,Whitby,99.232.31.152,,,0,,0.6,0
11477478,4493604,30,1,10,0,clixsense,PHL,B7,Lahug,110.54.227.211,,,0,,0.9,300
11582908,4504821,0,0,0,0,clixsense,,,,,,,0,,1.0,0
11923901,4541132,5,1,5,0,clixsense,ITA,16,Rosignano Marittimo,2.227.243.29,,,0,,0.8,300
12316854,B9CFE37C4415D322BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0
12502861,4C63097F7F64E9C6044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
12781140,4633065,5,5,5,0,clixsense,HUN,21,Paks,91.146.149.109,,,0,,0.0,0
13396426,5CB26AF9CD20D7E541A29D4352C72707,50,4,15,0,neodev,PER,03,Abancay,201.230.158.178,,,0,,0.7333,270
13445914,4721256,0,0,0,0,clixsense,,,,,,,0,,1.0,0
15577915,Jerry1960,0,0,0,0,instagc,,,,,,,0,,1.0,0
16826096,5208065,5,2,5,0,clixsense,SWE,26,Enskede,84.217.69.55,,,0,,0.6,300
16976818,41C9315385B77B0E0FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0
17222221,3064783,40,4,12,0,clixsense,MKD,"","",78.40.0.4,,,0,,0.6667,20
17874224,5378233,80,3,18,1,clixsense,BRA,15,Belo Horizonte,138.122.105.181,,,0,,0.8333,533
19761263,A63F1263662331D3044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
19838540,ferrari1976,0,0,0,0,instagc,,,,,,,0,,1.0,0
20811605,5254683,0,0,0,0,clixsense,,,,,,,0,,1.0,0
22074411,6052066,5,2,5,0,clixsense,ROU,21,Deva,79.113.152.127,,,0,,0.6,300
22265952,6083373,5,4,5,0,clixsense,SRB,00,Belgrade,178.148.190.85,,,0,,0.2,300
23035689,202426,14,2,7,0,superrewards,MKD,A4,Sveti Nikole,89.205.98.232,,,0,,0.7143,300
23816226,6196609,0,0,0,0,clixsense,,,,,,,0,,1.0,0
24373944,6022246,5,1,5,0,clixsense,PHL,D9,Makati,180.190.67.85,,,0,,0.8,0
24813188,6259240,5,2,5,0,clixsense,POL,83,Gliwice,178.37.16.231,,,0,,0.6,300
25437208,739,5,1,3,1,elite,IND,"","",157.39.166.0,,,0,,0.6667,0
25756390,2F414B85D984620F6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0
25907194,6337572,5,4,5,0,clixsense,HRV,"","",93.137.20.193,,,0,,0.2,300
26557889,6379792,0,0,0,0,clixsense,,,,,,,0,,1.0,0
27790533,EA43CD70F276ACEB6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0
27813260,77AE0C4EC4FFA15A0DD4E15F98F7C799,5,0,5,0,neodev,ROU,10,Bucharest,92.80.99.154,,,0,,1.0,300
27829625,41BFEFA7423B731DBD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0
28524232,mr3cho,5,0,4,0,instagc,CAN,ON,Scarborough,99.226.198.111,,,0,,1.0,300
28716431,6600718,0,0,0,0,clixsense,,,,,,,0,,1.0,0
28853816,5781410,10,1,6,0,prizerebel,PRT,17,Leça Da Palmeira,89.180.190.209,,,0,,0.8333,300
29001605,19497,5,2,5,0,elite,IDN,10,Sleman,36.80.214.78,,,0,,0.6,300
29042907,4B367D57CA77658141A29D4352C72707,40,1,12,0,neodev,ROU,14,Constanta,5.14.136.97,,,0,,0.9167,343
29262837,AF5860368727DB0A41A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
29411108,deanna198888,0,0,0,0,instagc,,,,,,,0,,1.0,0
29496053,514137745611D4A60FA9E28369487118,5,2,5,0,neodev,VEN,20,San Cristóbal,201.243.164.23,,,0,,0.6,300
29691533,6752207,27,2,10,0,clixsense,BIH,"","",178.77.32.70,,,0,,0.8,264
29812417,3DB7DD0C1DB76A8241A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
29933198,24406E1D9CDB4B1A044935D48A84480F,5,0,5,0,neodev,VEN,"","",186.88.93.193,,,0,,1.0,300
30088275,6831334,5,5,5,0,clixsense,GRC,13,Thessaloníki,94.68.230.128,,,0,,0.0,300
30118765,909490,133,6,33,0,tremorgames,MDA,58,Tiraspol,31.31.0.73,,,0,,0.8182,22
30177221,35062,5,1,5,0,elite,BIH,01,Sarajevo,188.127.102.167,,,0,,0.8,300
30228652,3957044,0,0,0,0,clixsense,,,,,,,0,,1.0,0
30286087,6874459,0,0,0,0,clixsense,,,,,,,0,,1.0,0
30293608,CBC28F795C5967372BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0
30343690,37410,0,0,0,0,elite,,,,,,,0,,1.0,0
30394474,2361788,15,1,7,0,clixsense,UKR,17,Odessa,78.26.147.14,,,0,,0.8571,300
30683795,7A17A810C13892370FA9E28369487118,15,0,7,0,neodev,GRC,35,Athens,178.128.230.103,,,0,,1.0,8
30781710,7A64ED524CBDE83C044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
30849355,5DFDBADB3439861593CA06397A287A80,10,1,6,0,neodev,BGD,81,Dhaka,180.234.54.156,,,0,,0.8333,300
30904966,DF9E4413AABD2C2E24750D543524A854,5,1,5,0,neodev,VEN,"","",190.37.110.90,,,0,,0.8,300
30956566,1496EC78D7D6E51E93CA06397A287A80,5,1,5,0,neodev,VEN,13,Barquisimeto,190.142.105.68,,,0,,0.8,300
30976232,FB3528CA603199B093CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0
31093292,48453,5,0,5,0,elite,GRC,35,Athens,46.190.70.224,,,0,,1.0,300
31348368,27C7A808323B60C441A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
31372011,7157239,5,2,5,0,clixsense,HRV,21,Zagreb,141.136.225.78,,,0,,0.6,0
31408537,E336088F74F12C942BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0
31523885,7194183,10,2,6,0,clixsense,IND,07,Delhi,59.177.77.188,,,0,,0.6667,300
31605010,55287,25,2,9,0,elite,VNM,20,Ho Chi Minh City,27.75.55.82,,,0,,0.7778,300
31649759,A5E6C69BC3C5B9A5DD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0
31663768,6D2167C6B710F9540FA9E28369487118,5,2,5,0,neodev,VEN,"","",201.243.131.208,,,0,,0.6,300
31731182,7252971,0,0,0,0,clixsense,,,,,,,0,,1.0,0
31791015,7269797,5,2,5,0,clixsense,MAR,50,Settat,160.179.215.61,,,0,,0.6,0
31792500,59007,12,0,7,0,elite,BRA,18,Curitiba,187.95.108.145,,,0,,1.0,300
31821164,5678701,0,0,0,0,clixsense,,,,,,,0,,1.0,0
31883685,60549,0,0,0,0,elite,,,,,,,0,,1.0,0
31903604,60813,0,0,0,0,elite,,,,,,,0,,1.0,0
32047741,62278,5,1,5,0,elite,VNM,66,Hue,113.176.247.212,,,0,,0.8,0
32053717,7344401,0,0,0,0,clixsense,,,,,,,0,,1.0,0
32511095,7477653,45,4,14,0,clixsense,BRA,27,Sao Paulo,187.38.35.140,,,0,,0.7143,270
32655193,7522984,0,0,0,0,clixsense,,,,,,,0,,1.0,0
32672062,7528828,35,0,11,0,clixsense,SRB,00,Nis,178.220.104.87,,,0,,1.0,300
32692232,D9779F2464AAD5C941A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
32786960,21DFA914E1D86FD12BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0
33042008,7941BD158792557F93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0
33056318,3913E2FB7DF40DB8DD6A67EA287D2489,5,3,5,0,neodev,VEN,17,El Pilar,190.207.41.255,,,0,,0.4,0
33094230,sofiaejaz,0,0,0,0,instagc,,,,,,,0,,1.0,0
33102233,72249,10,1,6,0,elite,VNM,69,Vinh Long,27.75.24.153,,,0,,0.8333,300
33257008,F4BEEB63A5E24B3741A29D4352C72707,5,0,5,0,neodev,VEN,07,Valencia,201.211.116.123,,,0,,1.0,300
33285296,7727769,25,3,9,0,clixsense,VEN,23,Maracaibo,200.84.254.6,,,0,,0.6667,300
33309773,7734818,5,1,5,0,clixsense,VEN,23,Maracaibo,200.84.254.6,,,0,,0.8,300
33313161,7735130,0,0,0,0,clixsense,,,,,,,0,,1.0,0
33403899,B3F1C87AC885B92593CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0
33434416,mad77,5,1,5,0,instagc,EGY,06,Alexandria,41.236.220.23,,,0,,0.8,300
33661021,FD3E6DD35793503B472838DCC118E03B,5,2,5,0,neodev,BGR,38,Gotse Delchev,79.124.88.58,,,0,,0.6,300
33845682,4A2A7AB96B624B310CAD5F2CDE485D23,5,1,5,0,neodev,VEN,"","",190.201.118.32,,,0,,0.8,0
33939601,7896048,0,0,0,0,clixsense,,,,,,,0,,1.0,0
33998272,885FBF7C62A825E9168F3D181200FF42,10,1,6,0,neodev,VEN,25,Caracas,186.167.251.231,,,0,,0.8333,300
34012716,A5F21FFF0A09887C3C3F520A53732EBF,5,3,5,0,neodev,VEN,06,Puerto Ordaz,190.94.230.86,,,0,,0.4,300
34122533,58A4EEDE86DC2D5E6BDCD589D6BB8CA1,0,0,0,0,neodev,,,,,,,0,,1.0,0
34204452,D092432111F120D2AA5E3A041481982C,5,2,5,0,neodev,VEN,25,Caracas,186.185.142.165,,,0,,0.6,300
34242458,7978551,5,4,5,0,clixsense,ITA,13,Bari,2.226.168.210,,,0,,0.2,300
34344222,KarlaE,5,0,5,0,instagc,BRA,02,Maceio,45.4.176.246,,,0,,1.0,300
34457264,8043578,0,0,0,0,clixsense,,,,,,,0,,1.0,0
34515873,8062864,0,0,0,0,clixsense,,,,,,,0,,1.0,0
34694462,3C34D44B3D5933C407CFBA8CB897B0DC,0,0,0,0,neodev,,,,,,,0,,1.0,0
34717113,8130898,0,0,0,0,clixsense,,,,,,,0,,1.0,0
34729121,89226,5,2,5,0,elite,POL,72,Wroclaw,94.254.245.89,,,0,,0.6,0
34807809,8162270,5,2,5,0,clixsense,ISR,05,Ramat Hasharon,93.172.114.188,,,0,,0.6,0
34836342,6BA0841E4702089D52A6F24AA52E306B,5,2,5,0,neodev,HRV,"","",5.39.148.45,,,0,,0.6,0
34843237,8174031,0,0,0,0,clixsense,,,,,,,0,,1.0,0
34883552,91652,9,0,5,1,elite,VEN,25,Caracas,190.38.239.152,,,0,,1.0,300
