id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
S3063012648,"Well, I don't have a real benchmark but Tim Sweeny(Unreal) is saying everywhere that Direct3D is faster than OpenGL on windows.",Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/>_be/VERB/ccomp/>_everywhere/ADV/ROOT/^_be/VERB/ccomp/<_fast/ADJ/acomp/<_than/ADP/prep/<_Y/PROPN/pobj/<
S3063012648,"Well, I don't have a real benchmark but Tim Sweeny(Unreal) is saying everywhere that Direct3D is faster than OpenGL on windows.",Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/>_be/VERB/ccomp/>_everywhere/ADV/ROOT/^_be/VERB/ccomp/<_fast/ADJ/acomp/<_than/ADP/prep/<_Y/PROPN/pobj/<_on/ADP/prep/V
B216705748,"Also, Motorola makes better phones than Samsung.",Motorola,Samsung,BETTER,1.0,X/PROPN/nsubj/>_make/VERB/ROOT/>_make/VERB/ROOT/^_make/VERB/ROOT/<_phone/NOUN/dobj/<_than/ADP/prep/<_Y/PROPN/pobj/<
G1018532288,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,WORSE,0.5,X/PROPN/nsubj/>_be/VERB/ccomp/>_skeptical/ADJ/ROOT/^_be/VERB/ccomp/<_fast/ADJ/acomp/<_than/ADP/prep/<_Y/PROPN/pobj/<
O2284066811,Specifications: - Solid 7mm thick plywood - Strong aluminium profiles - Heavy duty handles - steel ball corners - 4 wheels - Butterflylocks - Color: black,plywood,steel,NONE,1.0,X/PROPN/nmod/>_profile/NOUN/dobj/>_specification/NOUN/ROOT/^_profile/NOUN/dobj/<_handle/VERB/nmod/<_corner/NOUN/dobj/<_Y/PROPN/compound/<
A152130641,"Aerobics, tennis & volleyball",tennis,volleyball,NONE,1.0,X/PROPN/compound/>_Y/PROPN/ROOT/^
A152130641,"Aerobics, tennis & volleyball",tennis,volleyball,NONE,1.0,aerobics/NOUN/compound/V_X/PROPN/compound/>_Y/PROPN/ROOT/^
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,Windows XP,Windows Vista,NONE,1.0,X/PROPN/dobj/>_sell/VERB/dep/>_make/VERB/ROOT/^_sell/VERB/dep/<_make/VERB/conj/<_available/ADJ/ccomp/<_Y/PROPN/nsubj/<
F736305181,"For a franchise that boasts the mantra, ""Eat better, feel better,"" and serves breakfast all day, watch out for items like classic breakfast sandwich made with sausage.",sandwich,sausage,NONE,1.0,X/PROPN/nsubj/>_make/VERB/relcl/>_item/NOUN/ROOT/^_make/VERB/relcl/<_with/ADP/prep/<_Y/PROPN/pobj/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/PROPN/conj/>_wifi/PROPN/nsubj/>_support/NOUN/ROOT/^_as/ADP/prep/<_standard/NOUN/pobj/<_with/ADP/prep/<_port/NOUN/pobj/<_Y/PROPN/compound/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/PROPN/conj/>_wifi/PROPN/nsubj/>_support/NOUN/ROOT/^_as/ADP/prep/<_standard/NOUN/pobj/<_with/ADP/prep/<_port/NOUN/pobj/<_gigabit/PROPN/compound/V_Y/PROPN/compound/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/compound/>_objectb/PROPN/appos/>_number/NOUN/nsubj/>_do/VERB/ROOT/^_number/NOUN/nsubj/<_Y/PROPN/appos/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/compound/>_objectb/PROPN/appos/>_number/NOUN/nsubj/>_do/VERB/ROOT/^_number/NOUN/nsubj/<_toshiba/PROPN/compound/V_Y/PROPN/appos/<
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,X/PROPN/nsubj/>_stop/VERB/ccomp/>_think/VERB/ROOT/^_stop/VERB/ccomp/<_be/VERB/conj/<_Y/PROPN/nsubj/<
D508851959,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,Google,Kingston,NONE,1.0,X/PROPN/pobj/>_from/ADP/prep/>_adapt/VERB/ROOT/^_turn/VERB/xcomp/<_turn/VERB/conj/<_take/VERB/conj/<_toward/ADP/prep/<_Y/PROPN/pobj/<
D508851959,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,Google,Kingston,NONE,1.0,X/PROPN/pobj/>_from/ADP/prep/>_adapt/VERB/ROOT/^_turn/VERB/xcomp/<_turn/VERB/conj/<_take/VERB/conj/<_toward/ADP/prep/<_us11/PROPN/compound/V_Y/PROPN/pobj/<
D508851959,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,Google,Kingston,NONE,1.0,NO_PATH_B
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^_Y/PROPN/pobj/<
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^_versus/ADP/prep/V_Y/PROPN/pobj/<
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^_Y/PROPN/pobj/<_versus/ADP/prep/V
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/npadvmod/>_be/VERB/ROOT/>_be/VERB/ROOT/^_be/VERB/ROOT/<_objecta/PROPN/npadvmod/<_Y/PROPN/conj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/npadvmod/>_and/CONJ/cc/V_be/VERB/ROOT/>_be/VERB/ROOT/^_be/VERB/ROOT/<_objecta/PROPN/npadvmod/<_Y/PROPN/conj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/npadvmod/>_resort/NOUN/conj/V_be/VERB/ROOT/>_be/VERB/ROOT/^_be/VERB/ROOT/<_objecta/PROPN/npadvmod/<_Y/PROPN/conj/<
D524536323,"core 2 quad q9650, LGA775 mobo, 8gb ram, gtx 760, 3tb hdd, compatible wifi card, 2 compatible USB Bluetooth dongles, a cpu cooler for $799.98",USB,Bluetooth,NONE,1.0,X/PROPN/compound/>_objectb/PROPN/appos/>_card/NOUN/dobj/>_gtx/VERB/ROOT/^_card/NOUN/dobj/<_Y/PROPN/appos/<
D524536323,"core 2 quad q9650, LGA775 mobo, 8gb ram, gtx 760, 3tb hdd, compatible wifi card, 2 compatible USB Bluetooth dongles, a cpu cooler for $799.98",USB,Bluetooth,NONE,1.0,compatible/ADJ/amod/V_X/PROPN/compound/>_objectb/PROPN/appos/>_card/NOUN/dobj/>_gtx/VERB/ROOT/^_card/NOUN/dobj/<_Y/PROPN/appos/<
O2416131140,The better to compete with Disney's espn and fox Sports.,espn,fox,NONE,1.0,X/PROPN/nmod/>_sport/NOUN/pobj/>_with/ADP/ROOT/^_sport/NOUN/pobj/<_objecta/PROPN/nmod/<_Y/PROPN/conj/<
O2416131140,The better to compete with Disney's espn and fox Sports.,espn,fox,NONE,1.0,disneys/PROPN/compound/V_X/PROPN/nmod/>_sport/NOUN/pobj/>_with/ADP/ROOT/^_sport/NOUN/pobj/<_objecta/PROPN/nmod/<_Y/PROPN/conj/<
O2416131140,The better to compete with Disney's espn and fox Sports.,espn,fox,NONE,1.0,X/PROPN/nmod/>_and/CONJ/cc/V_sport/NOUN/pobj/>_with/ADP/ROOT/^_sport/NOUN/pobj/<_objecta/PROPN/nmod/<_Y/PROPN/conj/<
B213321262,"Also for the first time, Ford has the fewest number of ""things gone wrong"" in the industry - with initial quality statistically equal to Toyota and better than Honda",Ford,Honda,BETTER,1.0,X/PROPN/nsubj/>_have/VERB/aux/>_go/VERB/ROOT/^_with/ADP/prep/<_quality/NOUN/pobj/<_equal/ADJ/amod/<_good/ADJ/conj/<_than/ADP/prep/<_Y/PROPN/pobj/<
F741039146,"For Economics, harvard, Stanford, MIT and princeton have better reputations.",harvard,princeton,NONE,1.0,X/PROPN/compound/>_mit/PROPN/pobj/>_for/ADP/prep/>_have/VERB/ROOT/>_mit/PROPN/ROOT/^_have/VERB/ROOT/<_Y/PROPN/nsubj/<
I1297767926,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",Intel,Microsoft,WORSE,0.6,X/PROPN/pobj/>_than/ADP/prep/>_faster/ADV/advmod/>_grow/VERB/ROOT/^_behind/ADP/conj/<_Y/PROPN/pobj/<
