id,sentence,most_frequent_label,most_frequent_percentage,path
R2873497635,This time Windows 8 was roughly 8 percent slower than Windows 7.,WORSE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ slow/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
T3281768598,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",WORSE,0.6,X/PROPN/dobj/> want/VERB/ROOT/^ find/VERB/conj/< easier/ADV/ccomp/< Y/PROPN/nsubj/<
T3281768598,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",WORSE,0.6,some/DET/det/V X/PROPN/dobj/> want/VERB/ROOT/^ find/VERB/conj/< easier/ADV/ccomp/< Y/PROPN/nsubj/<
T3281768598,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",WORSE,0.6,X/PROPN/dobj/> or/CCONJ/cc/V want/VERB/ROOT/^ find/VERB/conj/< easier/ADV/ccomp/< Y/PROPN/nsubj/<
T3281768598,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",WORSE,0.6,X/PROPN/dobj/> jquery/PROPN/conj/V want/VERB/ROOT/^ find/VERB/conj/< easier/ADV/ccomp/< Y/PROPN/nsubj/<
M2054206661,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",WORSE,1.0,X/PROPN/ROOT/^ Y/PROPN/nsubj/<
M2054206661,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",WORSE,1.0,X/PROPN/ROOT/^ language/NOUN/appos/V Y/PROPN/nsubj/<
M2054206661,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",WORSE,1.0,X/PROPN/ROOT/^ be/VERB/parataxis/V Y/PROPN/nsubj/<
M2054206661,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",WORSE,1.0,X/PROPN/ROOT/^ common/PROPN/compound/V Y/PROPN/nsubj/<
N2120512418,Ruby is even worse than Python.,WORSE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ bad/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
E601320733,"Don't learn Perl because even though it's a mature, fast and popular language, it's harder to learn than PHP.",WORSE,0.6666666666666666,X/PROPN/dobj/> learn/VERB/ROOT/^ be/VERB/advcl/< learn/VERB/xcomp/< than/ADP/prep/< Y/PROPN/pobj/<
M1996478726,PHP is slower than Java but scales nicely anyway.,WORSE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ slow/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
N2120513578,"Ruby isn't (in my observation) too much slower than Perl, Python or PHP.",WORSE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ slow/ADJ/acomp/< than/ADP/prep/< perl/PROPN/pobj/< Y/PROPN/conj/<
B305352903,"Another db, SQLite or MySQL (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",NONE,0.8,X/PROPN/conj/> db/NOUN/ROOT/^ objectb/PROPN/conj/< Y/PROPN/conj/<
B305352903,"Another db, SQLite or MySQL (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",NONE,0.8,X/PROPN/conj/> or/CCONJ/cc/V db/NOUN/ROOT/^ objectb/PROPN/conj/< Y/PROPN/conj/<
O2391155907,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,NONE,1.0,X/PROPN/compound/> interface/NOUN/ROOT/^ Y/PROPN/conj/<
O2391155907,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,NONE,1.0,480/NUM/nummod/V X/PROPN/compound/> interface/NOUN/ROOT/^ Y/PROPN/conj/<
O2391155907,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,NONE,1.0,mb/PROPN/compound/V X/PROPN/compound/> interface/NOUN/ROOT/^ Y/PROPN/conj/<
O2391155907,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,NONE,1.0,X/PROPN/compound/> interface/NOUN/ROOT/^ v2.1/NOUN/nmod/V Y/PROPN/conj/<
O2391155907,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,NONE,1.0,X/PROPN/compound/> interface/NOUN/ROOT/^ enhance/VERB/amod/V Y/PROPN/conj/<
T3268030790,"You're better off getting something like a Parrot MKi9200 (will do Bluetooth audio & handsfree, USB, aux, SD cards etc)",NONE,1.0,X/PROPN/compound/> audio/NOUN/ROOT/^ Y/PROPN/appos/<
D496067859,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",NONE,1.0,X/PROPN/dobj/> enhance/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/<
D496067859,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",NONE,1.0,exist/VERB/amod/V X/PROPN/dobj/> enhance/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/<
D496067859,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",NONE,1.0,X/PROPN/dobj/> enhance/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/< or/CCONJ/cc/V
D496067859,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",NONE,1.0,X/PROPN/dobj/> enhance/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/< program/NOUN/conj/V
M1939369812,"Other languages that might be easier on you: Ruby, Lua, C#, JavaScript/Coffeescript.",NONE,1.0,X/PROPN/dep/> coffeescript/PROPN/ROOT/^ Y/PROPN/nmod/<
M1939369812,"Other languages that might be easier on you: Ruby, Lua, C#, JavaScript/Coffeescript.",NONE,1.0,X/PROPN/dep/> lua/PROPN/conj/V coffeescript/PROPN/ROOT/^ Y/PROPN/nmod/<
J1545153273,"Java was pitched as a ""good enough"" Smalltalk.",NONE,1.0,X/PROPN/nsubjpass/> pitch/VERB/ROOT/^ as/ADP/prep/< Y/PROPN/pobj/<
J1545153273,"Java was pitched as a ""good enough"" Smalltalk.",NONE,1.0,X/PROPN/nsubjpass/> pitch/VERB/ROOT/^ as/ADP/prep/< enough/ADV/amod/V Y/PROPN/pobj/<
M1988309762,Perl is slower and faster than Java,BETTER,0.4,X/PROPN/nsubj/> be/VERB/ROOT/^ slow/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
I1350817982,Is NetBeans very different from Eclipse?,NONE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ different/ADJ/acomp/< from/ADP/prep/< Y/PROPN/pobj/<
I1361546368,"Is Windows 8 better than Windows 7, its predecessor?",NONE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
I1361546368,"Is Windows 8 better than Windows 7, its predecessor?",NONE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/< predecessor/NOUN/appos/V
M2090903913,Re: MySQL to Oracle,NONE,1.0,X/PROPN/pobj/> re/ADP/ROOT/^ objectb/PROPN/pobj/< to/ADP/prep/< Y/PROPN/pobj/<
M1926920044,"Oracle, MySQL.",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/npadvmod/<
E635911781,"Eclipse, NetBeans and Lobo (the Java browser).",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
E635911781,"Eclipse, NetBeans and Lobo (the Java browser).",NONE,1.0,X/PROPN/ROOT/^ browser/NOUN/appos/V Y/PROPN/conj/<
